Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Renovation,Age,Total number of floors,New building,Front garden,Developer name,Project name,Kód jednotky,Administration fee
696907,"CZK 15,375",50.0236328,14.420109,"Na Výspě, Prague - Hodkovičky",Studio,40 m²,"CZK 5,125",Furnished,2,No,Yes,No,No,No,No,No,21. 02. 2022,205,"1,125",579,"1,118",554,629,856,827,"1,391",591,,,,,,,,,,,,,,,,
625188,"CZK 10,500",50.05592335,14.5109252,"Jasmínová, Prague - Záběhlice",1 bedroom,33 m²,"CZK 2,500",Partially furnished,3,No,No,No,No,No,Yes,No,15. 01. 2022,382,835,311,775,354,"1,036",453,608,"1,285",236,Excellent,"CZK 13,000",Personal,Prefab concrete building,G,,,,,,,,,,,
697545,"CZK 9,375",50.0743844,14.4050455,"Matoušova, Prague - Smíchov",Studio,30 m²,"CZK 3,125",Furnished,1,No,No,No,No,No,No,No,02. 03. 2022,226,237,189,147,109,244,329,"1,174","1,070",405,,,,,,,,,,,,,,,,
697541,"CZK 12,000",50.06133,14.39786,"Radlická, Prague - Smíchov",1 bedroom with open-plan kitchen,41 m²,"CZK 2,800",Partially furnished,2,No,No,Yes,No,No,No,No,17. 01. 2022,32,953,43,803,4,498,416,516,623,501,Excellent,"CZK 24,000",Personal,Brick building,G,,,,,,,,,,,
698255,"CZK 9,675",50.0772,14.4028,"Kroftova, Prague - Smíchov",1 bedroom,40 m²,"CZK 3,225",Furnished,5,No,No,No,No,No,No,No,07. 03. 2022,187,347,138,193,147,199,353,886,706,317,,,,,,,,,,,,,,,,
697269,"CZK 69,750",50.0859057,14.4200254,"Michalská, Prague - Staré Město",3 bedroom,130 m²,"CZK 23,250",Furnished,3,No,No,No,No,No,No,Yes,27. 02. 2022,314,347,72,145,13,210,197,621,445,403,,,,,,,,,,,,,,,,
698254,"CZK 18,000",50.0705847,14.4064774,"Jindřicha Plachty, Prague - Smíchov",3 bedroom,94 m²,"CZK 6,000",Furnished,1,No,No,No,No,No,Yes,No,07. 03. 2022,185,620,138,274,86,216,657,"1,148","1,019",505,,,,,,,,,,,,,,,,
690577,"CZK 22,500",50.0633339,14.4440155,"Mečislavova, Prague - Nusle",1 bedroom with open-plan kitchen,56 m²,"CZK 7,500",Furnished,5,No,No,No,No,No,Yes,No,25. 01. 2022,243,541,100,272,177,315,457,820,635,594,,,,,,,,,,,,,,,,
698252,"CZK 17,000",50.05287,14.34904,"Nušlova, Prague - Stodůlky",3 bedroom,81 m²,"CZK 4,000",Unfurnished,3,No,No,No,Yes,No,Yes,No,05. 01. 2022,342,823,343,399,156,258,357,366,166,,Excellent,"CZK 25,000",Personal,Prefab concrete building,G,,,,,,,,,,,
695739,"CZK 18,000",50.07607,14.45749,"Libická, Prague - Vinohrady",1 bedroom with open-plan kitchen,42 m²,"CZK 3,054",Furnished,5,No,No,No,No,No,Yes,No,03. 01. 2022,166,557,75,173,150,479,397,366,803,345,Excellent,"CZK 36,000",Personal,Brick building,G,Premium materials and solutions,District heating,Overall,,,,,,,,
