Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,New building,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Age,Design,Heating,Total number of floors,Front garden,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Renovation,Kindergarten,Sports field,Playground,Developer name,Project name,Kód jednotky,Administration fee
486870,"CZK 13,500",50.139860715432,14.449032675147,"K Beranovu, Prague - Dolní Chabry",Studio,New build,41 m²,"CZK 2,200","CZK 20,000",Personal,Brick building,Yes,Furnished,1,No,Yes,Yes,No,No,Yes,No,08. 01. 2022,1 to 10 years years,Standard materials and solutions,Central heating,Raised ground floor,27 m²,B,321,969,163,697,545,"1,052",176,,,,,,,,
501995,"CZK 16,000",50.0149613,14.4420497,"Liškova, Prague - Kamýk",3 bedroom,Excellent,60 m²,"CZK 3,500","CZK 25,000",Personal,Prefab concrete building,,Unfurnished,5,Yes,No,Yes,Yes,No,Yes,No,24. 01. 2022,,,,,,,290,973,335,877,435,650,59,Overall,837,82,,,,,
528527,"CZK 21,000",50.1005731,14.3900914,"Evropská, Prague - Dejvice",2 bedroom with open-plan kitchen,,75 m²,"CZK 3,500","CZK 21,000",Personal,Brick building,,Partially furnished,3,No,No,Yes,No,Yes,Yes,No,10. 01. 2022,,,Gas boiler,Middle floor,,,22,596,99,156,97,530,698,,298,603,163,,,,
697706,"CZK 13,500",50.09689,14.3627,"Kladenská, Prague - Vokovice",1 bedroom with open-plan kitchen,Excellent,32 m²,"CZK 2,000","CZK 17,000",Personal,Brick building,,Unfurnished,1,No,No,No,No,No,No,No,10. 01. 2022,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,,G,295,99,187,303,211,244,479,Interior,485,"1,223",258,,,,
698516,"CZK 13,000",50.020725,14.4576053,"V Štíhlách, Prague - Krč",1 bedroom with open-plan kitchen,New build,45 m²,"CZK 3,000","CZK 13,000",Personal,Prefab concrete building,,Partially furnished,3,No,No,No,Yes,No,No,No,10. 01. 2022,,,,,,D,392,782,660,527,355,606,"1,243",,"1,005",729,,,,,
513941,"CZK 11,000",50.0910537,14.4910937,Prague - Žižkov,2 bedroom,Excellent,54 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,,Partially furnished,6,Yes,No,No,No,No,Yes,No,01. 01. 1970,,,District heating,Top floor,,,205,197,342,439,254,202,460,Overall,380,586,38,,,,
473442,"CZK 14,000",50.0137321,14.4866846,"Velenická, Prague - Kunratice",2 bedroom,Excellent,53 m²,"CZK 4,000","CZK 36,000",Personal,Brick building,,Furnished,1,No,Yes,No,No,Yes,No,No,15. 01. 2022,1 to 10 years years,Standard materials and solutions,Gas boiler,Ground floor,15 m²,B,55,370,40,157,413,692,575,,175,352,,,,,
680095,"CZK 63,113",50.0761284,14.4327244,"Londýnská, Prague - Vinohrady",3 bedroom,,70 m²,"CZK 21,037",,,,,Furnished,3,No,Yes,No,No,No,No,No,08. 01. 2022,,,,,,,100,264,66,90,3,201,314,,391,396,647,,,,
680048,"CZK 39,750",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,,75 m²,"CZK 13,250",,,,,Furnished,4,No,No,No,No,No,Yes,No,08. 01. 2022,,,,,,,156,408,244,342,59,242,281,,281,533,788,,,,
697692,"CZK 20,000",50.07025,14.41663,"Pod Slovany, Prague - Nové Město",3 bedroom,Excellent,67 m²,"CZK 3,000","CZK 40,000",Personal,Brick building,,Partially furnished,3,No,No,No,No,No,Yes,No,02. 01. 2022,,,Electric boiler,Middle floor,,G,248,730,35,222,163,156,255,,89,309,278,,,,
