Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Heating,Total number of floors,PENB,Age,Design,Renovation,Front garden,Developer name,Project name,Kód jednotky,Administration fee
686900,"CZK 25,662",50.0925135,14.4556107,"Šaldova, Prague - Karlín",1 bedroom,40 m²,"CZK 8,554",Furnished,2,No,Yes,No,No,No,Yes,No,10. 01. 2022,367,716,142,317,156,180,346,"1,276",231,204,,,,,,,,,,,,,,,,
685604,"CZK 33,750",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 11,250",Furnished,2,No,No,No,No,No,Yes,No,10. 01. 2022,110,274,157,129,77,143,300,496,282,367,,,,,,,,,,,,,,,,
694966,"CZK 13,000",50.0123751,14.4000073,"Vrátnická, Prague - Modřany",Studio,42 m²,"CZK 2,500",Unfurnished,2,Yes,No,Yes,No,Yes,Yes,No,04. 12. 2021,197,"1,078",373,"1,322",740,"1,383","1,378",662,,,New build,"CZK 14,500",Personal,Brick building,Yes,Central heating,Middle floor,A,,,,,,,,
682340,"CZK 21,000",50.0729545,14.4412201,"Jana Masaryka, Prague - Vinohrady",Studio,37 m²,"CZK 7,000",Furnished,4,No,No,No,No,No,Yes,Yes,10. 01. 2022,41,255,33,612,69,567,246,441,558,371,,,,,,,,,,,,,,,,
644684,"CZK 12,500",50.084397,14.451753,"Seifertova, Prague - Žižkov",1 bedroom,33 m²,"CZK 1,500",Partially furnished,2,No,No,No,No,No,No,No,01. 03. 2022,137,126,8,93,22,67,244,366,355,435,Excellent,"CZK 12,500",Personal,Brick building,,,,C,,,,,,,,
697891,"CZK 12,500",50.07674,14.45376,"Perunova, Prague - Vinohrady",1 bedroom with open-plan kitchen,50 m²,"CZK 4,000",Unfurnished,4,No,No,No,No,No,No,No,01. 02. 2022,175,218,115,74,2,252,87,578,956,316,Good,"CZK 16,500",Personal,Brick building,,,,D,,,,,,,,
556880,"CZK 22,000",50.0775372,14.4192713,"Karlovo náměstí, Prague - Nové Město",3 bedroom,83 m²,"CZK 6,000",Partially furnished,3,No,No,No,No,No,Yes,No,května,76,276,60,33,22,244,199,387,508,418,,"CZK 30,000",Personal,Brick building,,,,D,,,,,,,,
682349,"CZK 37,500",50.0372353,14.482405,"Hněvkovská, Prague - Chodov",3 bedroom,80 m²,"CZK 12,500",Furnished,2,Yes,No,No,No,No,No,No,10. 01. 2022,469,"1,480",408,"1,340",370,"1,305",889,"1,194",334,309,,,,,,,,,,,,,,,,
696479,"CZK 14,025",50.1002217,14.4370969,"Bubenská, Prague - Holešovice",Studio,30 m²,"CZK 4,675",Furnished,7,No,Yes,No,No,No,Yes,No,24. 01. 2022,57,"1,134",128,342,249,255,241,"1,276",671,837,,,,,,,,,,,,,,,,
695301,"CZK 9,375",50.068042,14.5177497,"Mokřanská, Prague - Strašnice",Studio,20 m²,"CZK 3,125",Furnished,2,No,No,No,No,No,No,No,11. 01. 2022,77,679,731,809,968,808,"1,484",638,,,,,,,,,,,,,,,,,,
697900,"CZK 13,000",50.0532651,14.3424542,"Dominova, Prague - Stodůlky",1 bedroom with open-plan kitchen,45 m²,"CZK 4,000",Furnished,2,No,No,No,No,No,No,No,15. 01. 2022,332,514,345,520,422,310,369,164,"1,243",73,Excellent,"CZK 13,000",Personal,Prefab concrete building,,,,G,,,,,,,,
619408,"CZK 20,000",50.156069,14.522374,"Schoellerova, Prague - Čakovice",3 bedroom with open-plan kitchen,74 m²,"CZK 4,770",,1,No,No,No,No,No,No,No,15. 03. 2022,108,536,169,408,"1,120",561,335,232,,,Excellent,"CZK 25,000",Personal,Other,,,,G,,,,,,,,
697883,"CZK 16,000",50.06164,14.36178,"Naskové, Prague - Košíře",1 bedroom with open-plan kitchen,60 m²,"CZK 3,000",Furnished,2,No,No,Yes,No,Yes,No,No,04. 01. 2022,449,"1,154","1,147",965,"1,241",791,422,"1,082",653,,New build,"CZK 32,000",Personal,Prefab concrete building,,,,A,,,,,,,,
664892,"CZK 11,000",50.05766,14.57953,"U Lipové aleje, Prague - Dubeč",Studio,42 m²,"CZK 2,500",Partially furnished,2,Yes,No,Yes,No,Yes,No,No,01. 06. 2021,246,980,395,283,"1,447","1,301",161,,,,Excellent,"CZK 11,000",Personal,Brick building,,District heating,Middle floor,A,10 to 30 years years,Standard materials and solutions,,,,,,
686572,"CZK 28,000",50.08294,14.4439,"U Rajské zahrady, Prague - Žižkov",1 bedroom with open-plan kitchen,82 m²,"CZK 2,000",Furnished,1,No,No,No,No,No,Yes,No,06. 10. 2021,310,517,418,403,183,453,300,306,676,106,Excellent,"CZK 28,000",Personal,Brick building,,,,G,,,,,,,,
697881,"CZK 12,500",50.11056,14.5041,"Prouzova, Prague - Vysočany",1 bedroom,37 m²,"CZK 1,500",Partially furnished,2,Yes,No,Yes,No,No,No,No,04. 01. 2022,91,311,66,207,108,271,165,494,286,262,Excellent,"CZK 25,000",Cooperative,Brick building,,,,G,,,,,,,,
696641,"CZK 27,000",50.1205079,14.4125121,"Na Salabce, Prague - Troja",2 bedroom with open-plan kitchen,102 m²,"CZK 3,500",Partially furnished,2,No,No,No,No,Yes,No,No,20. 12. 2021,228,"1,192",816,"1,194",166,"1,176","1,395",985,"1,427",579,New build,"CZK 54,000",Personal,Brick building,,Electric boiler,Attic,B,,,,,,,,
666570,"CZK 18,000",50.03939,14.3161,"Radouňova, Prague - Stodůlky",1 bedroom with open-plan kitchen,63 m²,"CZK 3,600",Furnished,4,No,Yes,No,Yes,Yes,Yes,Yes,03. 06. 2021,280,"1,022",674,978,668,686,679,"1,036","1,068",102,New build,"CZK 21,600",Personal,Brick building,,District heating,,A,1 to 10 years years,,Interior,,,,,
236284,"CZK 11,500",50.1155821,14.497229,"Vysočanská, Prague - Prosek",1 bedroom with open-plan kitchen,49 m²,"CZK 4,500",Furnished,1,No,Yes,No,No,No,No,No,07. 01. 2022,69,"1,023",348,558,341,635,399,465,721,362,Good,"CZK 25,000",Personal,Brick building,,,,G,,,,30 m²,,,,
698594,"CZK 13,000",50.07591,14.49147,"Kralická, Prague - Strašnice",1 bedroom,45 m²,"CZK 2,500",Partially furnished,3,No,No,No,No,No,No,No,10. 01. 2022,146,121,37,254,121,296,260,473,774,308,Excellent,"CZK 13,000",Personal,Brick building,,,,E,,,,,,,,
584092,"CZK 16,500",50.101964,14.42712,"U Studánky, Prague - Holešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 3,500",Unfurnished,2,No,No,Yes,No,No,Yes,No,17. 01. 2022,196,580,61,289,166,328,121,70,465,,Excellent,"CZK 30,000",Personal,Brick building,,Gas boiler,,,,Standard materials and solutions,,,,,,
469843,"CZK 12,500",50.05571,14.52528,"Rychtáře Petříka, Prague - Hostivař",Studio,36 m²,"CZK 2,800",Partially furnished,4,Yes,No,No,No,No,Yes,Yes,09. 01. 2020,476,943,378,905,591,947,"1,286",782,631,587,New build,"CZK 15,000",Personal,Low-energy building,,District heating,Middle floor,B,1 to 10 years years,Standard materials and solutions,,,,,,
610458,"CZK 11,000",50.155862,14.517403,"Bermanova, Prague - Čakovice",Studio,36 m²,"CZK 3,000",Partially furnished,2,Yes,No,Yes,No,No,No,No,01. 03. 2022,432,876,53,71,"1,460",846,120,152,,,New build,"CZK 10,000",Personal,Brick building,,,,C,1 to 10 years years,Standard materials and solutions,Overall,,,,,
680002,"CZK 56,250",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,90 m²,"CZK 18,750",Furnished,4,Yes,Yes,No,No,No,Yes,Yes,10. 01. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,
698592,"CZK 15,000",50.1237986,14.4847295,"Teplická, Prague - Střížkov",1 bedroom with open-plan kitchen,45 m²,"CZK 2,500",Furnished,5,No,No,No,Yes,No,Yes,No,,177,"1,241",193,"1,179",303,513,263,258,265,206,,"CZK 15,000",Personal,Prefab concrete building,,District heating,Middle floor,C,10 to 30 years years,Standard materials and solutions,Bathroom unit,,,,,
