Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Design,Heating,Total number of floors,Renovation,Age,Front garden,Developer name,Project name,Kód jednotky,Administration fee
698913,"CZK 16,500",50.05682,14.42282,"Levá, Prague - Podolí",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 1,500","CZK 20,000",Personal,Brick building,Furnished,3,No,No,Yes,No,No,Yes,No,10. 01. 2022,G,105,409,293,269,155,406,280,633,343,242,,,,,,,,,,,
698912,"CZK 16,500",50.0724181,14.4583242,"Ruská, Prague - Vršovice",2 bedroom,Excellent,63 m²,"CZK 2,500","CZK 16,500",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,10. 01. 2022,G,60,760,56,537,96,535,314,309,731,350,,,,,,,,,,,
697584,"CZK 23,900",50.1153416,14.4743339,"Na Sypkém, Prague - Libeň",2 bedroom with open-plan kitchen,New build,75 m²,"CZK 3,590","CZK 47,800",Personal,Low-energy building,Unfurnished,2,No,No,Yes,No,Yes,Yes,Yes,03. 01. 2022,B,134,"1,388",426,"1,206",128,680,505,"1,371",852,342,Yes,,,,,,,,,,
699550,"CZK 26,250",50.0902986,14.4271043,"Benediktská, Prague - Staré Město",1 bedroom with open-plan kitchen,,50 m²,"CZK 8,750",,,,Furnished,3,No,No,No,No,No,Yes,No,17. 03. 2022,,51,118,74,93,1,171,160,250,261,336,,,,,,,,,,,
699549,"CZK 26,250",50.0905181,14.4322974,"Zlatnická, Prague - Nové Město",1 bedroom with open-plan kitchen,,60 m²,"CZK 8,750",,,,Furnished,2,No,Yes,No,No,No,Yes,No,17. 03. 2022,,140,262,117,176,89,151,218,24,337,419,,,,,,,,,,,
699548,"CZK 45,000",50.0885763,14.423344,"Týnská, Prague - Staré Město",3 bedroom,,100 m²,"CZK 15,000",,,,Furnished,3,No,No,No,No,No,No,No,17. 03. 2022,,143,354,108,199,36,219,154,136,9,154,,,,,,,,,,,
699547,"CZK 26,250",50.0903135,14.4354588,"Na Poříčí, Prague - Nové Město",2 bedroom,,65 m²,"CZK 8,750",,,,Furnished,3,No,No,No,No,No,No,Yes,17. 03. 2022,,41,186,17,41,56,120,330,361,459,501,,,,,,,,,,,
630873,"CZK 13,900",50.03068,14.52172,"Michnova, Prague - Chodov",1 bedroom with open-plan kitchen,New build,46 m²,"CZK 4,900","CZK 15,000",Personal,Prefab concrete building,Partially furnished,1,No,No,Yes,No,No,Yes,No,17. 01. 2022,B,296,433,299,613,200,214,275,380,631,314,,Standard materials and solutions,District heating,Middle floor,Overall,,,,,,
699545,"CZK 13,500",50.06589,14.42188,"Neklanova, Prague - Vyšehrad",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 3,400","CZK 15,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,01. 02. 2022,G,190,"1,005",158,185,171,222,355,498,385,526,,,,,,,,,,,
698898,"CZK 15,500",50.026,14.43067,"Novodvorská, Prague - Braník",2 bedroom with open-plan kitchen,Excellent,65 m²,"CZK 3,500","CZK 20,000",Personal,Prefab concrete building,Partially furnished,7,No,No,Yes,Yes,Yes,Yes,No,17. 01. 2022,C,46,368,205,375,308,340,179,158,933,423,,,,,,,,,,,
