Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Heating,Total number of floors,Renovation,Design,New building,Age,Front garden,Administration fee,Developer name,Project name,Kód jednotky
699079,"CZK 33,750",50.0790219,14.4245347,"Školská, Prague - Nové Město",Studio,26 m²,"CZK 11,250",Furnished,1,Yes,No,No,No,No,Yes,No,13. 03. 2022,326,716,122,141,29,217,161,519,502,456,,,,,,,,,,,,,,,,
693404,"CZK 22,125",50.1085928,14.4915135,"U školičky, Prague - Libeň",2 bedroom with open-plan kitchen,63 m²,"CZK 7,375",Furnished,5,No,No,No,No,No,No,No,20. 01. 2022,181,533,222,533,196,258,442,227,114,112,,,,,,,,,,,,,,,,
700062,"CZK 12,675",50.0710373,14.4466006,"Kozácká, Prague - Vršovice",Studio,28 m²,"CZK 4,225",Furnished,2,No,No,No,No,No,No,No,20. 03. 2022,139,664,133,528,69,638,497,450,315,216,,,,,,,,,,,,,,,,
700061,"CZK 10,850",50.11618,14.47081,"Františka Kadlece, Prague - Libeň",1 bedroom,35 m²,"CZK 1,800",Partially furnished,3,No,No,Yes,No,No,Yes,No,01. 02. 2022,225,"1,073",85,"1,408",60,366,386,"1,197","1,054",431,Excellent,"CZK 12,000",Personal,Brick building,G,,,,,,,,,,,
116220,"CZK 15,000",50.082281,14.4948969,"Chotutická, Prague - Malešice",2 bedroom,55 m²,"CZK 1,500",Furnished,2,No,No,Yes,Yes,No,No,No,01. 03. 2022,338,448,187,490,493,589,229,274,524,79,,"CZK 15,000",,Prefab concrete building,,District heating,Middle floor,Overall,,,,,,,,
335666,"CZK 11,800",50.035375,14.5012327,"Benkova, Prague - Chodov",Studio,30 m²,"CZK 2,600",Partially furnished,6,No,No,No,No,No,Yes,No,01. 02. 2022,326,278,468,"1,034",294,473,362,445,289,184,,"CZK 24,000",Personal,Prefab concrete building,,District heating,Middle floor,Overall,,,,,,,,
536552,"CZK 15,000",50.0792201,14.4563816,Prague - Žižkov,1 bedroom with open-plan kitchen,45 m²,"CZK 4,500",Furnished,-1,No,No,No,No,No,No,No,01. 02. 2022,196,434,66,214,58,411,494,479,805,102,,"CZK 15,000",Personal,Brick building,,Electric boiler,,,Standard materials and solutions,,,,,,,
700058,"CZK 24,000",50.0945939,14.4037558,Prague - Hradčany,3 bedroom,81 m²,"CZK 3,000",,,Yes,No,No,No,No,Yes,No,15. 04. 2022,255,"1,092",359,352,253,432,285,"1,168",198,301,Excellent,,Personal,Brick building,,Central heating,Top floor,,,,,,,,,
599976,"CZK 15,000",50.081584,14.406318,"Šeříková, Prague - Malá Strana",Studio,30 m²,"CZK 5,500",Furnished,2,Yes,Yes,No,No,No,Yes,No,18. 09. 2020,77,251,147,541,39,263,181,517,354,313,New build,"CZK 20,500",Personal,Brick building,,Gas boiler,Middle floor,Overall,Standard materials and solutions,Yes,1 to 10 years years,,,,,
699335,"CZK 10,500",50.13373,14.51058,"Chlebovická, Prague - Letňany",Studio,31 m²,"CZK 3,300",Partially furnished,11,No,No,Yes,No,No,Yes,No,13. 01. 2022,97,753,403,335,416,420,281,383,249,43,New build,"CZK 20,000",Personal,Low-energy building,B,,,,,,,,,,,
694733,"CZK 21,000",50.1057314,14.44422,"U Průhonu b, Prague - Holešovice",Studio,32 m²,"CZK 7,000",Furnished,1,Yes,Yes,No,No,No,Yes,Yes,20. 01. 2022,299,437,281,449,312,304,607,789,18,459,,,,,,,,,,,,,,,,
680027,"CZK 44,973",50.1025661,14.4522431,"Na Maninách, Prague - Holešovice",1 bedroom with open-plan kitchen,69 m²,"CZK 14,991",Furnished,6,Yes,Yes,No,No,No,Yes,No,20. 01. 2022,105,350,144,146,109,151,432,394,290,329,,,,,,,,,,,,,,,,
700056,"CZK 15,000",50.0216275,14.4502575,"Sulická, Prague - Lhotka",2 bedroom with open-plan kitchen,56 m²,"CZK 3,500",Furnished,6,No,No,No,No,Yes,No,No,01. 02. 2022,198,404,376,"1,425",315,399,538,737,744,369,Excellent,"CZK 30,000",Personal,Prefab concrete building,G,District heating,Middle floor,Overall,,,,,,,,
633616,"CZK 18,500",50.071479,14.384602,"Plzeňská, Prague - Košíře",1 bedroom with open-plan kitchen,52 m²,"CZK 2,000",Partially furnished,3,Yes,No,Yes,No,No,Yes,Yes,17. 01. 2022,211,848,198,"1,063",259,"1,187",273,527,"1,172",481,Excellent,"CZK 25,000",Personal,Brick building,D,Central heating,Top floor,Overall,Premium materials and solutions,,,,,,,
699662,"CZK 16,900",50.00845,14.42093,"Pejevové, Prague - Modřany",3 bedroom,73 m²,"CZK 3,500",Partially furnished,7,No,No,Yes,Yes,No,Yes,No,20. 01. 2022,465,576,428,438,506,463,224,"1,014",959,620,Excellent,"CZK 25,000",Cooperative,Prefab concrete building,C,District heating,Middle floor,Overall,Standard materials and solutions,,,,,,,
699926,"CZK 18,000",50.06987,14.4933,"Ke Strašnické, Prague - Strašnice",2 bedroom with open-plan kitchen,70 m²,,Partially furnished,2,No,No,Yes,Yes,Yes,Yes,Yes,18. 01. 2022,184,851,147,554,167,147,139,588,320,297,New build,,Personal,Prefab concrete building,C,District heating,Middle floor,Overall,,,,,,,,
457628,"CZK 12,000",50.108673,14.3955801,"Terronská, Prague - Bubeneč",Studio,41 m²,"CZK 3,200",Furnished,,No,No,No,No,No,No,No,20. 01. 2022,79,"1,235",5,621,34,396,528,376,490,150,,"CZK 15,000",Personal,Brick building,D,,,,,,,,,,,
700051,"CZK 18,000",50.1067399,14.4855219,"Podvinný mlýn, Prague - Libeň",3 bedroom,81 m²,"CZK 4,500",Partially furnished,6,No,No,Yes,Yes,No,Yes,No,18. 01. 2022,222,368,51,403,183,587,365,407,292,302,Good,"CZK 30,000",Personal,Prefab concrete building,G,,,,,,,,,,,
493824,"CZK 11,500",50.0436333,14.5513071,"Rudolfa Antonína Dvorského, Prague - Horní Měcholupy",Small studio,35 m²,"CZK 2,500",Furnished,5,No,No,Yes,No,Yes,No,No,01. 12. 2020,365,553,411,968,500,894,690,760,570,380,,"CZK 11,500",Personal,Brick building,,,,,Standard materials and solutions,,1 to 10 years years,,,,,
