Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Floor,New building,Age,Design,Front garden,Heating,Total number of floors,Renovation,Administration fee,Developer name,Project name,Kód jednotky
703807,"CZK 10,500",50.05439,14.44174,"Nad Jezerkou, Prague - Nusle",1 bedroom with open-plan kitchen,Good,43 m²,"CZK 3,600","CZK 14,100",Personal,Brick building,Unfurnished,No,No,No,No,No,No,No,01. 02. 2022,D,66,978,175,413,17,609,314,288,"1,007",262,,,,,,,,,,,,
680095,"CZK 63,113",50.0761284,14.4327244,"Londýnská, Prague - Vinohrady",3 bedroom,,70 m²,"CZK 21,037",,,,Furnished,No,Yes,No,No,No,No,No,27. 01. 2022,,100,264,66,90,3,201,314,391,396,647,3,,,,,,,,,,,
703808,"CZK 46,313",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,,60 m²,"CZK 15,437",,,,Furnished,No,No,No,No,No,Yes,No,27. 03. 2022,,110,274,157,129,77,143,300,496,282,367,4,,,,,,,,,,,
680086,"CZK 25,500",50.0901585,14.3426685,"Na Okraji, Prague - Veleslavín",1 bedroom with open-plan kitchen,,90 m²,"CZK 8,500",,,,Furnished,No,No,No,No,No,No,No,27. 01. 2022,,142,547,112,211,216,280,208,0,878,210,1,,,,,,,,,,,
680079,"CZK 56,250",50.0766855,14.4294035,"Sokolská, Prague - Nové Město",1 bedroom with open-plan kitchen,,45 m²,"CZK 18,750",,,,Furnished,No,No,No,No,No,No,No,27. 01. 2022,,212,525,185,151,68,162,317,392,109,262,4,,,,,,,,,,,
700300,"CZK 16,500",50.0266858,14.5304521,"Jurkovičova, Prague - Háje",1 bedroom with open-plan kitchen,New build,52 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Partially furnished,Yes,No,No,No,Yes,Yes,Yes,24. 01. 2022,B,50,926,334,583,416,657,264,425,717,364,2,,,,,,,,,,,
703802,"CZK 10,500",50.11506,14.56703,"Sicherova, Prague - Kyje",Studio,New build,35 m²,"CZK 2,300","CZK 10,500",Personal,Low-energy building,Partially furnished,Yes,No,No,No,No,Yes,No,25. 01. 2022,B,419,"1,059",834,"1,428","1,337",846,,,,,3,,,,,,,,,,,
703799,"CZK 18,500",50.05919,14.2832,"Milotická, Prague - Zličín",2 bedroom,New build,60 m²,"CZK 4,000","CZK 37,000",Personal,Brick building,Partially furnished,Yes,No,Yes,No,Yes,Yes,No,25. 01. 2022,G,433,756,923,853,710,977,320,"1,022",116,,2,Yes,,,,,,,,,,
703797,"CZK 15,000",50.10727,14.50628,"Za Lidovým domem, Prague - Vysočany",2 bedroom with open-plan kitchen,Excellent,85 m²,"CZK 4,000","CZK 15,000",Personal,Brick building,Furnished,No,Yes,No,No,No,Yes,Yes,01. 02. 2022,C,440,729,431,523,392,688,476,10,804,438,1,,10 to 30 years years,Standard materials and solutions,32 m²,,,,,,,
496946,"CZK 15,000",50.0218224,14.4407186,"Písnická, Prague - Kamýk",2 bedroom,Excellent,66 m²,"CZK 5,000","CZK 20,000",Personal,Prefab concrete building,Unfurnished,No,No,Yes,Yes,No,Yes,No,,,128,674,164,648,722,549,409,412,800,282,4,,,Standard materials and solutions,,District heating,Middle floor,Interior,,,,
703793,"CZK 25,000",50.0556,14.4954,"Hyacintová, Prague - Záběhlice",4 bedroom,Excellent,110 m²,"CZK 6,000","CZK 35,000",Personal,Brick building,Furnished,Yes,No,Yes,No,No,Yes,Yes,01. 02. 2022,G,169,716,288,"1,128",62,189,148,629,204,341,6,,,,,,,,,,,
648799,"CZK 13,800",50.07254,14.394542,"Plzeňská, Prague - Smíchov",1 bedroom,Excellent,34 m²,CZK 700,"CZK 18,000",Personal,Brick building,Partially furnished,No,Yes,No,No,No,No,No,01. 02. 2022,C,105,794,91,485,89,614,235,"1,060",830,357,2,,1 to 10 years years,,,Electric boiler,,Overall,,,,
379118,"CZK 12,100",49.999400230001,14.410353649738,"Benáčanova, Prague - Modřany",Studio,New build,35 m²,"CZK 2,400",,Personal,Brick building,Partially furnished,Yes,No,Yes,No,No,Yes,No,,,61,"1,008",908,"1,103",275,756,893,758,461,221,3,Yes,1 to 10 years years,,,District heating,,,,,,
569427,"CZK 17,000",50.0862158,14.4443522,"Řehořova, Prague - Žižkov",Studio,,34 m²,"CZK 3,000","CZK 17,000",Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,01. 02. 2022,,411,641,400,515,317,608,376,415,469,841,5,,1 to 10 years years,,,Electric boiler,Top floor,Overall,,,,
703788,"CZK 12,941",50.0215761,14.4894951,"Jana Růžičky, Prague - Kunratice",1 bedroom with open-plan kitchen,Good,45 m²,"CZK 3,136","CZK 16,077",Personal,Other,,No,No,No,No,No,No,No,24. 01. 2022,,111,891,165,984,391,184,210,194,471,92,1,,,,,,,,"CZK 1,941",,,
680099,"CZK 29,925",50.0845694,14.4671948,"Pitterova, Prague - Žižkov",1 bedroom with open-plan kitchen,,,"CZK 9,975",,,,Furnished,No,No,No,No,No,Yes,Yes,27. 01. 2022,,221,235,240,630,210,69,520,374,219,292,7,,,,,,,,,,,
