Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Design,Heating,Total number of floors,Renovation,PENB,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky
694733,"CZK 21,000",50.1057314,14.44422,"U Průhonu b, Prague - Holešovice",Studio,32 m²,"CZK 7,000",Furnished,1,Yes,Yes,No,No,No,Yes,Yes,29. 01. 2022,299,437,281,449,312,304,607,789,18,459,,,,,,,,,,,,,,,,
703789,"CZK 13,600",50.05981,14.44846,"Dolní, Prague - Nusle",Studio,31 m²,"CZK 1,673",Unfurnished,1,No,No,Yes,No,No,No,No,01. 02. 2022,137,918,172,285,125,690,367,533,799,140,Excellent,"CZK 27,200",Personal,Brick building,over 50 years years,Premium materials and solutions,Gas boiler,Middle floor,Overall,G,,,,,,
622376,"CZK 23,900",50.080849,14.500276,"Počernická, Prague - Malešice",2 bedroom with open-plan kitchen,75 m²,"CZK 4,900",,7,No,Yes,Yes,No,Yes,Yes,Yes,01. 03. 2022,95,238,12,14,129,91,283,594,874,16,New build,"CZK 23,900",Personal,Brick building,,,,,,B,,,,,,
700302,"CZK 44,888",50.0907943,14.427063,"Dlouhá, Prague - Staré Město",2 bedroom with open-plan kitchen,62 m²,"CZK 14,962",Furnished,3,No,No,No,No,No,Yes,No,22. 02. 2022,2,191,16,48,1,127,128,306,209,259,,,,,,,,,,,,,,,,
42544,"CZK 12,500",50.05557395,14.48522035,"Záběhlická, Prague - Záběhlice",Studio,38 m²,"CZK 3,000",Furnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,109,"1,437",285,"1,426",432,910,867,"1,071",335,471,Excellent,"CZK 15,500",Personal,Brick building,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,,,,,,,,
700495,"CZK 28,500",50.07847,14.41726,"Křemencova, Prague - Nové Město",3 bedroom with open-plan kitchen,131 m²,CZK 600,Partially furnished,2,No,No,Yes,No,No,Yes,No,22. 01. 2022,128,495,17,244,12,420,252,307,418,492,Excellent,"CZK 28,500",Personal,Brick building,,,Gas boiler,,,,,,,,,
704109,"CZK 16,000",50.09332,14.44768,"Sokolovská, Prague - Karlín",2 bedroom,57 m²,CZK 800,Partially furnished,1,No,No,No,No,No,No,No,01. 02. 2022,129,232,52,262,32,383,446,"1,205",539,211,Excellent,"CZK 16,000",Personal,Brick building,,,,,,,,,,,,
72896,"CZK 12,000",50.0768004519,14.4043958187,"Arbesovo náměstí, Prague - Smíchov",Studio,37 m²,"CZK 2,200",Unfurnished,3,No,No,No,No,No,No,No,01. 02. 2022,77,217,16,68,72,104,224,909,729,358,,"CZK 14,200",Personal,Brick building,,,Central heating,Middle floor,,G,,,,,,
643615,"CZK 10,000",50.060456,14.401308,"Nad Koulkou, Prague - Smíchov",1 bedroom,30 m²,CZK 750,Partially furnished,1,No,No,No,No,No,No,No,01. 02. 2021,147,825,190,"1,078",134,327,754,876,816,694,Excellent,"CZK 15,000",Personal,Brick building,,,,,,G,,,,,,
700489,"CZK 13,500",50.1069733,14.497176624888,"Ocelářská, Prague - Vysočany",Studio,28 m²,"CZK 2,500",Furnished,4,Yes,No,Yes,Yes,Yes,Yes,Yes,01. 02. 2022,358,734,452,568,442,475,550,739,409,266,New build,"CZK 15,000",Personal,Brick building,,,,,,B,,,,,,
177841,"CZK 20,000",50.1305193,14.4114826,"Zelenohorská, Prague - Bohnice",2 bedroom with open-plan kitchen,76 m²,"CZK 5,000",Partially furnished,8,No,No,No,Yes,No,Yes,No,,400,788,344,718,83,784,587,421,345,,Excellent,"CZK 40,000",Personal,Prefab concrete building,,,District heating,Middle floor,Overall,,,,,,,
689424,"CZK 13,000",50.069,14.4921,"Průběžná, Prague - Strašnice",2 bedroom,56 m²,"CZK 2,000",Furnished,4,Yes,No,Yes,No,No,Yes,No,31. 10. 2021,46,"1,017",210,721,99,227,252,572,322,160,Good,"CZK 15,000",Other,Brick building,,,,,,B,,,,,,
704105,"CZK 19,000",50.02361,14.57837,"V Pitkovičkách, Prague - Pitkovice",1 bedroom with open-plan kitchen,57 m²,"CZK 3,000",Partially furnished,3,No,Yes,No,No,Yes,No,No,28. 01. 2022,86,"1,438","1,260",177,,,,,,,New build,"CZK 30,000",Personal,Brick building,1 to 10 years years,Premium materials and solutions,Electric boiler,Top floor,,A,Yes,,,,,
699519,"CZK 18,760",50.0726277,14.3919683,"Grafická, Prague - Smíchov",1 bedroom with open-plan kitchen,79 m²,"CZK 6,253",Furnished,6,No,No,No,No,No,No,No,01. 02. 2022,187,"1,029",127,720,136,847,206,901,"1,059",126,,,,,,,,,,,,,,,,
337164,"CZK 10,500",50.10301,14.51164,"Poděbradská, Prague - Vysočany",Studio,33 m²,"CZK 3,500",Partially furnished,1,Yes,No,No,No,No,No,No,,177,"1,170",279,"1,000",323,783,281,"1,097","1,286",824,Excellent,"CZK 15,000",Personal,Other,10 to 30 years years,Standard materials and solutions,District heating,Middle floor,,,,,,,,
625951,"CZK 13,000",50.08211,14.318979,Prague - Ruzyně,Small studio,35 m²,"CZK 1,500",Furnished,1,No,No,No,No,No,No,No,01. 10. 2021,277,228,328,"1,199",995,407,,,,,New build,"CZK 20,000",Personal,Brick building,1 to 10 years years,,Gas boiler,Top floor,,A,,,,,,
679995,"CZK 28,500",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",1 bedroom,43 m²,"CZK 9,500",Furnished,7,No,No,No,No,No,Yes,No,29. 01. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,
704097,"CZK 17,000",50.03424,14.52726,"Mirošovská, Prague - Háje",3 bedroom,75 m²,"CZK 5,500",Furnished,1,Yes,No,No,No,No,No,No,01. 02. 2022,60,704,391,398,281,182,367,219,342,281,Excellent,"CZK 34,000",Personal,Brick building,,,,,,G,,,,,,
700478,"CZK 18,000",50.07486,14.3615,"Na Císařce, Prague - Smíchov",1 bedroom with open-plan kitchen,59 m²,"CZK 2,750",Partially furnished,1,No,Yes,No,No,Yes,Yes,Yes,01. 02. 2022,523,"1,109","1,464",797,"1,041",670,325,130,,,Excellent,"CZK 27,000",Personal,Other,,,,,,G,,,,,,
519849,"CZK 21,000",50.0771546,14.4683767,Prague - Vinohrady,2 bedroom,59 m²,"CZK 3,500",Furnished,2,Yes,No,No,No,No,Yes,No,01. 03. 2022,141,452,19,213,144,197,107,869,229,124,Excellent,"CZK 24,980",Personal,Brick building,1 to 10 years years,,Central heating,Middle floor,Interior,,,,,,,
237284,"CZK 11,600",50.0721538,14.4054179,"Lidická, Prague - Smíchov",Studio,34 m²,"CZK 1,300",Partially furnished,4,No,No,No,No,No,No,No,,143,490,134,78,92,375,583,"1,063","1,258",726,Good,"CZK 12,900",Personal,Brick building,,Standard materials and solutions,Central heating,Middle floor,,G,,,,,,
118686,"CZK 30,000",50.0695036,14.3174676,"Na Fialce II, Prague - Řepy",2 bedroom with open-plan kitchen,110 m²,"CZK 7,000",Furnished,2,Yes,No,No,No,No,No,Yes,01. 06. 2022,358,"1,261",962,"1,327",648,"1,114",770,535,577,211,Excellent,"CZK 70,000",Personal,Brick building,10 to 30 years years,Premium materials and solutions,Gas boiler,Middle floor,,D,,,,,,
704095,"CZK 19,990",50.02384,14.52323,"Bohúňova, Prague - Chodov",2 bedroom with open-plan kitchen,76 m²,"CZK 1,876",Furnished,7,Yes,No,Yes,No,No,Yes,No,27. 01. 2022,352,"1,139",339,"1,070",261,618,231,742,"1,166",205,Excellent,"CZK 23,000",Personal,Brick building,10 to 30 years years,Standard materials and solutions,Central heating,Middle floor,Interior,C,,,,,,
704094,"CZK 15,990",50.13620277777,14.50588888888,"Tupolevova, Prague - Letňany",3 bedroom,70 m²,"CZK 3,698",Partially furnished,7,No,No,No,Yes,No,Yes,No,,206,929,180,277,364,407,296,548,243,380,Good,"CZK 19,688",Personal,Prefab concrete building,,,,,,G,,"CZK 19,688

                                
                                
                
i",,,,
537070,"CZK 16,000",50.1008494,14.4478499,"Jateční, Prague - Holešovice",1 bedroom with open-plan kitchen,53 m²,"CZK 2,000",Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,185,285,181,396,199,206,218,370,560,165,Excellent,"CZK 16,000",Personal,Prefab concrete building,,Premium materials and solutions,,,Overall,D,,,,,,
686085,"CZK 27,000",50.0723321,14.4399493,"Jana Masaryka, Prague - Vinohrady",2 bedroom,82 m²,"CZK 9,000",Furnished,3,No,No,No,No,No,Yes,No,29. 01. 2022,155,369,147,651,45,545,205,328,671,484,,,,,,,,,,,,,,,,
704085,"CZK 11,500",50.0869795,14.4446955,"Husitská, Prague - Žižkov",1 bedroom with open-plan kitchen,42 m²,CZK 750,Partially furnished,3,No,Yes,No,No,No,No,No,28. 01. 2022,151,665,424,620,142,633,400,440,482,450,Excellent,"CZK 13,000",Personal,Brick building,,,,,,G,,,,,,
691513,"CZK 12,700",50.0085822,14.4666058,"Na Domovině, Prague - Libuš",Studio,40 m²,"CZK 2,500",Furnished,3,No,No,Yes,Yes,No,Yes,No,28. 01. 2022,222,567,435,426,479,965,"1,472",,,,New build,"CZK 20,000",Personal,Brick building,,Premium materials and solutions,District heating,,,C,Yes,,,,,
641328,"CZK 14,000",50.054931,14.441554,"Nad Jezerkou, Prague - Nusle",1 bedroom with open-plan kitchen,45 m²,"CZK 2,800",Furnished,2,No,No,Yes,No,No,No,No,01. 02. 2022,103,"1,015",212,450,80,571,351,326,"1,044",299,Excellent,"CZK 25,000",Personal,Brick building,1 to 10 years years,,,Middle floor,Overall,G,,,,,,
