Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Heating,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Design,Total number of floors,Renovation,Age,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
641544,"CZK 12,700",50.104841,14.488342,"Kurta Konráda, Prague - Libeň",Studio,New build,42 m²,"CZK 2,000",Personal,Brick building,Furnished,4,No,No,Yes,No,No,Yes,No,01. 03. 2022,District heating,B,195,105,145,78,192,251,362,575,206,16,,,,,,,,,,,
704191,"CZK 14,700",50.10143,14.42118,"Čechova, Prague - Bubeneč",1 bedroom with open-plan kitchen,Excellent,55 m²,CZK 510,Personal,Brick building,Partially furnished,4,Yes,No,Yes,No,No,No,No,01. 03. 2022,,B,266,266,180,206,65,351,217,490,362,,"CZK 32,000",,,,,,,,,,
704428,"CZK 12,113",50.0422027,14.5517256,"Nad Přehradou, Prague - Horní Měcholupy",Studio,,40 m²,"CZK 4,037",,,Furnished,2,No,No,No,No,No,Yes,No,01. 04. 2022,,,161,375,233,680,618,598,308,378,496,177,,,,,,,,,,,
704427,"CZK 25,313",50.0971677,14.4676654,"Nekvasilova, Prague - Karlín",3 bedroom,,82 m²,"CZK 8,437",,,Furnished,2,No,Yes,No,No,No,Yes,Yes,01. 04. 2022,,,255,"1,019",193,965,266,754,583,492,725,134,,,,,,,,,,,
704425,"CZK 22,916",50.0930185,14.4565452,"Březinova, Prague - Karlín",2 bedroom,,87 m²,"CZK 7,639",,,Furnished,1,No,No,No,No,No,No,No,01. 04. 2022,,,382,763,114,364,80,227,254,"1,294",278,301,,,,,,,,,,,
680027,"CZK 44,973",50.1025661,14.4522431,"Na Maninách, Prague - Holešovice",1 bedroom with open-plan kitchen,,69 m²,"CZK 14,991",,,Furnished,6,Yes,Yes,No,No,No,Yes,No,01. 02. 2022,,,105,350,144,146,109,151,432,394,290,329,,,,,,,,,,,
704424,"CZK 33,000",50.0920126,14.4239059,"Anežská, Prague - Staré Město",2 bedroom with open-plan kitchen,,80 m²,"CZK 11,000",,,Furnished,2,No,No,No,No,No,No,No,01. 04. 2022,,,157,402,153,285,152,248,384,447,194,153,,,,,,,,,,,
704423,"CZK 12,188",50.0818597,14.4470199,"Kubelíkova, Prague - Žižkov",Studio,,29 m²,"CZK 4,062",,,Furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,,,545,394,28,488,19,62,291,302,621,394,,,,,,,,,,,
704422,"CZK 17,925",50.0860727,14.431655,"Senovážné náměstí, Prague - Nové Město",1 bedroom with open-plan kitchen,,81 m²,"CZK 5,975",,,Furnished,6,No,No,No,No,No,Yes,No,01. 04. 2022,,,162,346,220,126,95,114,272,559,345,339,,,,,,,,,,,
704421,"CZK 18,000",50.101287,14.4274794,"Veletržní, Prague - Holešovice",1 bedroom,,,"CZK 6,000",,,Furnished,1,No,No,No,No,No,No,No,01. 04. 2022,,,159,212,112,187,64,141,210,116,549,,,,,,,,,,,,
704420,"CZK 18,000",50.0830689,14.4668702,"Olšanská, Prague - Žižkov",1 bedroom,,42 m²,"CZK 6,000",,,Furnished,2,No,No,No,No,No,Yes,Yes,01. 04. 2022,,,213,228,353,747,332,258,643,491,336,409,,,,,,,,,,,
703802,"CZK 10,500",50.11506,14.56703,"Sicherova, Prague - Kyje",Studio,New build,35 m²,"CZK 2,300",Personal,Low-energy building,Partially furnished,3,Yes,No,No,No,No,Yes,No,25. 01. 2022,,B,419,"1,059",834,"1,428","1,337",846,,,,,"CZK 10,500",,,,,,,,,,
137974,"CZK 15,500",50.1248844,14.4942227,"Jablonecká, Prague - Střížkov",3 bedroom,Excellent,68 m²,"CZK 3,700",Personal,Prefab concrete building,Partially furnished,9,No,No,No,Yes,No,Yes,No,01. 02. 2022,District heating,,268,371,84,309,75,98,477,391,816,44,"CZK 46,500",,,,,,,,,,
680059,"CZK 60,289",50.0821872,14.4175604,"Národní, Prague - Staré Město",2 bedroom,,,"CZK 20,096",,,Furnished,1,No,No,No,No,No,No,No,01. 02. 2022,,,198,801,15,163,39,141,121,304,55,465,,,,,,,,,,,
680051,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,,45 m²,"CZK 12,000",,,Furnished,4,No,No,No,No,No,Yes,No,01. 02. 2022,,,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,
694718,"CZK 18,600",50.0799163,14.4476377,"Slavíkova, Prague - Žižkov",Studio,,29 m²,"CZK 6,200",,,Furnished,5,No,Yes,No,No,No,Yes,No,01. 03. 2022,,,472,536,115,535,55,394,404,513,675,431,,,,,,,,,,,
703793,"CZK 25,000",50.0556,14.4954,"Hyacintová, Prague - Záběhlice",4 bedroom,Excellent,110 m²,"CZK 6,000",Personal,Brick building,Furnished,6,Yes,No,Yes,No,No,Yes,Yes,01. 02. 2022,,G,169,716,288,"1,128",62,189,148,629,204,341,"CZK 35,000",,,,,,,,,,
