Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,Front garden,Renovation,Age,Administration fee,New building,Developer name,Project name,Kód jednotky
704929,"CZK 7,300",50.12888,14.45091,"Paláskova, Prague - Kobylisy",1 bedroom,Excellent,39 m²,"CZK 4,700","CZK 12,000",Personal,Prefab concrete building,Furnished,11,No,No,No,Yes,No,Yes,No,02. 02. 2022,G,285,"1,429",145,584,174,260,748,495,"1,361",118,,,,,,,,,,,
703503,"CZK 12,000",50.12617,14.42044,"Hnězdenská, Prague - Troja",Studio,Excellent,47 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Furnished,3,No,No,No,No,No,No,No,07. 02. 2022,C,206,279,292,349,143,293,800,990,"1,268",421,,,,,,,,,,,
680097,"CZK 88,613",50.079282,14.4274522,"Ve Smečkách, Prague - Nové Město",3 bedroom with open-plan kitchen,,82 m²,"CZK 29,537",,,,Furnished,6,No,Yes,No,No,No,Yes,No,04. 02. 2022,,262,583,62,229,43,244,476,576,376,483,,,,,,,,,,,
695225,"CZK 16,245",50.0739772,14.4306534,"Legerova, Prague - Vinohrady",Studio,,33 m²,"CZK 5,415",,,,Furnished,2,No,No,No,No,No,Yes,No,04. 02. 2022,,132,574,130,206,94,143,358,427,494,560,,,,,,,,,,,
704926,"CZK 16,000",50.10912,14.55818,"Pelušková, Prague - Kyje",1 bedroom with open-plan kitchen,Excellent,54 m²,"CZK 2,500","CZK 20,000",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,Yes,01. 03. 2022,G,107,929,101,143,883,547,"1,452",424,,,,,,,,,,,,,
461856,"CZK 13,999",50.1064671,14.4542935,"U Parního mlýna, Prague - Holešovice",1 bedroom,Excellent,33 m²,CZK 1,,Personal,Brick building,Partially furnished,5,No,No,No,No,No,Yes,No,01. 03. 2022,,306,717,105,530,107,410,474,981,318,267,Standard materials and solutions,Other,,,,,,,,,
704925,"CZK 17,000",50.02624,14.52365,"Doubravická, Prague - Chodov",2 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 5,500","CZK 17,000",Cooperative,Prefab concrete building,Partially furnished,10,No,No,No,No,No,Yes,No,03. 02. 2022,G,169,949,182,781,202,444,389,552,877,135,,,,,,,,,,,
704908,"CZK 15,000",50.07632,14.43525,"Italská, Prague - Vinohrady",1 bedroom,Excellent,45 m²,CZK 750,"CZK 15,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,02. 02. 2022,G,27,86,178,47,79,221,380,470,523,744,,Gas boiler,Middle floor,,,,,,,,
680099,"CZK 29,925",50.0845694,14.4671948,"Pitterova, Prague - Žižkov",1 bedroom with open-plan kitchen,,,"CZK 9,975",,,,Furnished,7,No,No,No,No,No,Yes,Yes,04. 02. 2022,,221,235,240,630,210,69,520,374,219,292,,,,,,,,,,,
100900,"CZK 12,400",50.1173105,14.2971938,"Hokešovo nám., Prague - Přední Kopanina",1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 4,100","CZK 16,500",,Brick building,Furnished,2,No,No,No,No,No,No,No,27. 06. 2021,,33,176,294,,,,,,,,,Central heating,,,,,,,,,
