Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,PENB,Design,Renovation,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
704424,"CZK 33,000",50.0920126,14.4239059,"Anežská, Prague - Staré Město",2 bedroom with open-plan kitchen,80 m²,"CZK 11,000",Furnished,2,No,No,No,No,No,No,No,01. 04. 2022,157,402,153,285,152,248,384,447,194,153,,,,,,,,,,,,,,,,
670314,"CZK 17,000",49.96831,14.38631,"Pelzova, Prague - Zbraslav",1 bedroom with open-plan kitchen,70 m²,"CZK 2,831",Partially furnished,1,No,Yes,Yes,No,No,Yes,No,01. 02. 2022,122,"1,089",68,"1,240",367,102,498,329,149,,Excellent,"CZK 36,000",Personal,Brick building,1 to 10 years years,District heating,Middle floor,C,,,,,,,,
705280,"CZK 22,500",50.0723918,14.4059555,"Lidická, Prague - Smíchov",1 bedroom,,"CZK 7,500",Furnished,4,No,No,No,No,No,No,No,07. 04. 2022,100,437,82,124,1,340,531,"1,038","1,232",691,,,,,,,,,,,,,,,,
705279,"CZK 24,000",50.0723554,14.4069173,"Lidická, Prague - Smíchov",1 bedroom,,"CZK 8,000",Furnished,3,No,No,No,No,No,No,No,07. 04. 2022,25,378,16,198,26,271,471,963,"1,249",622,,,,,,,,,,,,,,,,
680050,"CZK 39,750",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,75 m²,"CZK 13,250",Furnished,2,No,No,No,No,No,Yes,No,07. 02. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
265022,"CZK 12,700",50.0372661,14.5076689,"Donovalská, Prague - Chodov",Studio,30 m²,"CZK 1,900",Partially furnished,8,No,No,Yes,No,No,Yes,No,01. 03. 2022,91,842,182,263,421,425,414,258,142,,Excellent,"CZK 20,000",Personal,Prefab concrete building,,District heating,Middle floor,B,Standard materials and solutions,Overall,,,,,,
704234,"CZK 20,000",50.09782,14.36655,"Kladenská, Prague - Vokovice",1 bedroom,50 m²,"CZK 3,000",Partially furnished,3,No,No,Yes,No,No,No,No,01. 02. 2022,459,383,480,389,33,259,773,611,901,105,Excellent,"CZK 40,000",Personal,Brick building,,Gas boiler,Middle floor,G,Premium materials and solutions,Overall,,,,,,
572011,"CZK 16,500",50.0796951,14.4226227,"Vodičkova, Prague - Nové Město",Studio,35 m²,"CZK 1,500",Furnished,4,No,No,No,No,No,Yes,No,01. 02. 2022,32,662,17,27,49,163,134,701,448,424,Excellent,"CZK 18,000",Personal,Brick building,,,,D,,,,,,,,
698117,"CZK 11,500",50.1032213,14.5187387,"Poděbradská, Prague - Vysočany",Studio,23 m²,"CZK 3,000",Partially furnished,2,No,No,No,No,No,Yes,No,15. 02. 2022,88,"1,460",182,"1,442",789,191,"1,067","1,486","1,035",548,New build,"CZK 20,000",Personal,Other,,Central heating,,B,Standard materials and solutions,,Yes,,,,,
459369,"CZK 11,900",50.1059828,14.5231839,"Modrého, Prague - Hloubětín",Studio,33 m²,"CZK 2,000",Furnished,5,Yes,No,Yes,No,No,Yes,No,02. 05. 2022,524,"1,249",639,"1,230",801,775,"1,178","1,246",934,202,New build,"CZK 20,000",Personal,Brick building,,,,B,Premium materials and solutions,,Yes,,,,,
679995,"CZK 28,500",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",1 bedroom,43 m²,"CZK 9,500",Furnished,7,No,No,No,No,No,Yes,No,07. 02. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,
