Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Heating,Total number of floors,Age,Design,Front garden,Renovation,New building,Administration fee,Developer name,Project name,Kód jednotky
705390,"CZK 16,000",50.07828,14.5085,"Limuzská, Prague - Strašnice",1 bedroom with open-plan kitchen,New build,52 m²,"CZK 3,000","CZK 16,000",Personal,Prefab concrete building,Unfurnished,2,Yes,No,Yes,No,No,Yes,No,07. 02. 2022,A,,,,,,,,,,,,,,,,,,,,,
680095,"CZK 63,113",50.0761284,14.4327244,"Londýnská, Prague - Vinohrady",3 bedroom,,70 m²,"CZK 21,037",,,,Furnished,3,No,Yes,No,No,No,No,No,08. 02. 2022,,100,264,66,90,3,201,314,391,396,647,,,,,,,,,,,
704291,"CZK 13,875",50.0787721,14.4457646,"Polská, Prague - Vinohrady",1 bedroom,,25 m²,"CZK 4,625",,,,Furnished,5,No,No,No,No,No,No,No,31. 03. 2022,,377,625,12,482,23,353,301,64,259,378,,,,,,,,,,,
704428,"CZK 12,113",50.0422027,14.5517256,"Nad Přehradou, Prague - Horní Měcholupy",Studio,,40 m²,"CZK 4,037",,,,Furnished,2,No,No,No,No,No,Yes,No,01. 04. 2022,,161,375,233,680,618,598,308,378,496,177,,,,,,,,,,,
680027,"CZK 44,973",50.1025661,14.4522431,"Na Maninách, Prague - Holešovice",1 bedroom with open-plan kitchen,,69 m²,"CZK 14,991",,,,Furnished,6,Yes,Yes,No,No,No,Yes,No,08. 02. 2022,,105,350,144,146,109,151,432,394,290,329,,,,,,,,,,,
704764,"CZK 12,500",50.0543898,14.441744,"Nad Jezerkou, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 4,000","CZK 16,500",Personal,Brick building,Unfurnished,4,No,No,No,No,No,No,No,01. 04. 2022,D,66,977,175,413,17,608,314,288,"1,007",262,Central heating,Middle floor,,,,,,,,,
648133,"CZK 15,000",50.071933,14.386621,"Holečkova, Prague - Košíře",2 bedroom,New build,52 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,30. 03. 2022,B,117,858,109,"1,109",165,"1,241",454,545,"1,251",395,Gas boiler,Middle floor,1 to 10 years years,Standard materials and solutions,120 m²,Interior,,,,,
693259,"CZK 23,250",50.0795659,14.4357789,"Balbínova, Prague - Vinohrady",1 bedroom with open-plan kitchen,,48 m²,"CZK 7,750",,,,Furnished,2,No,No,No,No,No,Yes,No,01. 03. 2022,,134,417,252,351,68,251,205,205,457,712,,,,,,,,,,,
680097,"CZK 88,613",50.079282,14.4274522,"Ve Smečkách, Prague - Nové Město",3 bedroom with open-plan kitchen,,82 m²,"CZK 29,537",,,,Furnished,6,No,Yes,No,No,No,Yes,No,08. 02. 2022,,262,583,62,229,43,244,476,576,376,483,,,,,,,,,,,
631722,"CZK 17,000",50.043928,14.51544,"Bratislavská, Prague - Hostivař",2 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 4,500","CZK 34,000",Personal,Brick building,,4,Yes,No,No,Yes,Yes,Yes,No,01. 02. 2022,G,192,205,272,261,"1,075",407,"1,165",101,,,,,,,,,,,,,
704234,"CZK 20,000",50.09782,14.36655,"Kladenská, Prague - Vokovice",1 bedroom,Excellent,50 m²,"CZK 3,000","CZK 40,000",Personal,Brick building,Partially furnished,3,No,No,Yes,No,No,No,No,01. 02. 2022,G,459,383,480,389,33,259,773,611,901,105,Gas boiler,Middle floor,,Premium materials and solutions,,Overall,,,,,
705384,"CZK 19,500",50.0861644,14.3218614,"Rakovnická, Prague - Ruzyně",2 bedroom with open-plan kitchen,Excellent,75 m²,"CZK 3,500","CZK 23,000",Personal,Brick building,Furnished,2,No,No,No,Yes,Yes,No,No,15. 02. 2022,G,350,"1,494",393,284,"1,025",581,273,273,,,,,,,,,,,,,
680008,"CZK 35,100",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,,44 m²,"CZK 11,700",,,,Furnished,3,No,No,No,No,No,No,No,08. 02. 2022,,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,
695225,"CZK 16,245",50.0739772,14.4306534,"Legerova, Prague - Vinohrady",Studio,,33 m²,"CZK 5,415",,,,Furnished,2,No,No,No,No,No,Yes,No,08. 02. 2022,,132,574,130,206,94,143,358,427,494,560,,,,,,,,,,,
704746,"CZK 14,000",50.08271,14.50339,"Bydžovského, Prague - Malešice",2 bedroom,Excellent,57 m²,"CZK 5,000","CZK 15,000",Personal,Prefab concrete building,Partially furnished,3,No,No,Yes,Yes,No,Yes,No,15. 03. 2022,G,262,286,254,242,339,402,425,269,869,107,District heating,,,,,,,,,,
705383,"CZK 19,000",50.07341,14.47172,"Ruská, Prague - Vršovice",3 bedroom,Excellent,71 m²,CZK 500,"CZK 38,000",Cooperative,Brick building,Partially furnished,4,Yes,No,No,No,No,No,No,01. 03. 2022,G,15,549,184,511,341,271,537,555,626,350,,,,,,,,,,,
604344,"CZK 14,000",50.056015,14.441224,"Na Veselí, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,55 m²,CZK 990,"CZK 14,000",Cooperative,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,01. 06. 2020,,27,"1,158",180,647,119,537,375,349,"1,067",149,Gas boiler,,,,,,,,,,
680054,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,,45 m²,"CZK 12,000",,,,Furnished,1,No,No,No,No,No,Yes,No,08. 02. 2022,,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,
704736,"CZK 11,400",50.05806,14.44316,"Pod Lázní, Prague - Nusle",Studio,Excellent,28 m²,"CZK 2,600","CZK 15,000",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,02. 02. 2022,C,91,"1,115",352,716,180,851,486,460,695,175,,,,,,,,,,,
