Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Total number of floors,Condition,PENB,Age,Front garden,Renovation,New building,Administration fee,Developer name,Project name,Kód jednotky
704424,"CZK 33,000",50.0920126,14.4239059,"Anežská, Prague - Staré Město",2 bedroom with open-plan kitchen,80 m²,"CZK 11,000",Furnished,2,No,No,No,No,No,No,No,01. 04. 2022,157,402,153,285,152,248,384,447,194,153,,,,,,,,,,,,,,,,
705280,"CZK 22,500",50.0723918,14.4059555,"Lidická, Prague - Smíchov",1 bedroom,,"CZK 7,500",Furnished,4,No,No,No,No,No,No,No,07. 04. 2022,100,437,82,124,1,340,531,"1,038","1,232",691,,,,,,,,,,,,,,,,
694718,"CZK 18,600",50.0799163,14.4476377,"Slavíkova, Prague - Žižkov",Studio,29 m²,"CZK 6,200",Furnished,5,No,Yes,No,No,No,Yes,No,01. 03. 2022,472,536,115,535,55,394,404,513,675,431,,,,,,,,,,,,,,,,
389019,"CZK 16,500",50.0612207,14.3994811,"Radlická, Prague - Smíchov",1 bedroom with open-plan kitchen,95 m²,CZK 500,Partially furnished,5,No,No,No,No,No,No,No,01. 11. 2021,43,814,104,918,124,362,554,653,684,562,"CZK 17,000",Personal,Brick building,Standard materials and solutions,Gas boiler,Attic,,,,,,,,,,
680051,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,45 m²,"CZK 12,000",Furnished,4,No,No,No,No,No,Yes,No,11. 02. 2022,156,408,244,342,59,242,281,281,533,788,,,,,,,,,,,,,,,,
653208,"CZK 11,000",50.1042381,14.4556996,Prague - Holešovice,1 bedroom with open-plan kitchen,41 m²,"CZK 2,500",Furnished,1,No,No,No,No,No,Yes,No,01. 04. 2021,73,697,121,291,82,302,737,699,178,392,"CZK 11,000",Personal,Brick building,,District heating,,Excellent,C,,,,,,,,
679995,"CZK 28,500",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",1 bedroom,43 m²,"CZK 9,500",Furnished,7,No,No,No,No,No,Yes,No,11. 02. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,
696583,"CZK 15,300",50.0236328,14.420109,"Na Výspě, Prague - Hodkovičky",1 bedroom,50 m²,"CZK 5,100",Furnished,1,No,No,No,No,No,No,No,15. 03. 2022,205,"1,125",579,"1,118",554,629,856,827,"1,391",591,,,,,,,,,,,,,,,,
705836,"CZK 13,500",50.10991,14.39662,"M. J. Lermontova, Prague - Bubeneč",1 bedroom,39 m²,"CZK 2,000",Partially furnished,3,No,Yes,Yes,No,No,No,No,10. 02. 2022,289,"1,445",205,832,244,607,634,611,701,284,"CZK 15,000",Personal,Brick building,,Central heating,,Excellent,G,,,,,,,,
705833,"CZK 20,000",50.0448122,14.51824,"náměstí Přátelství, Prague - Hostivař",2 bedroom with open-plan kitchen,60 m²,"CZK 4,000",Partially furnished,5,Yes,No,No,No,Yes,Yes,Yes,09. 02. 2022,124,114,11,0,884,263,978,122,,,,Personal,Brick building,,,,New build,C,,,,,,,,
