Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Heating,Total number of floors,Renovation,Administration fee,New building,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
706795,"CZK 39,000",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 13,000",Furnished,2,No,No,No,No,No,Yes,No,17. 04. 2022,110,274,157,129,77,143,300,496,282,367,,,,,,,,,,,,,,,,,
596761,"CZK 10,000",50.130171,14.493349,"Makedonská, Prague - Střížkov",Studio,37 m²,"CZK 3,500",,2,Yes,No,No,No,No,No,No,01. 04. 2022,340,"1,042",186,967,614,460,541,418,"1,167",108,New build,"CZK 20,000",Personal,Other,A,,,,,,,,,,,,
705966,"CZK 37,000",50.07244,14.40378,"Štefánikova, Prague - Smíchov",4 bedroom with open-plan kitchen,225 m²,CZK 500,Furnished,4,No,Yes,No,No,No,No,No,10. 02. 2022,74,468,150,5,30,14,551,"1,212","1,223",460,Excellent,"CZK 72,000",Personal,Brick building,G,,,,,,,,,,,,
705833,"CZK 20,000",50.0448122,14.51824,"náměstí Přátelství, Prague - Hostivař",2 bedroom with open-plan kitchen,60 m²,"CZK 2,431",Partially furnished,5,Yes,No,No,No,Yes,Yes,No,15. 02. 2022,124,114,11,0,884,263,978,122,,,New build,"CZK 23,000",Personal,Brick building,C,,,,,,,,,,,,
705963,"CZK 15,000",50.08184,14.50087,"Počernická, Prague - Malešice",2 bedroom,53 m²,"CZK 4,500",Furnished,6,No,No,Yes,Yes,No,Yes,No,01. 04. 2022,38,162,73,67,128,187,248,444,841,134,Excellent,"CZK 15,000",Personal,Prefab concrete building,G,,,,,,,,,,,,
706779,"CZK 10,000",50.05744,14.44172,"Na Veselí, Prague - Nusle",Studio,30 m²,CZK 300,Furnished,1,No,No,Yes,No,Yes,No,No,28. 02. 2022,93,"1,160",310,788,288,706,484,459,690,203,Excellent,"CZK 30,000",Personal,Brick building,E,1 to 10 years years,Standard materials and solutions,Gas boiler,Raised ground floor,Interior,,,,,,,
705955,"CZK 12,500",50.01599,14.43965,"Krhanická, Prague - Kamýk",1 bedroom with open-plan kitchen,43 m²,"CZK 3,500",Partially furnished,5,No,No,Yes,No,No,Yes,No,10. 02. 2022,217,"1,014",71,"1,269",799,287,498,502,814,424,Excellent,"CZK 10,000",Personal,Prefab concrete building,G,,,,,,,,,,,,
480696,"CZK 4,500",50.0540439,14.441087,"U Družstev, Prague - Nusle",1 bedroom,30 m²,"CZK 3,500",Furnished,1,No,No,No,No,No,No,No,16. 02. 2022,149,"1,056",258,492,100,558,397,371,784,345,,"CZK 4,500",Personal,Brick building,D,,,Other,Ground floor,,,,,,,,
454623,"CZK 9,500",50.1272299,14.4532347,"Přemyšlenská, Prague - Kobylisy",Studio,25 m²,"CZK 2,000",Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,112,"1,168",179,446,188,184,423,558,"1,032",278,Excellent,"CZK 12,000",Personal,Brick building,,,Standard materials and solutions,Other,Ground floor,Interior,,,,,,,
706776,"CZK 12,800",50.1265557,14.4956688,"Varnsdorfská, Prague - Střížkov",3 bedroom,53 m²,"CZK 3,000",Unfurnished,5,Yes,No,Yes,No,No,Yes,No,15. 02. 2022,265,575,193,480,264,240,239,334,"1,024",216,Good,"CZK 25,600",Personal,Prefab concrete building,G,,,District heating,,,,,,,,,
