Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,New building,Age,Front garden,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
706928,"CZK 22,000",50.05426,14.36971,"V Zářezu, Prague - Jinonice",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 4,000","CZK 44,000",Personal,Brick building,Furnished,5,Yes,No,No,No,Yes,Yes,Yes,16. 02. 2022,G,5,538,0,513,298,393,607,931,490,,,,,,,,,,,,,
707817,"CZK 45,000",50.0795975,14.4273504,"Ve Smečkách, Prague - Nové Město",1 bedroom with open-plan kitchen,,70 m²,"CZK 15,000",,,,Furnished,4,No,No,No,No,No,Yes,No,23. 04. 2022,,285,548,70,207,10,222,245,618,370,524,,,,,,,,,,,,
579618,"CZK 16,500",50.08767,14.489945,"Malešická, Prague - Žižkov",2 bedroom with open-plan kitchen,Excellent,68 m²,"CZK 4,000","CZK 16,500",Cooperative,Prefab concrete building,Unfurnished,4,Yes,No,No,No,No,Yes,No,19. 10. 2019,B,108,671,283,771,99,676,638,473,160,485,Standard materials and solutions,District heating,Top floor,,,,,,,,,
542416,"CZK 18,900",50.050866223005,14.345056649182,"Petržílkova, Prague - Stodůlky",2 bedroom,,82 m²,"CZK 4,500","CZK 40,000",Personal,Brick building,Furnished,8,Yes,No,No,No,No,Yes,No,1. února 2019,,120,335,73,118,23,207,183,295,"1,195",247,,Central heating,Middle floor,Yes,1 to 10 years years,,,,,,,
694956,"CZK 12,000",49.96272,14.38279,"Václava Rady, Prague - Zbraslav",1 bedroom with open-plan kitchen,Excellent,34 m²,"CZK 3,500","CZK 12,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,B,287,193,461,481,839,72,93,,,,Standard materials and solutions,District heating,Middle floor,,,,,,,,,
707808,"CZK 16,500",50.13499,14.47261,"Šimůnkova, Prague - Kobylisy",3 bedroom,Excellent,65 m²,"CZK 3,500","CZK 20,000",Personal,Prefab concrete building,Furnished,2,No,No,No,No,No,No,No,01. 03. 2022,D,184,999,372,"1,096",333,974,465,228,"1,222",163,,,,,,,,,,,,
707806,"CZK 58,000",50.06149,14.36633,"Na Pomezí, Prague - Košíře",4 bedroom,New build,159 m²,"CZK 10,500","CZK 58,000",Personal,Low-energy building,Unfurnished,,No,Yes,No,No,Yes,Yes,Yes,01. 03. 2022,B,198,901,894,"1,454","1,077",988,476,505,"1,076",337,Premium materials and solutions,District heating,Ground floor,Yes,1 to 10 years years,221 m²,,,,,,
101828,"CZK 15,000",50.0640668,14.4245392,"Slavojova, Prague - Nusle",Studio,,48 m²,"CZK 4,600","CZK 15,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,22. 02. 2022,,172,882,154,355,176,315,545,357,266,316,Premium materials and solutions,District heating,Ground floor,,,,Interior,,,,,
639342,"CZK 13,500",50.083251,14.502362,"Káranská, Prague - Malešice",2 bedroom,Excellent,54 m²,"CZK 4,500","CZK 13,500",Personal,Other,Partially furnished,2,No,No,No,No,No,No,No,16. 11. 2020,D,306,317,348,336,448,518,445,246,842,133,,,,,,,,,,,,
652025,"CZK 14,000",50.0308374,14.3684248,"Trnkovo náměstí, Prague - Hlubočepy",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,500","CZK 28,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,Yes,No,01. 03. 2022,C,120,834,76,815,127,853,287,296,628,66,Premium materials and solutions,District heating,Raised ground floor,,10 to 30 years years,,,,,,,
