Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Age,Heating,Total number of floors,Renovation,Design,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
600056,"CZK 13,990",50.093418,14.454458,"Křižíkova, Prague - Karlín",Studio,New build,33 m²,"CZK 2,900",Personal,Brick building,Furnished,6,No,No,No,No,No,Yes,No,01. 04. 2022,B,426,551,90,195,17,158,343,"1,253",209,430,,,,,,,,,,,,,
283915,"CZK 11,500",50.1005785,14.3954363,Prague - Bubeneč,Studio,Excellent,33 m²,"CZK 2,500",Cooperative,Prefab concrete building,Furnished,1,No,No,No,No,No,Yes,No,,B,92,355,186,123,201,138,475,531,186,226,"CZK 22,000",1 to 10 years years,District heating,Middle floor,Overall,,,,,,,,
553540,"CZK 22,000",50.1074434,14.3253147,"Nad Želivkou, Prague - Nebušice",3 bedroom,,90 m²,"CZK 5,000",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,Ihned,C,616,635,679,601,597,633,102,,,,"CZK 25,000",,,,,,,,,,,,
66020,"CZK 18,500",50.0866182,14.4531338,"Roháčova, Prague - Žižkov",2 bedroom,Excellent,74 m²,CZK 810,,Brick building,Partially furnished,1,No,No,No,Yes,No,No,No,01. 05. 2022,D,120,255,151,447,58,317,291,355,291,496,"CZK 37,000",1 to 10 years years,Gas boiler,Middle floor,Overall,Premium materials and solutions,,,,,,,
577698,"CZK 19,000",50.1085446,14.5094786,"U Vysočanského pivovaru, Prague - Vysočany",2 bedroom,Good,75 m²,"CZK 3,000",Cooperative,Brick building,Unfurnished,4,Yes,No,No,No,No,No,No,15. 08. 2021,D,267,864,373,621,349,824,510,374,823,753,"CZK 22,000",,,,,,,,,,,,
188676,"CZK 10,000",50.0727944,14.5477211,"Andersenova, Prague - Štěrboholy",Studio,Excellent,37 m²,"CZK 5,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,Yes,No,No,01. 04. 2022,,459,540,505,544,486,"1,017","1,064","1,037",,,"CZK 15,000",,Central heating,Middle floor,,Standard materials and solutions,,,,,,,
708753,"CZK 12,000",50.10907,14.5569,"Za černým mostem, Prague - Kyje",Studio,New build,27 m²,"CZK 1,900",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 03. 2022,B,176,800,136,48,754,418,"1,323","1,438",483,,"CZK 12,000",,,,,,,,,,,,
514636,"CZK 14,000",50.0861821,14.448717,"Dalimilova, Prague - Žižkov",Studio,,47 m²,"CZK 3,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,ihned,,210,387,202,394,7,354,121,246,145,732,"CZK 17,500",,,,,,,,,,,,
468820,"CZK 12,500",50.0684978,14.3880015,"Nad Popelkou, Prague - Smíchov",1 bedroom,,55 m²,"CZK 2,800",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,,C,46,980,655,"1,173",630,"1,067",691,"1,059",531,171,"CZK 27,000",1 to 10 years years,Central heating,Middle floor,Overall,Standard materials and solutions,,,,,,,
582869,"CZK 16,000",50.130171,14.493349,"Makedonská, Prague - Střížkov",1 bedroom with open-plan kitchen,New build,58 m²,"CZK 3,500",Personal,Prefab concrete building,Unfurnished,3,Yes,No,No,No,No,Yes,Yes,15. 03. 2022,B,340,"1,042",186,967,614,460,541,418,"1,167",108,"CZK 25,000",1 to 10 years years,District heating,Middle floor,,Standard materials and solutions,Yes,,,,,,
