Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Heating,Total number of floors,Renovation,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
709032,"CZK 18,000",50.04829,14.30282,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,52 m²,"CZK 4,500","CZK 18,000",Personal,Brick building,Partially furnished,5,No,Yes,No,No,No,No,No,01. 06. 2022,B,,,,,,,,,,,,,,,,,,,,,,
708105,"CZK 15,675",50.080004,14.422058,"Jungmannova, Prague - Nové Město",1 bedroom with open-plan kitchen,,62 m²,"CZK 5,225",,,,Furnished,4,No,No,No,No,No,Yes,No,25. 04. 2022,,110,673,119,76,124,213,214,730,474,393,,,,,,,,,,,,
708677,"CZK 6,000",50.11474,14.47017,"Zenklova, Prague - Libeň",Small studio,Good,20 m²,"CZK 2,000","CZK 15,000",Personal,Brick building,Partially furnished,,No,No,No,No,No,No,No,28. 02. 2022,C,152,"1,057",50,"1,251",109,350,216,"1,286",897,260,,,,,,,,,,,,
509348,"CZK 16,000",50.0431233,14.4606124,"Jihlavská, Prague - Michle",2 bedroom,Good,70 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,,,193,753,290,872,73,247,702,577,676,389,,,,,,,,,,,,
586138,"CZK 15,500",50.090389,14.47392,"Viklefova, Prague - Žižkov",Studio,New build,36 m²,"CZK 4,000","CZK 31,000",Personal,Low-energy building,Unfurnished,6,Yes,No,No,No,No,Yes,No,01. 04. 2022,A,198,"1,019",141,262,9,110,321,339,361,424,Yes,1 to 10 years years,Premium materials and solutions,Electric boiler,Attic,Overall,,,,,,
709031,"CZK 33,750",50.0723321,14.4399493,"Jana Masaryka, Prague - Vinohrady",2 bedroom,,82 m²,"CZK 11,250",,,,Furnished,3,No,No,No,No,No,Yes,No,02. 05. 2022,,155,369,147,651,45,545,205,328,671,484,,,,,,,,,,,,
709030,"CZK 14,400",50.06328,14.42556,"Krokova, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,54 m²,"CZK 4,000","CZK 25,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,07. 03. 2022,G,335,720,316,351,338,477,383,261,385,293,,,,,,,,,,,,
588276,"CZK 12,000",50.121331,14.4572,"Na Hlinách, Prague - Kobylisy",Studio,New build,32 m²,CZK 700,"CZK 15,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,01. 04. 2022,B,376,383,300,470,249,264,649,401,915,473,,1 to 10 years years,Premium materials and solutions,,,Overall,,,,,,
708308,"CZK 12,000",50.1054,14.48955,"U Svobodárny, Prague - Libeň",1 bedroom,Excellent,40 m²,"CZK 3,500","CZK 16,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,Yes,No,03. 03. 2022,G,175,68,11,223,148,316,251,464,95,128,,,Standard materials and solutions,Other,Middle floor,,,,,,,
709010,"CZK 10,990",50.11708,14.44808,"Nad Rokoskou, Prague - Libeň",Studio,Excellent,33 m²,"CZK 2,250","CZK 21,980",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 04. 2022,G,78,"1,194",442,"1,233",580,958,277,578,56,353,,,,,,,,,,,,
