Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Renovation,PENB,Age,Total number of floors,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
709190,"CZK 15,319",50.1080609,14.4828384,"Nad Kolčavkou A, Prague - Libeň",Studio,32 m²,"CZK 5,106",Furnished,1,No,No,No,No,No,No,No,03. 05. 2022,420,741,425,495,194,893,285,624,454,365,,,,,,,,,,,,,,,,,
420020,"CZK 20,000",50.0960175,14.3736012,"Na Ořechovce, Prague - Střešovice",2 bedroom,72 m²,"CZK 2,600",Furnished,2,No,No,No,No,No,No,No,03. 03. 2022,239,"1,030",561,999,613,534,862,789,688,387,Excellent,"CZK 20,000",Personal,Brick building,Premium materials and solutions,Gas boiler,Interior,C,,,,,,,,,
709164,"CZK 12,456",50.07201,14.43737,"Záhřebská, Prague - Vinohrady",Studio,30 m²,"CZK 1,870",Partially furnished,4,No,No,No,No,No,Yes,No,14. 03. 2022,206,177,124,533,5,383,226,224,913,690,Excellent,"CZK 14,000",Personal,Brick building,,,,C,,,,,,,,,
709162,"CZK 8,569",50.07201,14.43737,"Záhřebská, Prague - Vinohrady",Small studio,14 m²,"CZK 1,680",Partially furnished,6,No,Yes,No,No,No,Yes,No,07. 03. 2022,206,177,124,533,5,383,226,224,913,690,Excellent,"CZK 10,000",Personal,Brick building,,,,C,,,,,,,,,
177753,"CZK 13,800",50.0577987,14.4520798,"Magistrů, Prague - Michle",1 bedroom with open-plan kitchen,46 m²,CZK 630,Furnished,,No,No,No,No,No,No,No,,222,583,439,252,29,"1,049",232,566,344,408,,,Personal,Brick building,,,,,,,,,,,,,
709035,"CZK 15,000",50.0684925,14.438051,Prague - Vinohrady,Small studio,29 m²,"CZK 3,000",,,No,No,No,No,No,No,No,Ihneď,612,731,510,799,538,773,598,520,665,819,New build,"CZK 20,000",Personal,Low-energy building,,,,,,,,,,,,,
699541,"CZK 18,700",50.10887,14.47533,"U Libeňského pivovaru, Prague - Libeň",1 bedroom with open-plan kitchen,42 m²,"CZK 1,700",Furnished,4,No,No,Yes,No,No,No,No,11. 03. 2022,306,813,278,526,301,356,408,635,375,200,New build,"CZK 38,000",Personal,Brick building,Premium materials and solutions,Electric boiler,Overall,G,1 to 10 years years,Top floor,,,,,,,
708380,"CZK 4,500",50.04628,14.44537,"Humpolecká, Prague - Krč",1 bedroom with open-plan kitchen,42 m²,"CZK 8,000",Partially furnished,3,No,No,Yes,No,No,No,No,01. 04. 2022,344,516,175,300,231,257,414,608,874,175,Good,"CZK 16,000",Cooperative,Brick building,Standard materials and solutions,,,G,,Middle floor,,,,,,,
437613,"CZK 11,990",50.1325247,14.4111791,"Cafourkova, Prague - Bohnice",1 bedroom with open-plan kitchen,44 m²,"CZK 3,000",Partially furnished,5,Yes,No,No,No,No,Yes,No,,176,"1,038",232,968,225,"1,034",681,583,237,,Excellent,"CZK 15,000",Personal,Prefab concrete building,Standard materials and solutions,Central heating,Interior,,,Middle floor,,,,,,,
203657,"CZK 13,500",50.1155867,14.4743483,"Na sypkém, Prague - Libeň",1 bedroom with open-plan kitchen,55 m²,"CZK 4,000",Furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 03. 2022,143,"1,362",395,"1,237",150,656,536,"1,350",883,321,New build,"CZK 17,500",Personal,Brick building,,,,,1 to 10 years years,Middle floor,Yes,,,,,,
