Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,New building,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Heating,Total number of floors,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Renovation,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
709826,"CZK 14,000",50.012395707769,14.401110209893,"Vrátnická, Prague - Modřany",Studio,New build,40 m²,"CZK 3,175","CZK 14,000",Personal,Low-energy building,Yes,Partially furnished,5,Yes,No,Yes,No,No,Yes,No,09. 03. 2022,District heating,Top floor,G,126,999,336,"1,243",661,"1,304","1,306",583,,,,,,,,,,,
709825,"CZK 57,375",50.0884837,14.4184185,"Maiselova, Prague - Josefov",4 bedroom,,111 m²,"CZK 19,125",,,,,Furnished,4,Yes,No,No,No,No,Yes,No,08. 05. 2022,,,,173,222,161,313,19,435,290,555,16,536,,,,,,,,,
709824,"CZK 39,971",50.0877117,14.4091678,"U Lužického semináře, Prague - Malá Strana",2 bedroom,,56 m²,"CZK 13,324",,,,,Furnished,1,No,Yes,No,No,No,No,No,08. 05. 2022,,,,337,356,19,335,43,634,392,362,865,215,,,,,,,,,
709823,"CZK 20,175",50.0564738,14.5142373,"Švehlova, Prague - Záběhlice",1 bedroom with open-plan kitchen,,65 m²,"CZK 6,725",,,,,Furnished,4,No,Yes,No,No,No,Yes,Yes,08. 05. 2022,,,,88,519,253,482,504,524,542,798,830,228,,,,,,,,,
177753,"CZK 13,800",50.0577987,14.4520798,"Magistrů, Prague - Michle",1 bedroom with open-plan kitchen,,46 m²,CZK 630,,Personal,Brick building,,Furnished,,No,No,No,No,No,No,No,,,,,222,583,439,252,29,"1,049",232,566,344,408,,,,,,,,,
709803,"CZK 18,000",50.0347026,14.314452,"Smíchovská, Prague - Řeporyje",2 bedroom with open-plan kitchen,Excellent,62 m²,"CZK 4,000","CZK 22,000",Personal,Low-energy building,,Partially furnished,1,Yes,Yes,No,No,No,No,No,01. 04. 2022,Gas boiler,,G,85,514,"1,272",131,16,"1,033","1,399",145,,,,,,,,,,,
467725,"CZK 13,500",50.0854211,14.562739,"U Hostavického potoka, Prague - Hostavice",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 3,500",,Personal,Brick building,,Partially furnished,2,Yes,No,Yes,No,No,Yes,No,01. 04. 2022,,Middle floor,B,298,331,573,175,,,,,,,1 to 10 years years,Standard materials and solutions,,,,,,,
709801,"CZK 23,000",50.07745,14.42659,"Ve Smečkách, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 5,000","CZK 23,000",Personal,Brick building,,Furnished,5,No,No,Yes,No,No,Yes,No,01. 01. 1970,District heating,Top floor,C,47,688,13,220,89,119,262,362,162,268,,,Interior,,,,,,
709800,"CZK 9,000",50.08292,14.38093,"Nad Závěrkou, Prague - Břevnov",1 bedroom,Good,30 m²,CZK 600,"CZK 19,200",Personal,Brick building,,Partially furnished,,No,Yes,No,No,No,No,No,01. 06. 2022,Other,Ground floor,G,324,822,466,974,349,779,699,676,323,97,,,Interior,,,,,,
564661,"CZK 13,500",50.0522232,14.4604065,"Hadovitá, Prague - Michle",Studio,New build,40 m²,"CZK 2,500","CZK 30,000",Personal,Other,Yes,Furnished,2,Yes,No,No,No,No,No,No,01. 04. 2022,Central heating,,C,269,853,366,951,239,829,536,797,932,505,1 to 10 years years,Premium materials and solutions,,,,,,,
