Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Total number of floors,PENB,Renovation,Age,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
708882,"CZK 19,166",50.0388338,14.3231874,"Kakosova, Prague - Řeporyje",1 bedroom with open-plan kitchen,60 m²,"CZK 6,389",Furnished,4,No,Yes,No,No,No,Yes,Yes,01. 05. 2022,188,"1,187",832,"1,111",550,983,731,"1,127",688,53,,,,,,,,,,,,,,,,,
179750,"CZK 12,900",50.0150214497,14.4190972325,"Rytířova, Prague - Kamýk",3 bedroom,75 m²,"CZK 4,800",Partially furnished,8,No,No,No,Yes,No,Yes,No,18. 04. 2022,343,"1,339",383,"1,241",917,"1,194",536,533,"1,369",31,Good,"CZK 20,000",Personal,Prefab concrete building,Standard materials and solutions,District heating,,,,,,,,,,,
166039,"CZK 9,000",50.0243141,14.4177161,"Klánova, Prague - Hodkovičky",1 bedroom,33 m²,"CZK 4,000",Partially furnished,2,No,No,Yes,No,No,No,No,,243,"1,297",776,"1,290",726,801,613,999,"1,372",547,Excellent,"CZK 13,000",Personal,Brick building,Standard materials and solutions,,Middle floor,,,,,,,,,,
708823,"CZK 50,250",50.0875896,14.4153411,"Křižovnická, Prague - Staré Město",2 bedroom,71 m²,"CZK 16,750",Furnished,2,No,No,No,No,No,Yes,No,18. 04. 2022,84,268,232,146,18,496,135,652,432,207,,,,,,,,,,,,,,,,,
709919,"CZK 18,000",50.04828,14.30227,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,65 m²,"CZK 4,500",Furnished,1,No,No,No,Yes,No,Yes,No,01. 05. 2022,419,363,210,351,"1,148","1,116",743,904,84,,New build,"CZK 18,000",Personal,Brick building,,,,G,,,,,,,,,
710076,"CZK 13,990",50.10309,14.51245,"Poděbradská, Prague - Vysočany",Studio,33 m²,"CZK 2,645",Partially furnished,1,No,No,Yes,Yes,No,Yes,No,10. 03. 2022,80,350,"1,213",895,389,595,"1,208",931,323,,Excellent,"CZK 13,990",Personal,Other,,,,G,,,,,,,,,
708809,"CZK 71,250",50.0882058,14.4262315,"Rybná, Prague - Staré Město",3 bedroom with open-plan kitchen,150 m²,"CZK 23,750",Furnished,4,No,No,No,No,No,No,No,01. 04. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,,
710073,"CZK 17,243",50.1013638,14.4546402,"V Háji, Prague - Holešovice",Studio,30 m²,"CZK 5,747",Furnished,3,No,No,No,No,No,Yes,Yes,24. 04. 2022,236,686,234,408,154,248,547,510,133,319,,,,,,,,,,,,,,,,,
403607,"CZK 11,600",50.102335,14.445112,"Tovární, Prague - Holešovice",1 bedroom,32 m²,CZK 400,Furnished,3,No,No,Yes,No,No,Yes,No,10. 03. 2022,163,205,202,443,174,110,138,290,568,91,,"CZK 12,000",Personal,Brick building,,Other,Middle floor,,Interior,,,,,,,,
710069,"CZK 13,500",50.03257,14.37481,"Brichtova, Prague - Hlubočepy",1 bedroom with open-plan kitchen,55 m²,"CZK 3,500",Unfurnished,5,No,No,No,No,No,No,No,01. 04. 2022,92,320,144,317,389,309,708,223,965,72,Excellent,"CZK 13,500",Personal,Prefab concrete building,,,,G,,,,,,,,,
