Listing ID,Price,Latitude,Longitude,District,Layout,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Floor Space,Refundable security deposit,Ownership Type,Building Type,Heating,Renovation,PENB,Age,Total number of floors,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
710241,"CZK 22,500",50.0693056,14.4571551,"Holandská, Prague - Vršovice",1 bedroom with open-plan kitchen,"CZK 7,500",Furnished,5,No,No,No,No,No,Yes,No,12. 05. 2022,172,367,79,144,97,142,224,244,442,203,,,,,,,,,,,,,,,,,,
710229,"CZK 12,000",50.023816,14.5222817,"Tererova, Prague - Chodov",1 bedroom with open-plan kitchen,"CZK 3,000",Partially furnished,10,No,No,Yes,Yes,No,Yes,No,14. 03. 2022,340,"1,181",226,"1,000",328,551,164,784,"1,096",198,Excellent,43 m²,"CZK 15,000",Cooperative,Prefab concrete building,District heating,Overall,G,,,,,,,,,,
710231,"CZK 13,800",50.07707,14.45846,"Boleslavská, Prague - Vinohrady",2 bedroom,CZK 200,Furnished,1,Yes,No,Yes,No,Yes,No,No,12. 03. 2022,96,410,82,100,124,225,634,402,687,244,Excellent,72 m²,"CZK 13,800",Personal,Other,,,B,,,,,,,,,,
709648,"CZK 13,500",50.10794,14.51753,"Svatošových, Prague - Vysočany",Studio,"CZK 3,200",Furnished,2,Yes,No,No,No,No,No,No,01. 05. 2022,452,563,"1,404",572,972,"1,255","1,221",294,133,,New build,37 m²,"CZK 20,000",Personal,Brick building,,,B,,,,,,,,,,
710227,"CZK 15,000",50.10552,14.48247,"náměstí Na Balabence, Prague - Libeň",2 bedroom,"CZK 2,500",Furnished,6,Yes,No,Yes,Yes,No,Yes,No,01. 05. 2022,105,584,115,219,343,739,120,641,469,56,Excellent,51 m²,"CZK 20,000",Personal,Brick building,,,G,,,,,,,,,,
709634,"CZK 12,000",50.0470078,14.4434648,"Krchlebská, Prague - Krč",1 bedroom,"CZK 1,300",Partially furnished,1,No,No,Yes,No,No,No,No,01. 04. 2022,288,336,128,277,208,234,253,662,645,257,Good,40 m²,"CZK 12,000",Personal,Brick building,,,C,,,,,,,,,,
709629,"CZK 17,500",50.10778,14.47439,"Andrštova, Prague - Libeň",2 bedroom,"CZK 4,500",Partially furnished,1,No,No,Yes,No,No,No,No,01. 04. 2022,311,762,258,352,250,361,291,585,379,318,Excellent,72 m²,"CZK 35,000",Personal,Brick building,,,G,,,,,,,,,,
300419,"CZK 10,900",50.0678792,14.2916461,"Tvrdonická, Prague - Zličín",Studio,"CZK 2,500",Partially furnished,2,No,No,Yes,No,No,Yes,No,01. 04. 2022,351,805,522,367,"1,413","1,246","1,102",594,,,New build,39 m²,"CZK 10,900",Personal,Brick building,Geothermal heat pump,,B,1 to 10 years years,Middle floor,,,,,,,,
501982,"CZK 6,990",50.035351,14.5098249,Prague - Chodov,Studio,CZK 500,Partially furnished,1,Yes,Yes,No,No,No,No,No,,167,514,180,"1,490",387,679,466,480,472,405,,20 m²,"CZK 7,500",Personal,Brick building,,Overall,,1 to 10 years years,,Premium materials and solutions,50 m²,,,,,,
709616,"CZK 27,000",50.06605,14.39344,"U Nikolajky, Prague - Smíchov",1 bedroom with open-plan kitchen,"CZK 5,000",Furnished,3,No,Yes,Yes,No,Yes,Yes,Yes,08. 03. 2022,185,589,242,955,128,676,488,577,635,571,Excellent,56 m²,"CZK 54,000",Personal,Other,,,B,,,,,,,,,,
531830,"CZK 21,990",50.0712705,14.3510467,Prague - Motol,2 bedroom with open-plan kitchen,"CZK 2,300",Partially furnished,5,Yes,No,No,No,No,Yes,No,01. 01. 1970,395,349,302,630,902,696,961,,,,,80 m²,"CZK 30,000",Personal,Brick building,,,C,,,,,Yes,,,,,
577030,"CZK 7,700",50.0726106,14.3916102,"Grafická, Prague - Smíchov",Small studio,CZK 550,Partially furnished,,No,No,No,No,No,No,No,13. 03. 2022,212,"1,055",142,746,111,872,232,876,"1,084",101,Good,22 m²,"CZK 16,500",Personal,Brick building,Other,Interior,G,over 50 years years,Raised ground floor,Standard materials and solutions,,,,,,,
538849,"CZK 13,000",50.0015989,14.3547208,Prague - Lochkov,Studio,"CZK 3,200",Furnished,-1,No,No,No,No,No,Yes,No,01. 04. 2022,309,87,,,,,,,,,Excellent,35 m²,"CZK 26,000",Personal,Brick building,Central heating,,B,10 to 30 years years,,Premium materials and solutions,,,,,,,
595689,"CZK 35,000",50.097265,14.398851,"Václavkova, Prague - Dejvice",2 bedroom with open-plan kitchen,"CZK 3,000",Partially furnished,3,No,No,No,No,No,Yes,No,01. 05. 2022,128,334,130,181,125,343,247,698,465,172,Excellent,103 m²,"CZK 35,000",Personal,Brick building,Gas boiler,Overall,G,,Middle floor,Premium materials and solutions,,,,,,,
710215,"CZK 11,000",50.02767,14.45456,"Kukučínova, Prague - Krč",1 bedroom with open-plan kitchen,"CZK 3,500",Partially furnished,11,No,No,Yes,Yes,No,Yes,No,01. 04. 2022,212,"1,216",323,473,445,583,"1,306",323,75,,Excellent,50 m²,"CZK 22,000",Personal,Prefab concrete building,,,G,,,,,,,,,,
