Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Total number of floors,Front garden,Heating,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
710856,"CZK 16,000",50.064779,14.5525555,"Františka Jansy, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,New build,56 m²,"CZK 2,500","CZK 18,500",Cooperative,Brick building,Furnished,5,No,No,No,Yes,No,Yes,Yes,01. 04. 2022,C,150,845,468,387,639,"1,165",809,100,,,,,,,,,,,,,,
395681,"CZK 18,000",50.0769497,14.4491685,"U vodárny, Prague - Vinohrady",1 bedroom with open-plan kitchen,,55 m²,"CZK 4,500","CZK 25,000",Personal,Brick building,Furnished,1,No,No,Yes,No,No,Yes,No,01. 04. 2022,G,90,292,115,86,36,94,251,204,666,146,,,,,,,,,,,,
710855,"CZK 12,500",50.064779,14.5525555,"Františka Jansy, Prague - Dolní Měcholupy",Studio,New build,31 m²,"CZK 2,500","CZK 15,000",Cooperative,Brick building,Furnished,4,No,No,No,No,No,Yes,No,01. 04. 2022,C,150,845,468,387,639,"1,165",809,100,,,,,,,,,,,,,,
710853,"CZK 13,900",50.09944,14.39792,"Dejvická, Prague - Bubeneč",1 bedroom with open-plan kitchen,Good,48 m²,"CZK 3,000","CZK 13,900",Personal,Brick building,Partially furnished,4,No,No,No,No,No,Yes,No,01. 04. 2022,G,215,166,11,47,65,61,429,562,289,270,,,,,,,,,,,,
578337,"CZK 18,500",50.035792,14.317295,"Smíchovská, Prague - Řeporyje",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 1,200","CZK 37,000",Personal,Brick building,Partially furnished,2,No,Yes,No,No,No,No,No,01. 11. 2019,A,86,813,"1,347",367,252,"1,269","1,115",382,,,Yes,1 to 10 years years,Premium materials and solutions,Middle floor,16 m²,,,,,,,
710850,"CZK 18,000",50.13031,14.42648,"Štětínská, Prague - Bohnice",2 bedroom with open-plan kitchen,Excellent,75 m²,"CZK 4,500","CZK 22,500",Personal,Prefab concrete building,Furnished,2,No,No,Yes,Yes,No,Yes,No,21. 03. 2022,G,297,682,281,934,637,313,550,559,833,286,,,,,,,,,,,,
710633,"CZK 14,000",50.08014,14.45444,"Bořivojova, Prague - Vinohrady",1 bedroom with open-plan kitchen,Good,44 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,01. 04. 2022,G,393,347,16,396,36,568,426,449,738,223,,,,,,,,,,,,
647318,"CZK 14,000",50.133708,14.476638,"Akátová, Prague - Kobylisy",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 5,000","CZK 28,000",Cooperative,Prefab concrete building,Partially furnished,2,No,No,No,No,No,Yes,No,17. 03. 2022,G,197,"1,077",532,"1,206",173,818,435,547,"1,278",458,,,,,,District heating,,,,,,
710695,"CZK 34,000",50.10399,14.40171,"U Zeměpisného ústavu, Prague - Bubeneč",2 bedroom with open-plan kitchen,Excellent,113 m²,,,Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,20. 04. 2022,G,121,863,208,214,164,547,171,266,579,153,,,,,,,,,,,,
710829,"CZK 19,500",50.07719,14.47697,"Hollarovo náměstí, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 4,500","CZK 39,000",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,01. 04. 2022,G,146,902,104,492,168,134,761,817,290,130,,,,,,,,,,,,
246363,"CZK 18,900",50.0899848,14.4491976,"Pernerova, Prague - Karlín",1 bedroom with open-plan kitchen,Excellent,64 m²,"CZK 2,500","CZK 23,620",Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,15. 02. 2022,G,446,384,153,561,269,584,91,"1,152",660,332,,1 to 10 years years,Premium materials and solutions,Middle floor,,Gas boiler,Interior,,,,,
633017,"CZK 14,900",50.073347,14.429008,"Sokolská, Prague - Nové Město",Studio,Excellent,28 m²,"CZK 4,100","CZK 5,000",Personal,Brick building,Furnished,3,No,No,No,No,Yes,Yes,No,17. 03. 2022,C,165,741,184,331,26,278,415,490,473,523,,1 to 10 years years,Premium materials and solutions,Ground floor,,Central heating,Overall,,,,,
