Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Administration fee,Ownership Type,Building Type,Age,Design,Heating,Total number of floors,Renovation,PENB,New building,Front garden,Investment Advisor,Developer name,Project name,Kód jednotky
710178,"CZK 20,175",50.0564738,14.5142373,"Švehlova, Prague - Záběhlice",1 bedroom with open-plan kitchen,65 m²,"CZK 6,725",Furnished,4,No,Yes,No,No,No,Yes,Yes,11. 05. 2022,88,519,253,482,504,524,542,798,830,228,,,,,,,,,,,,,,,,,
708738,"CZK 13,338",50.14144095,14.5061245359,"Malkovského, Prague - Letňany",Studio,32 m²,"CZK 1,000",,8,No,No,No,No,No,Yes,No,01. 03. 2022,216,973,163,857,450,179,512,356,378,29,Good,"CZK 14,338","CZK 2,001",Personal,Other,,,,,,,,,,,,
680446,"CZK 72,000",50.09961,14.4244,"Ovenecká, Prague - Holešovice",5 bedroom with open-plan kitchen,234 m²,"CZK 4,000",Partially furnished,6,Yes,Yes,Yes,No,No,Yes,Yes,01. 11. 2021,69,159,85,31,97,65,326,409,498,,New build,"CZK 144,000",,Personal,Brick building,1 to 10 years years,Premium materials and solutions,Gas boiler,Top floor,Overall,C,,,,,,
710603,"CZK 16,200",50.0709032,14.3831528,"Plzeňská, Prague - Košíře",1 bedroom with open-plan kitchen,58 m²,"CZK 4,200",Furnished,1,No,Yes,Yes,No,Yes,Yes,Yes,15. 03. 2022,236,758,217,"1,132",273,"1,240",131,521,"1,117",573,Excellent,"CZK 20,500",,Personal,Other,,,,,,B,,,,,,
711142,"CZK 15,700",50.1047069,14.5200418,"U Elektry, Prague - Hloubětín",1 bedroom with open-plan kitchen,44 m²,"CZK 2,220",Partially furnished,3,No,No,No,Yes,No,Yes,Yes,28. 03. 2022,171,412,"1,499",854,421,"1,147","1,257",806,319,,New build,"CZK 20,000",,Personal,Brick building,,,,,,B,,,,,,
366103,"CZK 14,000",50.0709067,14.3831603,Prague - Košíře,1 bedroom with open-plan kitchen,50 m²,"CZK 4,200",Furnished,1,No,No,No,No,Yes,Yes,No,21. 03. 2022,235,758,218,"1,133",274,"1,241",131,521,"1,117",572,Excellent,"CZK 14,000",,Personal,Brick building,,,Central heating,,,,,,,,,
553233,"CZK 21,500",50.0748477,14.5504792,"Dragounská, Prague - Štěrboholy",2 bedroom with open-plan kitchen,78 m²,"CZK 7,500",Furnished,2,Yes,No,Yes,No,Yes,No,No,21. 03. 2022,265,928,893,621,874,670,720,692,,,Excellent,"CZK 21,500",,Personal,Brick building,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,Overall,D,,,,,,
711139,"CZK 13,000",50.00048,14.43125,"Božetická, Prague - Modřany",1 bedroom with open-plan kitchen,41 m²,"CZK 2,300",Partially furnished,5,No,No,Yes,No,No,Yes,No,26. 03. 2022,338,863,199,275,"1,300",375,,,,,Excellent,"CZK 26,000",,Personal,Prefab concrete building,,,,,,C,,,,,,
573263,"CZK 18,500",50.0423585,14.4300642,"U Družstva Práce, Prague - Podolí",3 bedroom,62 m²,"CZK 5,000",Partially furnished,2,No,No,Yes,No,No,No,No,25. 04. 2022,185,"1,012",159,975,428,"1,112",790,465,425,495,Good,"CZK 18,500",,Personal,Brick building,,,District heating,,,E,,,,,,
180770,"CZK 10,800",50.1011439,14.4909093,"Prokopka, Prague - Vysočany",1 bedroom,37 m²,CZK 900,Partially furnished,2,No,No,No,No,No,No,No,20. 01. 2022,165,"1,206",215,849,308,"1,301",108,193,636,240,,"CZK 12,000",,Personal,Brick building,,Standard materials and solutions,Other,,,,,,,,,
711129,"CZK 12,500",50.06745,14.40788,"Na Valentince, Prague - Smíchov",Studio,32 m²,"CZK 3,000",Partially furnished,2,No,No,Yes,No,No,Yes,No,28. 03. 2022,132,600,326,571,182,496,845,"1,083",589,338,New build,"CZK 12,500",,Personal,Brick building,,,,,,D,,,,,,
710582,"CZK 20,000",50.07464,14.39318,"Švédská, Prague - Smíchov",3 bedroom,93 m²,CZK 650,Partially furnished,3,Yes,No,No,No,No,No,No,16. 03. 2022,236,"1,156",101,897,540,851,483,763,"1,254",626,Good,"CZK 20,000",,Personal,Brick building,,,,,,G,,,,,,
711127,"CZK 12,000",50.07148,14.40961,"Na Celné, Prague - Smíchov",1 bedroom,33 m²,"CZK 3,500",Partially furnished,3,No,No,No,Yes,No,No,No,10. 04. 2022,214,652,142,149,141,550,692,943,816,375,Excellent,"CZK 24,000",,Personal,Brick building,,Standard materials and solutions,Electric boiler,Top floor,,G,,,,,,
711128,"CZK 19,000",50.05287,14.40159,"Děvínská, Prague - Smíchov",2 bedroom,75 m²,"CZK 5,000",Furnished,1,Yes,No,No,No,Yes,No,No,01. 04. 2022,382,"1,382",808,"1,299",796,"1,369",888,"1,292",882,832,Excellent,"CZK 48,000",,Personal,Brick building,,,,,,G,,,,,,
708810,"CZK 49,650",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,53 m²,"CZK 16,550",Furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,,
645343,"CZK 11,000",50.067817,14.397468,Prague - Smíchov,3 bedroom,62 m²,CZK 500,Partially furnished,3,Yes,Yes,No,No,Yes,No,No,01. 05. 2022,249,180,172,545,26,267,338,551,550,343,Excellent,"CZK 10,000",,Personal,Brick building,,Standard materials and solutions,Gas boiler,Top floor,Interior,G,,,,,,
690394,"CZK 12,000",50.12306,14.45288,"Nad Šutkou, Prague - Kobylisy",1 bedroom,54 m²,CZK 690,Unfurnished,2,Yes,No,No,No,No,No,No,01. 11. 2021,9,724,131,219,124,187,269,661,"1,098",377,Excellent,"CZK 24,000",,Personal,Brick building,,,,,,G,,,,,,
