Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Total number of floors,Renovation,Heating,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
711823,"CZK 9,000",50.08317,14.49614,"Chotouňská, Prague - Malešice",2 bedroom,Excellent,52 m²,"CZK 4,000","CZK 10,000",Personal,Prefab concrete building,Partially furnished,5,No,No,Yes,No,No,No,No,01. 04. 2022,G,,,,,,,,,,,,,,,,,,,,,,
711822,"CZK 41,250",50.0912734,14.4238585,"Haštalské náměstí, Prague - Staré Město",2 bedroom,,50 m²,"CZK 13,750",,,,Furnished,-1,No,Yes,No,No,No,No,No,26. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,
711821,"CZK 70,875",50.0822886,14.4155231,"Karoliny Světlé, Prague - Staré Město",2 bedroom with open-plan kitchen,,90 m²,"CZK 23,625",,,,Furnished,3,No,No,No,No,No,Yes,No,26. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,
711820,"CZK 37,500",50.0902753,14.4260311,"Rybná, Prague - Staré Město",Studio,,40 m²,"CZK 12,500",,,,Furnished,1,No,No,No,No,No,No,No,26. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,
711819,"CZK 15,000",50.0644788,14.273073582946,"Želetická, Prague - Sobín",1 bedroom with open-plan kitchen,New build,43 m²,"CZK 2,500","CZK 20,000",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,No,Yes,Yes,02. 04. 2022,G,,,,,,,,,,,,,,,,,,,,,,
711268,"CZK 14,750",50.07837,14.49822,"Vrátkovská, Prague - Strašnice",2 bedroom,Good,55 m²,"CZK 3,000","CZK 20,000",Personal,Prefab concrete building,Furnished,6,No,No,Yes,Yes,Yes,Yes,No,28. 03. 2022,G,240,573,146,491,236,444,550,553,"1,273",174,,,,,,,,,,,,
263552,"CZK 7,200",50.1129648,14.4732925,"Lindnerova, Prague - Libeň",Small studio,,17 m²,"CZK 2,300","CZK 10,000",Cooperative,Brick building,Furnished,,No,No,Yes,No,Yes,No,No,08. 09. 2021,,193,"1,417",95,990,164,550,284,"1,342",636,149,1 to 10 years years,Standard materials and solutions,Ground floor,Interior,,,,,,,,
711816,"CZK 14,500",50.04628,14.44537,"Humpolecká, Prague - Krč",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 1,000",,Cooperative,Brick building,Furnished,4,No,No,No,No,No,No,No,01. 04. 2022,G,,,,,,,,,,,,,,,,,,,,,,
708290,"CZK 20,000",50.07264,14.3888,"Holečkova, Prague - Smíchov",3 bedroom,Excellent,84 m²,"CZK 5,000","CZK 20,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,01. 05. 2022,B,205,"1,222",188,961,230,"1,108",467,760,"1,277",223,,,,,,,,,,,,
546335,"CZK 14,500",50.1030613,14.477571,Prague - Libeň,1 bedroom,,37 m²,"CZK 2,200","CZK 29,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,01. 06. 2022,,174,54,76,366,118,252,280,299,126,410,1 to 10 years years,,,Interior,,,,,,,,
378054,"CZK 16,000",50.0675396,14.3964309,"Tomkova, Prague - Smíchov",1 bedroom with open-plan kitchen,New build,44 m²,"CZK 2,200","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,Yes,Yes,No,Yes,No,01. 05. 2022,,315,260,253,649,55,347,405,617,470,409,,,Middle floor,Interior,Central heating,,,,,,,
666742,"CZK 8,000",50.07573,14.33054,"Bělohorská, Prague - Břevnov",Small studio,Good,12 m²,CZK 500,,Personal,Brick building,Furnished,1,No,No,No,No,Yes,No,No,01. 02. 2022,A,65,502,453,828,554,"1,066",343,,,,10 to 30 years years,Standard materials and solutions,Middle floor,,Central heating,,,,,,,
711808,"CZK 22,500",50.1079,14.54644,"Lehovecká, Prague - Hloubětín",1 bedroom with open-plan kitchen,New build,49 m²,"CZK 4,235","CZK 22,500",Personal,Brick building,Furnished,6,Yes,No,Yes,No,Yes,Yes,Yes,01. 07. 2022,B,48,825,83,843,397,816,556,419,"1,060",533,,,,,,,,,,,,
706911,"CZK 15,000",50.03934,14.32273,"Kakosova, Prague - Řeporyje",Studio,New build,43 m²,"CZK 4,000","CZK 30,000",Personal,Brick building,Furnished,2,Yes,No,Yes,No,No,Yes,No,01. 03. 2022,G,246,"1,135",780,964,603,"1,028",665,"1,075",672,112,1 to 10 years years,Standard materials and solutions,,,Central heating,Yes,,,,,,
617429,"CZK 15,000",50.112013,14.514579,"Moravcových, Prague - Vysočany",1 bedroom with open-plan kitchen,New build,54 m²,"CZK 3,500","CZK 25,000",Personal,Brick building,,3,No,Yes,Yes,No,No,No,Yes,01. 05. 2022,B,497,350,"1,498",360,"1,042","1,141",452,560,,,1 to 10 years years,,Middle floor,,Central heating,Yes,,,,,,
671001,"CZK 17,000",50.10294,14.55224,"Sklenská, Prague - Kyje",1 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 4,000","CZK 17,000",Personal,Other,Furnished,1,Yes,No,No,No,Yes,Yes,No,01. 05. 2022,B,259,742,402,"1,228",354,643,425,"1,074",601,344,1 to 10 years years,Standard materials and solutions,Middle floor,,District heating,,,,,,,
707614,"CZK 18,000",50.02628,14.53074,"Loosova, Prague - Háje",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 4,000","CZK 36,000",Personal,Low-energy building,Furnished,4,Yes,No,Yes,No,No,Yes,Yes,21. 02. 2022,C,98,973,382,630,464,704,311,473,765,410,1 to 10 years years,Standard materials and solutions,Middle floor,,District heating,,,,,,,
646325,"CZK 15,000",50.037495,14.395772,"Švábova, Prague - Hlubočepy",2 bedroom,Excellent,60 m²,"CZK 4,000","CZK 38,000",Personal,Brick building,Furnished,-1,No,Yes,No,No,Yes,No,No,14. 01. 2021,B,426,"1,360","1,111","1,425","1,250","1,162","1,215",,,,,,,,,,,,,,,
711233,"CZK 14,990",50.1085429,14.5254683,"Granitova, Prague - Hloubětín",Studio,New build,44 m²,"CZK 2,990",,Personal,Low-energy building,Partially furnished,5,No,Yes,Yes,No,Yes,Yes,No,21. 03. 2022,A,280,"1,320",719,"1,302","1,077","1,144","1,212","1,015","1,196",524,1 to 10 years years,Premium materials and solutions,,,District heating,Yes,,,,,,
112684,"CZK 12,000",50.0701762972,14.3826377392,"Pod radnicí, Prague - Košíře",1 bedroom,Good,38 m²,"CZK 2,500",,Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,01. 04. 2022,G,241,772,188,898,288,"1,005",146,697,"1,038",494,,,Middle floor,,Central heating,,,,,,,
653219,"CZK 18,000",50.07558,14.45754,"Korunní, Prague - Vinohrady",2 bedroom,Excellent,62 m²,"CZK 4,500","CZK 18,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,Yes,No,01. 05. 2022,A,127,589,11,258,115,421,284,327,764,260,,,Middle floor,,Gas boiler,,,,,,,
711795,"CZK 19,999",50.1038249,14.4797219,"Sokolovská, Prague - Libeň",2 bedroom,Excellent,74 m²,CZK 600,"CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,Yes,Yes,01. 04. 2022,G,86,234,81,291,132,391,427,431,93,325,,,,,,,,,,,,
711334,"CZK 36,979",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",2 bedroom with open-plan kitchen,,95 m²,"CZK 12,326",,,,Furnished,3,No,Yes,No,No,No,Yes,Yes,02. 05. 2022,,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,
75701,"CZK 11,000",50.0585363,14.4205991,"Vodárenská, Prague - Podolí",Studio,Excellent,33 m²,"CZK 1,800",,Personal,Brick building,Furnished,4,No,No,Yes,No,No,No,No,,,118,42,50,210,171,175,296,655,603,200,,Standard materials and solutions,,,,,,,,,,
639881,"CZK 17,990",50.020821,14.40306,"Šífařská, Prague - Hodkovičky",1 bedroom with open-plan kitchen,New build,48 m²,"CZK 4,500","CZK 30,000",Personal,Brick building,Partially furnished,4,No,Yes,Yes,No,Yes,Yes,Yes,01. 01. 2022,B,419,659,"1,181",370,"1,106",,,,,,1 to 10 years years,Premium materials and solutions,Top floor,,District heating,Yes,,,,,,
709390,"CZK 95,810",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",4 bedroom with open-plan kitchen,,219 m²,"CZK 31,936",,,,Furnished,6,No,Yes,No,No,No,Yes,Yes,01. 05. 2022,,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,
241625,"CZK 15,900",50.1138957,14.4798538,"U Pekařky, Prague - Libeň",1 bedroom with open-plan kitchen,,48 m²,"CZK 1,900","CZK 25,000",Personal,Brick building,Partially furnished,4,Yes,Yes,Yes,No,Yes,Yes,Yes,03. 04. 2022,,186,177,"1,337",331,980,"1,134","1,350",939,316,,1 to 10 years years,Premium materials and solutions,Middle floor,Overall,Gas boiler,Yes,10 m²,,,,,
543933,"CZK 22,900",50.1050022,14.3961888,"Nikolaje Alexejeviče Někrasova, Prague - Bubeneč",2 bedroom,,78 m²,"CZK 3,900","CZK 45,000",Personal,Brick building,Partially furnished,4,Yes,Yes,Yes,Yes,Yes,Yes,No,01. 05. 2022,,153,790,174,218,84,194,264,262,468,103,1 to 10 years years,Premium materials and solutions,Attic,Overall,Gas boiler,Yes,10 m²,,,,,
710424,"CZK 13,900",50.06387,14.44606,"Bartoškova, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,48 m²,CZK 500,"CZK 30,000",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,14. 03. 2022,G,388,596,84,339,322,346,636,733,841,715,,,Middle floor,Overall,Central heating,,,,,,,
632443,"CZK 23,000",50.080937,14.445568,"Slavíkova, Prague - Vinohrady",1 bedroom with open-plan kitchen,Good,59 m²,"CZK 3,600","CZK 21,000",Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,22. 03. 2022,B,560,539,70,585,76,207,408,199,500,291,,,Middle floor,,Gas boiler,,,,,,,
711784,"CZK 14,000",50.0841662,14.4515896,"Seifertova, Prague - Žižkov",1 bedroom,Excellent,39 m²,"CZK 2,500","CZK 16,500",Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,28. 03. 2022,G,83,107,13,101,33,122,299,347,363,463,,,,,,,,,,,,
707400,"CZK 24,000",50.0723554,14.4069173,"Lidická, Prague - Smíchov",1 bedroom,,,"CZK 8,000",,,,Furnished,3,No,No,No,No,No,No,No,07. 04. 2022,,25,378,16,198,26,271,471,963,"1,249",622,,,,,,,,,,,,
704707,"CZK 13,000",50.06597,14.49684,"Strančická, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 3,500","CZK 26,000",Personal,Brick building,Partially furnished,5,Yes,No,No,No,Yes,Yes,No,01. 04. 2022,B,162,159,"1,182",251,525,370,326,898,414,,10 to 30 years years,Premium materials and solutions,Middle floor,,District heating,,,,,,,
646339,"CZK 11,000",50.054954,14.45457,"U Plynárny, Prague - Michle",Studio,Excellent,33 m²,"CZK 2,500","CZK 11,000",Personal,Brick building,Furnished,2,No,No,Yes,No,Yes,No,No,01. 04. 2022,C,33,16,153,548,151,"1,064",475,691,890,715,,Premium materials and solutions,Middle floor,Overall,Electric boiler,,,,,,,
711775,"CZK 10,500",50.10535,14.54103,"Liblická, Prague - Hloubětín",1 bedroom,Excellent,34 m²,"CZK 1,200","CZK 22,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,G,151,208,219,226,407,281,529,394,388,144,,,,,,,,,,,,
711773,"CZK 20,000",50.06695,14.50271,"Žernovská, Prague - Strašnice",2 bedroom with open-plan kitchen,Excellent,87 m²,"CZK 6,000","CZK 40,000",Personal,Brick building,Unfurnished,3,No,No,No,No,Yes,No,No,26. 03. 2022,G,197,"1,323",313,998,222,602,413,406,"1,089",248,,,,,,,,,,,,
698706,"CZK 12,500",50.1095021,14.4754433,"Pivovarnická, Prague - Libeň",1 bedroom,Good,41 m²,"CZK 2,700","CZK 20,000",Personal,Brick building,Partially furnished,4,No,No,Yes,No,No,Yes,No,01. 03. 2022,G,271,902,243,593,391,321,372,594,339,150,,,,,,,,,,,,
711035,"CZK 14,500",50.06075,14.49743,"Želivecká, Prague - Záběhlice",2 bedroom,Excellent,50 m²,"CZK 2,800","CZK 29,000",Personal,Prefab concrete building,Partially furnished,1,Yes,No,Yes,No,No,Yes,No,25. 03. 2022,G,367,801,498,661,695,576,706,766,615,345,,,,,,,,,,,,
425448,"CZK 10,500",50.0582532,14.44353,"Na Jezerce, Prague - Nusle",Small studio,Excellent,18 m²,"CZK 2,000","CZK 12,500",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,02. 01. 2022,,96,"1,112",343,721,186,792,491,465,675,180,1 to 10 years years,Standard materials and solutions,,Overall,,,,,,,,
711765,"CZK 16,000",50.0978,14.35663,"Evropská, Prague - Vokovice",1 bedroom with open-plan kitchen,Excellent,44 m²,"CZK 4,000","CZK 20,000",Cooperative,Prefab concrete building,Furnished,12,No,No,No,Yes,No,Yes,No,28. 03. 2022,G,202,456,302,283,183,313,274,122,927,251,,,,,,,,,,,,
520398,"CZK 24,000",50.0127421,14.3877674,Prague - Velká Chuchle,2 bedroom with open-plan kitchen,,96 m²,"CZK 3,000","CZK 48,000",Personal,Brick building,Furnished,,Yes,No,No,No,Yes,No,No,Ihned,C,197,372,300,504,598,,,,,,,,,,,,,,,,,
711763,"CZK 20,000",50.05705,14.28087,"Sazovická, Prague - Zličín",2 bedroom with open-plan kitchen,New build,75 m²,"CZK 6,500","CZK 30,000",Personal,Brick building,Partially furnished,4,No,No,Yes,Yes,Yes,Yes,No,01. 04. 2022,B,298,"1,016",947,877,962,"1,001",351,"1,223",183,,,,,,,,,,,,,
703630,"CZK 17,990",50.14239166666,14.43428722222,"Žalovská, Prague - Čimice",3 bedroom,Excellent,75 m²,"CZK 5,565","CZK 23,555",Cooperative,Prefab concrete building,Unfurnished,2,Yes,No,No,No,No,Yes,No,,G,367,571,605,285,589,694,641,190,,,,,,,,,,"CZK 23,555

                                
                                
                
i",,,,
708822,"CZK 38,625",50.0895308,14.4237131,"Masná, Prague - Staré Město",1 bedroom,,38 m²,"CZK 12,875",,,,Furnished,4,No,No,No,No,No,Yes,No,31. 03. 2022,,69,269,125,89,15,106,70,52,156,144,,,,,,,,,,,,
708305,"CZK 46,800",50.0606031,14.3995501,"Na Neklance, Prague - Smíchov",1 bedroom with open-plan kitchen,,47 m²,"CZK 15,600",,,,Furnished,1,No,No,No,No,No,Yes,Yes,28. 03. 2022,,149,907,200,914,210,455,590,729,652,530,,,,,,,,,,,,
180770,"CZK 10,800",50.1011439,14.4909093,"Prokopka, Prague - Vysočany",1 bedroom,,37 m²,CZK 900,"CZK 12,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,20. 01. 2022,,165,"1,206",215,849,308,"1,301",108,193,636,240,,Standard materials and solutions,,,Other,,,,,,,
708810,"CZK 49,650",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,,53 m²,"CZK 16,550",,,,Furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,
708821,"CZK 60,244",50.0906989,14.4202425,"Dušní, Prague - Josefov",3 bedroom,,97 m²,"CZK 20,081",,,,Furnished,3,Yes,No,No,No,No,No,No,20. 04. 2022,,103,449,207,253,71,270,138,381,247,455,,,,,,,,,,,,
