Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Age,Design,Heating,Total number of floors,Front garden,Renovation,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
641285,"CZK 22,000",50.064835,14.508364,"Konojedská, Prague - Strašnice",3 bedroom,Excellent,124 m²,"CZK 6,000","CZK 22,000",Personal,Brick building,Partially furnished,3,Yes,Yes,Yes,No,Yes,No,No,03. 04. 2022,1 to 10 years years,Premium materials and solutions,Central heating,Top floor,342 m²,Overall,B,285,"1,321",520,997,193,507,485,523,583,424,,,,,,
711531,"CZK 37,125",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,,90 m²,"CZK 12,375",,,,Furnished,2,No,No,No,No,No,Yes,No,23. 05. 2022,,,,,,,,149,274,60,441,20,421,59,552,690,457,,,,,,
666032,"CZK 12,500",50.06918,14.43767,"Perucká, Prague - Vinohrady",Studio,New build,26 m²,"CZK 2,900",,Personal,Brick building,Furnished,1,No,Yes,Yes,No,No,Yes,No,24. 04. 2022,,Premium materials and solutions,,,,,B,699,818,597,886,615,859,685,606,752,906,Yes,,,,,
712609,"CZK 22,950",50.0719498,14.4319499,"Koubkova, Prague - Nové Město",1 bedroom,,39 m²,"CZK 7,650",,,,Furnished,2,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,203,332,57,333,25,268,328,262,694,682,,,,,,
712608,"CZK 12,450",50.0364962,14.4836088,"Kloboukova, Prague - Chodov",Studio,,30 m²,"CZK 4,150",,,,Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,,,,,,,,329,"1,145",258,979,429,945,711,"1,290",430,200,,,,,,
712607,"CZK 57,000",50.0859057,14.4200254,"Michalská, Prague - Staré Město",3 bedroom,,130 m²,"CZK 19,000",,,,Furnished,3,No,No,No,No,No,No,Yes,01. 06. 2022,,,,,,,,314,347,72,145,13,210,197,621,445,403,,,,,,
712606,"CZK 27,900",50.0471114,14.4429584,"Krchlebská, Prague - Krč",1 bedroom with open-plan kitchen,,41 m²,"CZK 9,300",,,,Furnished,5,No,No,No,No,No,No,No,01. 06. 2022,,,,,,,,394,499,253,432,280,389,317,725,696,412,,,,,,
712605,"CZK 27,195",50.0720218,14.4618189,"Bulharská, Prague - Vršovice",1 bedroom with open-plan kitchen,,54 m²,"CZK 9,065",,,,Furnished,5,No,No,No,No,No,No,No,01. 06. 2022,,,,,,,,222,829,176,605,99,603,417,336,724,245,,,,,,
712604,"CZK 20,246",50.0911854,14.3453223,"Krásného, Prague - Veleslavín",2 bedroom,,57 m²,"CZK 6,749",,,,Furnished,6,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,152,390,102,317,322,292,191,216,697,31,,,,,,
712603,"CZK 36,338",50.0183023,14.5625656,"Ibišková, Prague - Křeslice",4 bedroom with open-plan kitchen,,180 m²,"CZK 12,112",,,,Furnished,1,Yes,Yes,No,No,No,No,Yes,01. 06. 2022,,,,,,,,695,843,921,,,,,,,,,,,,,
712602,"CZK 24,000",50.0704764,14.4060248,"Jindřicha Plachty, Prague - Smíchov",Studio,,27 m²,"CZK 8,000",,,,Furnished,4,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,147,636,95,234,71,178,619,"1,110","1,047",682,,,,,,
708790,"CZK 49,650",50.0894663,14.4240032,"Masná, Prague - Staré Město",Studio,,46 m²,"CZK 16,550",,,,Furnished,6,No,No,No,No,No,Yes,No,12. 04. 2022,,,,,,,,62,263,122,95,13,113,64,46,150,138,,,,,,
708789,"CZK 49,650",50.0894663,14.4240032,"Masná, Prague - Staré Město",Studio,,43 m²,"CZK 16,550",,,,Furnished,6,No,No,No,No,No,Yes,No,12. 04. 2022,,,,,,,,62,263,122,95,13,113,64,46,150,138,,,,,,
712600,"CZK 23,625",50.0984636,14.4253146,"Ovenecká, Prague - Holešovice",1 bedroom with open-plan kitchen,,55 m²,"CZK 7,875",,,,Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,220,310,47,185,156,218,202,"1,485",496,451,,,,,,
712599,"CZK 15,750",50.0716124,14.4594622,"Slovinská, Prague - Vršovice",1 bedroom with open-plan kitchen,,42 m²,"CZK 5,250",,,,Furnished,3,Yes,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,152,674,40,445,81,448,262,312,748,277,,,,,,
712598,"CZK 13,650",50.0727107,14.4298541,"Tyršova, Prague - Nové Město",Studio,,24 m²,"CZK 4,550",,,,Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,,,,,,,,207,626,116,221,143,278,376,548,644,639,,,,,,
712597,"CZK 17,213",50.0529811,14.5019574,"Práčská   f, Prague - Záběhlice",1 bedroom,,40 m²,"CZK 5,737",,,,Furnished,4,Yes,Yes,No,No,No,Yes,Yes,01. 06. 2022,,,,,,,,117,763,781,"1,230",239,789,727,207,"1,037",659,,,,,,
712596,"CZK 37,500",50.0633339,14.4440155,"Mečislavova, Prague - Nusle",1 bedroom with open-plan kitchen,,56 m²,"CZK 12,500",,,,Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,243,541,100,272,177,315,457,820,635,594,,,,,,
711896,"CZK 10,000",50.04025,14.42222,"U Dubu, Prague - Braník",Small studio,Excellent,30 m²,"CZK 2,000","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,15. 04. 2022,,,,,,,G,123,"1,066",642,"1,385",405,"1,012",838,745,"1,144",248,,,,,,
712349,"CZK 19,200",50.08781,14.4725,"Ambrožova, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,63 m²,"CZK 2,500",,Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 07. 2022,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,,,B,102,622,257,413,274,484,238,58,551,172,Yes,,,,,
581813,"CZK 24,500",50.080526,14.435781,"Španělská, Prague - Vinohrady",3 bedroom,Good,74 m²,"CZK 5,000","CZK 49,000",Personal,Brick building,Partially furnished,5,No,No,No,No,No,Yes,No,15. 04. 2022,,,Gas boiler,Top floor,,Interior,G,223,589,377,471,280,168,321,321,492,732,,,,,,
712587,"CZK 14,000",50.06511,14.45658,"Přípotoční, Prague - Vršovice",1 bedroom,Excellent,50 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Partially furnished,6,No,No,No,No,No,Yes,No,01. 04. 2022,,,,,,,G,171,318,180,511,168,511,245,575,318,95,,,,,,
