Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Design,Heating,Total number of floors,Renovation,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Front garden,Age
712995,"CZK 17,000",50.09048,14.4696,"Koněvova, Prague - Žižkov",2 bedroom with open-plan kitchen,Good,69 m²,"CZK 3,600","CZK 20,000",Personal,Brick building,Partially furnished,6,Yes,No,No,No,No,Yes,No,05. 04. 2022,Standard materials and solutions,Central heating,Top floor,Interior,G,41,885,69,200,41,172,482,436,589,477,,,
184951,"CZK 23,000",50.0416085,14.4283705,"U družstva Práce, Prague - Braník",3 bedroom,Good,100 m²,"CZK 5,000",,Personal,Brick building,Unfurnished,2,No,No,No,Yes,No,No,No,01. 05. 2022,,Gas boiler,Middle floor,,,326,"1,141",338,980,237,"1,204",939,470,666,427,,,
432359,"CZK 18,000",50.0696377,14.4876275,"Gutova, Prague - Strašnice",2 bedroom,,55 m²,"CZK 2,000","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,03. 04. 2022,,,,,A,159,934,615,686,150,372,433,790,396,327,,,
698894,"CZK 15,000",50.012400271582,14.401224848854,"Vrátnická, Prague - Modřany",Studio,New build,42 m²,"CZK 3,100","CZK 20,000",Personal,Low-energy building,Partially furnished,,No,Yes,Yes,No,No,Yes,No,21. 03. 2022,Premium materials and solutions,Central heating,Ground floor,,B,117,991,328,"1,235",653,"1,296","1,298",575,,,Yes,20 m²,
712986,"CZK 16,000",50.05311,14.33451,"Nárožní, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,53 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Partially furnished,4,Yes,No,Yes,No,No,Yes,No,05. 04. 2022,,,,,C,326,689,159,654,642,209,622,604,946,558,,,
712988,"CZK 41,250",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,,50 m²,"CZK 13,750",,,,Furnished,-1,No,No,No,No,No,No,No,19. 04. 2022,,,,,,211,382,250,989,170,745,812,"1,050",387,543,,,
711305,"CZK 32,250",50.0717643,14.4385436,"Americká, Prague - Vinohrady",Studio,,27 m²,"CZK 10,750",,,,Furnished,4,No,No,No,No,No,Yes,No,16. 05. 2022,,,,,,272,322,70,607,60,509,83,250,792,565,,,
712987,"CZK 41,250",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,,50 m²,"CZK 13,750",,,,Furnished,-1,No,No,No,No,No,Yes,No,07. 04. 2022,,,,,,211,382,250,989,170,745,812,"1,050",387,543,,,
21516,"CZK 11,900",50.0694717,14.3743535,"Na Zámyšli, Prague - Košíře",Studio,,29 m²,"CZK 1,200","CZK 15,000",Other,Brick building,Partially furnished,3,No,No,No,No,No,No,No,15. 04. 2022,Standard materials and solutions,Other,,,,236,169,275,250,175,357,472,882,803,245,,,
712978,"CZK 11,500",50.07602,14.33295,"Bělohorská, Prague - Břevnov",Studio,New build,40 m²,"CZK 2,000","CZK 11,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,Yes,No,01. 05. 2022,,,,,A,26,556,383,651,330,"1,494",168,,,,,,
587796,"CZK 28,500",50.013689,14.400643,"Pískařská, Prague - Modřany",1 bedroom with open-plan kitchen,New build,95 m²,"CZK 4,000","CZK 32,500",Personal,Brick building,Furnished,1,Yes,Yes,No,No,No,Yes,Yes,01. 05. 2022,Premium materials and solutions,Central heating,Middle floor,,C,196,"1,129",313,"1,425",843,"1,434","1,179",765,,,,,1 to 10 years years
603343,"CZK 46,000",50.085203,14.428022,"Nekázanka, Prague - Nové Město",Other,Excellent,114 m²,"CZK 5,000","CZK 51,000",Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,Premium materials and solutions,Central heating,Top floor,Overall,G,232,136,116,213,140,227,297,701,403,667,,,30 to 50 years years
169558,"CZK 12,000",50.0847006,14.5116856,"Malešické náměstí, Prague - Malešice",1 bedroom,,60 m²,"CZK 3,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,,,,,,,83,936,377,955,220,465,817,793,312,189,,,
622119,"CZK 14,500",50.08373,14.449294,"Víta Nejedlého, Prague - Žižkov",Studio,Excellent,32 m²,"CZK 2,000","CZK 16,500",Personal,Brick building,Furnished,,No,No,No,No,No,No,No,06. 04. 2022,,,,,G,296,133,104,160,115,154,141,250,293,523,,,
708290,"CZK 20,000",50.07264,14.3888,"Holečkova, Prague - Smíchov",3 bedroom,Excellent,84 m²,"CZK 5,000","CZK 20,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,01. 05. 2022,,,,,B,205,"1,222",188,961,230,"1,108",467,760,"1,277",223,,,
494972,"CZK 22,000",50.0886626,14.4840047,"Olgy Havlové, Prague - Žižkov",2 bedroom with open-plan kitchen,,74 m²,"CZK 6,300",,Personal,Brick building,Unfurnished,2,Yes,No,No,No,No,No,No,,,,,,B,389,818,431,631,145,673,498,365,363,121,,,
712962,"CZK 20,000",50.06434,14.3123,"Nevanova, Prague - Řepy",4 bedroom,Good,100 m²,"CZK 5,000","CZK 40,000",Personal,Prefab concrete building,Partially furnished,1,No,No,Yes,Yes,No,No,No,11. 04. 2022,,District heating,Middle floor,,,311,505,402,572,613,678,374,496,"1,328",319,,,
342199,"CZK 11,800",50.0584062,14.4233332,Prague - Podolí,Studio,New build,33 m²,"CZK 2,200","CZK 23,600",Personal,Other,Partially furnished,3,No,No,No,No,Yes,Yes,Yes,01. 05. 2022,Premium materials and solutions,Central heating,Middle floor,Overall,C,197,274,211,252,137,251,271,506,365,255,Yes,,1 to 10 years years
712821,"CZK 25,000",50.09093,14.41747,"Břehová, Prague - Josefov",2 bedroom,Excellent,73 m²,"CZK 6,000","CZK 31,000",Personal,Brick building,Unfurnished,2,Yes,No,No,No,No,Yes,No,04. 04. 2022,,,,,G,65,331,261,422,0,508,385,628,143,640,,,
