Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Design,Heating,PENB,Total number of floors,Front garden,New building,Administration fee,Renovation,Developer name,Project name,Kód jednotky
712185,"CZK 59,100",50.0882082,14.4262296,"Rybná, Prague - Staré Město",2 bedroom with open-plan kitchen,86 m²,"CZK 19,700",Furnished,2,Yes,No,No,No,No,No,No,29. 05. 2022,281,192,58,183,11,369,315,297,289,305,,,,,,,,,,,,,,,,
713249,"CZK 20,250",50.0922767,14.4324355,"Klimentská, Prague - Nové Město",Studio,30 m²,"CZK 6,750",Furnished,1,No,No,No,No,No,No,No,06. 06. 2022,132,502,36,412,20,262,31,217,579,177,,,,,,,,,,,,,,,,
712683,"CZK 14,993",50.0210451,14.4123465,"Pod Lysinami, Prague - Hodkovičky",1 bedroom with open-plan kitchen,,"CZK 4,997",Furnished,1,No,No,No,No,No,Yes,No,02. 06. 2022,262,"1,421","1,098","1,379",498,"1,159",192,,,,,,,,,,,,,,,,,,,
713248,"CZK 18,000",50.1000121,14.3916447,"Banskobystrická, Prague - Dejvice",Studio,45 m²,"CZK 6,000",Furnished,8,No,Yes,No,No,No,No,No,06. 06. 2022,100,451,101,8,68,482,829,164,567,82,,,,,,,,,,,,,,,,
713245,"CZK 18,720",50.0713305,14.4638794,"Na Míčánkách, Prague - Vršovice",1 bedroom with open-plan kitchen,49 m²,"CZK 6,240",Furnished,2,No,No,No,No,No,Yes,No,06. 06. 2022,84,743,87,659,277,595,408,307,678,198,,,,,,,,,,,,,,,,
713244,"CZK 17,346",50.1030733,14.4335679,"Šimáčkova, Prague - Holešovice",Studio,30 m²,"CZK 5,782",Furnished,3,Yes,No,No,No,No,Yes,No,06. 06. 2022,139,794,157,306,80,123,368,481,882,,,,,,,,,,,,,,,,,
301142,"CZK 19,000",50.1273445,14.5029602,"Bechlínská, Prague - Letňany",1 bedroom with open-plan kitchen,58 m²,"CZK 2,500",Furnished,2,Yes,No,No,No,No,Yes,No,01. 05. 2022,229,845,111,874,564,811,345,568,253,,Excellent,"CZK 25,000",Personal,Brick building,1 to 10 years years,Premium materials and solutions,District heating,C,,,,,,,,
713216,"CZK 16,000",50.03495,14.38949,"Devonská, Prague - Hlubočepy",Studio,60 m²,"CZK 6,000",Partially furnished,2,Yes,No,Yes,No,No,Yes,No,14. 05. 2022,202,"1,286",669,"1,194",642,"1,252","1,272","1,272","1,205",91,New build,"CZK 44,000",Personal,Brick building,,,,G,,,,,,,,
590616,"CZK 14,000",50.008984,14.429712,"Levského, Prague - Modřany",1 bedroom with open-plan kitchen,47 m²,"CZK 3,000",Partially furnished,4,Yes,No,No,Yes,No,Yes,No,01. 05. 2022,328,"1,048",142,"1,032",169,"1,022",284,384,179,171,Excellent,"CZK 20,000",Personal,Prefab concrete building,,,,G,,,,,,,,
290009,"CZK 10,500",50.0780988,14.5007519,"Kounická, Prague - Strašnice",1 bedroom,45 m²,"CZK 2,660",Partially furnished,,No,No,No,No,No,No,No,,227,556,213,533,215,487,530,568,"1,315",304,,"CZK 15,000",Personal,Brick building,,,,,Ground floor,,,,,,,
