Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Heating,Total number of floors,Renovation,PENB,New building,Age,Design,Front garden,Administration fee,Developer name,Project name,Kód jednotky
708810,"CZK 49,650",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,53 m²,"CZK 16,550",Furnished,3,No,No,No,No,No,Yes,No,15. 04. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,
713381,"CZK 21,000",50.0705847,14.4064774,"Jindřicha Plachty, Prague - Smíchov",3 bedroom,130 m²,"CZK 7,000",Furnished,3,No,No,No,No,No,Yes,No,07. 06. 2022,185,620,138,274,86,216,657,"1,148","1,019",505,,,,,,,,,,,,,,,,
712465,"CZK 45,000",50.0795975,14.4273504,"Ve Smečkách, Prague - Nové Město",1 bedroom with open-plan kitchen,70 m²,"CZK 15,000",Furnished,4,No,No,No,No,No,Yes,No,31. 05. 2022,285,548,70,207,10,222,245,618,370,524,,,,,,,,,,,,,,,,
712596,"CZK 37,500",50.0633339,14.4440155,"Mečislavova, Prague - Nusle",1 bedroom with open-plan kitchen,56 m²,"CZK 12,500",Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,243,541,100,272,177,315,457,820,635,594,,,,,,,,,,,,,,,,
620115,"CZK 25,000",50.045603,14.436493,"Horáčkova, Prague - Krč",3 bedroom,86 m²,"CZK 3,000",Partially furnished,3,Yes,No,Yes,No,No,No,No,01. 04. 2022,231,623,130,701,373,724,205,154,376,81,Excellent,"CZK 24,000",Personal,Brick building,Gas boiler,Top floor,Overall,G,,,,,,,,
713379,"CZK 16,000",50.12931,14.49382,"Makedonská, Prague - Střížkov",Studio,42 m²,"CZK 2,600",Partially furnished,6,Yes,No,No,No,Yes,No,No,18. 04. 2022,208,909,53,834,481,327,408,285,"1,035",155,New build,"CZK 30,000",Personal,Brick building,District heating,Top floor,Overall,D,Yes,1 to 10 years years,Premium materials and solutions,,,,,
597106,"CZK 22,400",50.066866,14.387701,"Na Cihlářce, Prague - Smíchov",3 bedroom,75 m²,CZK 600,Unfurnished,1,Yes,Yes,Yes,No,No,No,No,23. 04. 2022,343,"1,045",257,"1,235",353,"1,132","1,022",702,655,612,Excellent,"CZK 30,000",Personal,Brick building,Gas boiler,Ground floor,Interior,G,,,,35 m²,,,,
209991,"CZK 11,900",50.0839945,14.4485314,"Vlkova, Prague - Žižkov",Studio,18 m²,CZK 900,Unfurnished,3,No,No,No,No,No,No,No,10. 04. 2022,298,136,126,163,118,157,80,230,296,462,Excellent,"CZK 14,100",Personal,Brick building,Central heating,Middle floor,Overall,,,1 to 10 years years,Standard materials and solutions,,,,,
550879,"CZK 13,900",50.0639544,14.2854037,"Lačnovská, Prague - Zličín",Studio,36 m²,"CZK 2,839",Furnished,2,No,Yes,No,No,Yes,No,No,01. 05. 2022,304,361,"1,215","1,060",875,"1,338",551,,,,New build,"CZK 27,800",Personal,Low-energy building,Other,Ground floor,,B,Yes,1 to 10 years years,Premium materials and solutions,30 m²,,,,
713368,"CZK 8,000",50.0879644,14.3055575,"Ciolkovského, Prague - Ruzyně",1 bedroom with open-plan kitchen,47 m²,"CZK 2,500",Furnished,12,No,No,No,No,No,Yes,No,15. 04. 2022,262,505,484,471,483,528,488,"1,295",34,,Good,"CZK 8,000",Personal,Prefab concrete building,,,,G,,,,,,,,
