Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Total number of floors,Design,Front garden,Heating,Renovation,New building,Developer name,Project name,Kód jednotky
705683,"CZK 12,990",50.02904722222,14.52763944444,"Tatarkova, Prague - Háje",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,909","CZK 15,899","CZK 15,899

                                
                                
                
i",Personal,Prefab concrete building,Furnished,2,No,No,No,No,No,Yes,No,C,292,651,149,322,332,382,437,317,442,286,,,,,,,,,,,
375504,"CZK 16,600",50.0678382,14.3706854,Prague - Košíře,1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 2,773","CZK 16,600",,Personal,Brick building,Partially furnished,2,No,No,No,No,Yes,Yes,No,,348,583,98,393,284,341,406,"1,061",433,249,21. 05. 2022,1 to 10 years years,Middle floor,,,,,,,,
713672,"CZK 10,900",50.11526,14.56224,"Sicherova, Prague - Kyje",Studio,Excellent,31 m²,"CZK 3,828","CZK 25,000",,Personal,Brick building,Unfurnished,1,No,Yes,Yes,No,No,Yes,No,G,134,879,669,"1,248","1,186",682,,,,,19. 04. 2022,1 to 10 years years,Ground floor,Standard materials and solutions,71 m²,,,,,,
712923,"CZK 10,500",50.04567,14.43783,"Stallichova, Prague - Krč",1 bedroom,Excellent,32 m²,"CZK 3,410","CZK 20,000",,Cooperative,Brick building,Partially furnished,2,No,No,Yes,Yes,No,No,No,G,144,609,218,714,399,739,179,252,249,125,05. 04. 2022,,,,,,,,,,
707989,"CZK 20,000",50.07247,14.40411,"Štefánikova, Prague - Smíchov",1 bedroom with open-plan kitchen,New build,66 m²,"CZK 4,500","CZK 40,000",,Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,G,73,468,151,4,31,15,550,"1,212","1,222",459,11. 04. 2022,,,,,,,,,,
456712,"CZK 17,000",50.1046697,14.4538237,"V Háji, Prague - Holešovice",1 bedroom with open-plan kitchen,Good,57 m²,"CZK 4,270","CZK 34,000",,Personal,Brick building,Partially furnished,6,No,No,No,No,No,Yes,No,D,83,626,65,321,68,158,631,730,335,356,01. 05. 2022,,Top floor,,,Gas boiler,,,,,
704085,"CZK 11,500",50.0869795,14.4446955,"Husitská, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,42 m²,CZK 750,"CZK 13,000",,Personal,Brick building,Partially furnished,4,No,Yes,No,No,No,No,No,G,151,665,424,620,142,633,400,440,482,450,28. 01. 2022,,,Standard materials and solutions,,Electric boiler,Interior,,,,
704726,"CZK 17,000",50.0427649,14.4931358,"Klapálkova, Prague - Chodov",Studio,New build,36 m²,"CZK 2,500","CZK 34,000",,Personal,Brick building,Furnished,1,Yes,No,Yes,No,Yes,No,No,B,33,832,168,877,517,"1,461",395,"1,201","1,083",262,01. 02. 2022,1 to 10 years years,Middle floor,Premium materials and solutions,,Central heating,Overall,,,,
534922,"CZK 19,000",50.0715416,14.4496461,Prague - Vršovice,1 bedroom with open-plan kitchen,,59 m²,"CZK 4,000","CZK 35,000",,Personal,Brick building,Furnished,1,Yes,No,Yes,No,No,Yes,No,D,154,719,167,265,110,580,208,493,284,405,01. 06. 2022,,,,,,,,,,
713662,"CZK 15,000",50.10898,14.44592,"Vrbenského, Prague - Holešovice",1 bedroom,Excellent,38 m²,"CZK 5,000","CZK 15,000",,Personal,Brick building,Furnished,6,No,No,No,No,No,Yes,No,D,155,688,102,642,119,330,220,"1,047",563,175,01. 05. 2022,,,,,,,,,,
713656,"CZK 15,500",50.0767,14.45587,"Kolínská, Prague - Vinohrady",2 bedroom,Excellent,75 m²,CZK 300,"CZK 15,500",,Personal,Other,Furnished,1,Yes,No,Yes,No,Yes,No,No,B,200,383,102,161,92,341,221,537,926,344,09. 04. 2022,,,,,,,,,,
