Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Age,Design,Heating,Total number of floors,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Administration fee,Ownership Type,PENB,Renovation,New building,Front garden,Developer name,Project name,Kód jednotky
713250,"CZK 15,000",50.0701838,14.4021308,"Karla Engliše, Prague - Smíchov",1 bedroom with open-plan kitchen,New build,64 m²,"CZK 3,000","CZK 20,000",Brick building,Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,01. 06. 2022,10 to 30 years years,Standard materials and solutions,Gas boiler,Middle floor,125,373,219,81,55,115,351,847,"1,021",405,,,,,,,,,
705905,"CZK 18,990",50.11795972222,14.46150583333,"V Holešovičkách, Prague - Libeň",3 bedroom,Excellent,71 m²,"CZK 3,259","CZK 22,249",Brick building,Furnished,3,Yes,No,No,No,No,No,No,,,,,,243,689,606,833,393,496,846,908,"1,353",793,"CZK 22,249

                                
                                
                
i",Personal,G,,,,,,
301142,"CZK 19,000",50.1273445,14.5029602,"Bechlínská, Prague - Letňany",1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 2,500","CZK 25,000",Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,01. 05. 2022,1 to 10 years years,Premium materials and solutions,District heating,,229,845,111,874,564,811,345,568,253,,,Personal,C,,,,,,
713920,"CZK 86,625",50.0882058,14.4262315,"Rybná, Prague - Staré Město",3 bedroom with open-plan kitchen,,150 m²,"CZK 28,875",,,Furnished,4,No,No,No,No,No,No,No,11. 06. 2022,,,,,281,192,58,183,11,368,315,297,289,305,,,,,,,,,
713919,"CZK 13,875",50.0406167,14.4989504,"Babická, Prague - Chodov",Studio,,40 m²,"CZK 4,625",,,Furnished,-1,No,Yes,No,No,No,Yes,No,11. 06. 2022,,,,,128,"1,194",658,199,822,595,778,444,349,,,,,,,,,,
713918,"CZK 20,400",50.0630016,14.4450348,"Mojmírova, Prague - Nusle",Studio,,35 m²,"CZK 6,800",,,Furnished,2,Yes,No,No,No,No,Yes,No,11. 06. 2022,,,,,238,572,103,275,180,318,460,822,638,598,,,,,,,,,
713216,"CZK 16,000",50.03495,14.38949,"Devonská, Prague - Hlubočepy",Studio,New build,60 m²,"CZK 6,000","CZK 44,000",Brick building,Partially furnished,2,Yes,No,Yes,No,No,Yes,No,02. 07. 2022,,,,,202,"1,286",669,"1,194",642,"1,252","1,272","1,272","1,205",91,,Personal,G,,,,,,
590616,"CZK 14,000",50.008984,14.429712,"Levského, Prague - Modřany",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 3,000","CZK 20,000",Prefab concrete building,Partially furnished,4,Yes,No,No,Yes,No,Yes,No,08. 06. 2022,,,,,328,"1,048",142,"1,032",169,"1,022",284,384,179,171,,Personal,G,,,,,,
713915,"CZK 35,532",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",2 bedroom with open-plan kitchen,,80 m²,"CZK 11,844",,,Furnished,4,Yes,Yes,No,No,No,Yes,Yes,01. 05. 2022,,,,,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,
628517,"CZK 22,000",50.056007,14.308113,"Pod Zličínem, Prague - Stodůlky",2 bedroom with open-plan kitchen,New build,62 m²,"CZK 4,000","CZK 22,000",Brick building,Furnished,1,No,No,No,No,No,No,No,12. 04. 2022,1 to 10 years years,Premium materials and solutions,Electric boiler,Raised ground floor,205,"1,173",290,"1,214","1,161","1,320","1,304","1,102",828,489,,Personal,G,Overall,,,,,
