Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Floor,Heating,Total number of floors,Renovation,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,New building,Age,Front garden,Administration fee,Developer name,Project name,Kód jednotky
714094,"CZK 8,500",50.06065,14.40255,"Nad Koulkou, Prague - Smíchov",Studio,Excellent,24 m²,"CZK 3,400","CZK 11,900",Personal,Brick building,Partially furnished,No,No,No,No,No,No,No,13. 04. 2022,G,,,,,,,,,,,,,,,,,,,,,,
620115,"CZK 25,000",50.045603,14.436493,"Horáčkova, Prague - Krč",3 bedroom,Excellent,86 m²,"CZK 3,000","CZK 24,000",Personal,Brick building,Partially furnished,Yes,No,Yes,No,No,No,No,01. 04. 2022,G,3,Gas boiler,Top floor,Overall,231,623,130,701,373,724,205,154,376,81,,,,,,,,
714093,"CZK 59,978",50.0880107,14.416783,"Valentinská, Prague - Staré Město",2 bedroom,,60 m²,"CZK 19,992",,,,Furnished,No,No,No,No,No,Yes,No,12. 06. 2022,,5,,,,107,143,107,51,31,410,178,674,318,351,,,,,,,,
714092,"CZK 23,441",50.0719625,14.461813,"Bulharská, Prague - Vršovice",Studio,,35 m²,"CZK 7,814",,,,Furnished,No,No,No,No,No,No,No,12. 06. 2022,,5,,,,220,827,175,604,97,602,416,334,726,246,,,,,,,,
288662,"CZK 19,500",50.1014102,14.3708384,"Vostrovská, Prague - Dejvice",2 bedroom,Good,50 m²,"CZK 4,000","CZK 45,000",Personal,Brick building,Unfurnished,No,No,No,No,No,No,No,01. 04. 2021,G,1,Gas boiler,Middle floor,Interior,294,928,442,564,441,347,743,854,776,314,Standard materials and solutions,,,,,,,
603998,"CZK 18,000",50.02628,14.530734,"Loosova, Prague - Háje",1 bedroom with open-plan kitchen,New build,53 m²,"CZK 4,500","CZK 30,000",Personal,Brick building,,Yes,Yes,No,No,No,Yes,Yes,01. 05. 2022,A,3,,,,97,973,382,630,464,704,311,473,764,410,,,,,,,,
713356,"CZK 15,000",50.04745,14.44346,"Humpolecká, Prague - Krč",1 bedroom with open-plan kitchen,Excellent,44 m²,"CZK 3,000","CZK 18,000",Cooperative,Brick building,Furnished,No,No,No,No,No,No,No,10. 05. 2022,G,5,,,,265,280,114,263,194,220,335,736,621,243,,,,,,,,
714059,"CZK 58,781",50.0907943,14.427063,"Dlouhá, Prague - Staré Město",2 bedroom with open-plan kitchen,,62 m²,"CZK 19,594",,,,Furnished,No,No,No,No,No,Yes,No,20. 04. 2022,,3,,,,2,191,16,48,1,127,128,306,209,259,,,,,,,,
547839,"CZK 16,000",50.0704181,14.3832777,"Pod radnicí, Prague - Košíře",1 bedroom with open-plan kitchen,New build,53 m²,"CZK 3,000","CZK 20,000",Personal,Low-energy building,Partially furnished,Yes,No,No,No,No,Yes,No,01. 06. 2022,B,3,Central heating,Middle floor,,354,813,261,970,328,"1,077",186,738,"1,111",566,Standard materials and solutions,Yes,1 to 10 years years,,,,,
714056,"CZK 20,000",50.07977,14.40686,"Zborovská, Prague - Malá Strana",3 bedroom,Excellent,105 m²,CZK 500,"CZK 21,000",Personal,Brick building,Partially furnished,No,No,No,No,No,No,No,01. 05. 2022,G,4,,,,254,289,6,372,141,191,68,716,536,372,,,,,,,,
673571,"CZK 15,000",50.07159,14.40686,"Staropramenná, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,35 m²,"CZK 2,000","CZK 17,000",Personal,Brick building,Furnished,No,No,No,Yes,No,No,No,01. 04. 2022,G,3,Gas boiler,,Interior,119,466,30,128,37,308,560,"1,040","1,081",506,,,,,,,,
714050,"CZK 14,000",50.0565447,14.291731850686,"Do Zahrádek I, Prague - Třebonice",Studio,New build,30 m²,"CZK 2,000","CZK 16,000",Personal,Brick building,Furnished,Yes,No,No,No,No,No,No,13. 04. 2022,B,1,,,,252,"1,167",549,493,805,604,603,827,444,,,,,,,,,
714052,"CZK 19,260",50.0726658,14.3919787,"Grafická, Prague - Smíchov",1 bedroom with open-plan kitchen,,46 m²,"CZK 6,420",,,,Furnished,No,No,No,No,No,Yes,No,01. 05. 2022,,3,,,,185,"1,028",126,719,138,845,205,903,"1,057",128,,,,,,,,
714051,"CZK 25,596",50.0726277,14.3919683,"Grafická, Prague - Smíchov",1 bedroom with open-plan kitchen,,79 m²,"CZK 8,532",,,,Furnished,No,No,No,No,No,No,No,01. 05. 2022,,6,,,,187,"1,029",127,720,136,847,206,901,"1,059",126,,,,,,,,
714045,"CZK 11,500",50.10235,14.47493,"Palmovka, Prague - Libeň",1 bedroom,Good,41 m²,"CZK 4,071","CZK 11,500",Personal,Brick building,Partially furnished,No,No,Yes,No,No,Yes,No,03. 05. 2022,D,1,,,,42,192,30,121,112,196,35,159,357,520,,,,,,,,
714044,"CZK 15,000",50.06881,14.43794,"Perucká, Prague - Vinohrady",Studio,New build,24 m²,"CZK 3,598","CZK 50,000",Personal,Prefab concrete building,Furnished,No,No,Yes,No,No,No,No,29. 04. 2022,C,1,,,,533,652,431,809,459,782,519,441,675,740,,,,,,,,
711022,"CZK 17,000",50.05835,14.28382,"Míšovická, Prague - Zličín",1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 4,000","CZK 17,000",Personal,Brick building,Furnished,No,Yes,No,No,No,Yes,Yes,16. 05. 2022,A,1,,,,319,873,779,708,668,833,57,930,72,,,,,,,,,
628651,"CZK 15,000",50.050077,14.483572,"Střimelická, Prague - Záběhlice",3 bedroom,Excellent,68 m²,"CZK 4,500","CZK 19,500",Personal,Brick building,Unfurnished,Yes,No,No,No,No,Yes,No,01. 05. 2022,G,4,District heating,Middle floor,,79,605,143,546,225,"1,422",392,197,841,148,,,,,,,,
714041,"CZK 29,612",50.0707465,14.4307581,"Wenzigova, Prague - Nové Město",2 bedroom with open-plan kitchen,,92 m²,"CZK 9,871",,,,Furnished,No,Yes,No,No,No,Yes,No,24. 04. 2022,,6,,,,231,547,213,435,47,356,108,477,535,521,,,,,,,,
713340,"CZK 14,500",50.10526,14.51782,"Sousedíkova, Prague - Vysočany",Studio,New build,31 m²,"CZK 2,900","CZK 15,000",Personal,Brick building,Partially furnished,Yes,No,Yes,No,Yes,Yes,No,01. 05. 2022,C,5,,,,367,619,"1,082",628,"1,294","1,097",890,112,,,,,,,,,,
607392,"CZK 16,000",50.067695,14.396304,"Tomkova, Prague - Smíchov",1 bedroom,Excellent,63 m²,"CZK 2,950","CZK 25,000",Personal,Brick building,Furnished,No,No,Yes,No,Yes,Yes,Yes,01. 06. 2022,C,4,Central heating,Middle floor,,327,276,269,665,71,363,416,628,481,420,Premium materials and solutions,,10 to 30 years years,,,,,
714037,"CZK 19,850",50.04714,14.42878,Prague - Podolí,1 bedroom with open-plan kitchen,Excellent,44 m²,"CZK 2,400","CZK 30,000",Personal,Brick building,Partially furnished,No,No,No,No,No,No,No,18. 04. 2022,D,3,,,,283,"1,079",242,722,92,776,298,402,822,277,,,,,,,,
713990,"CZK 13,000",50.04089,14.39207,"Slivenecká, Prague - Hlubočepy",1 bedroom,Excellent,44 m²,"CZK 2,000","CZK 15,000",Personal,Brick building,Furnished,No,No,No,No,No,No,No,15. 04. 2022,G,1,,,,164,170,147,913,508,301,242,,,,,,,,,,,
552361,"CZK 10,000",50.0409561,14.3920638,"Slivenecká, Prague - Hlubočepy",Small studio,,36 m²,"CZK 2,000","CZK 10,000",Personal,Brick building,Furnished,No,No,No,No,No,No,No,,,,,,,161,167,143,909,505,298,238,,,,,,,,,,,
