Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,Renovation,New building,Front garden,Developer name,Project name,Kód jednotky
706890,"CZK 12,990",50.05203722222,14.33069055555,"Symfonická, Prague - Stodůlky",Studio,Excellent,52 m²,"CZK 2,149","CZK 15,139","CZK 15,139

                                
                                
                
i",Personal,Other,Partially furnished,1,Yes,No,No,No,No,Yes,No,C,263,979,527,944,628,499,912,521,435,407,,,,,,,,,,,
714476,"CZK 12,000",50.10421,14.47933,"U Balabenky, Prague - Libeň",1 bedroom,Excellent,38 m²,"CZK 3,000","CZK 12,000",,Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,G,,,,,,,,,,,20. 04. 2022,,,,,,,,,,
603998,"CZK 18,000",50.02628,14.530734,"Loosova, Prague - Háje",1 bedroom with open-plan kitchen,New build,53 m²,"CZK 4,500","CZK 30,000",,Personal,Brick building,,3,Yes,Yes,No,No,No,Yes,Yes,A,97,973,382,630,464,704,311,473,764,410,01. 05. 2022,,,,,,,,,,
714474,"CZK 37,500",50.0822245,14.4146349,"Krocínova, Prague - Staré Město",2 bedroom with open-plan kitchen,,102 m²,"CZK 12,500",,,,,Furnished,2,Yes,Yes,No,No,No,Yes,No,,,,,,,,,,,,17. 06. 2022,,,,,,,,,,
714473,"CZK 12,500",50.1271,14.37922,"Sídlištní, Prague - Lysolaje",Studio,Excellent,37 m²,"CZK 2,500","CZK 25,000",,Personal,Low-energy building,Furnished,2,No,No,No,No,No,Yes,No,G,,,,,,,,,,,01. 05. 2022,,,,,,,,,,
476526,"CZK 11,000",50.0901272,14.4736059,"Biskupcova, Prague - Žižkov",Studio,,32 m²,"CZK 5,300","CZK 30,000",,Personal,Brick building,Furnished,1,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
714472,"CZK 13,000",50.01325,14.42609,"Daškova, Prague - Modřany",1 bedroom,Excellent,41 m²,"CZK 3,000","CZK 26,000",,Personal,Prefab concrete building,Partially furnished,7,No,No,No,No,No,Yes,No,C,,,,,,,,,,,01. 05. 2022,1 to 10 years years,Standard materials and solutions,District heating,Top floor,Exterior,,,,,
485180,"CZK 25,000",50.077309,14.4556257,"Kolínská, Prague - Vinohrady",2 bedroom with open-plan kitchen,Excellent,74 m²,"CZK 4,500","CZK 25,000",,Personal,Brick building,Partially furnished,4,Yes,No,Yes,No,No,No,No,,130,313,49,92,22,320,291,607,996,394,16. 05. 2022,,,,,,,,,,
714471,"CZK 39,666",50.09292,14.45004,"Křižíkova, Prague - Karlín",Studio,Excellent,49 m²,,"CZK 39,666",,Personal,Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,C,,,,,,,,,,,02. 05. 2022,,,,,,,,,,
694287,"CZK 12,800",50.03456,14.38521,"Silurská, Prague - Hlubočepy",2 bedroom,Excellent,50 m²,"CZK 4,500","CZK 17,200",,Personal,Prefab concrete building,Partially furnished,1,No,No,Yes,No,No,Yes,Yes,G,220,848,375,756,278,814,980,966,934,501,01. 12. 2021,10 to 30 years years,Standard materials and solutions,District heating,Raised ground floor,,,,,,
714470,"CZK 29,900",50.07035,14.45073,"Košická, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 2,500","CZK 29,900",,Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,E,,,,,,,,,,,22. 04. 2022,,,Gas boiler,,,,,,,
714044,"CZK 15,000",50.06881,14.43794,"Perucká, Prague - Vinohrady",Studio,New build,24 m²,"CZK 3,598","CZK 50,000",,Personal,Prefab concrete building,Furnished,1,No,No,Yes,No,No,No,No,C,533,652,431,809,459,782,519,441,675,740,29. 04. 2022,,,,,,,,,,
628651,"CZK 15,000",50.050077,14.483572,"Střimelická, Prague - Záběhlice",3 bedroom,Excellent,68 m²,"CZK 4,500","CZK 19,500",,Personal,Brick building,Unfurnished,4,Yes,No,No,No,No,Yes,No,G,79,605,143,546,225,"1,422",392,197,841,148,01. 05. 2022,,,District heating,Middle floor,,,,,,
714357,"CZK 17,000",50.04343,14.51484,"Rižská, Prague - Hostivař",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,500","CZK 34,000",,Personal,Brick building,Furnished,4,No,No,Yes,Yes,Yes,Yes,Yes,B,,,,,,,,,,,11. 07. 2022,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,,Yes,,,,
593860,"CZK 8,000",50.029714,14.529635,"Bajkonurská, Prague - Háje",Studio,Good,28 m²,"CZK 3,500","CZK 10,000",,Personal,Prefab concrete building,Partially furnished,4,No,No,Yes,No,No,Yes,No,G,109,534,142,184,203,265,461,310,325,297,18. 04. 2022,,,District heating,Middle floor,,,,,,
714037,"CZK 19,850",50.04714,14.42878,Prague - Podolí,1 bedroom with open-plan kitchen,Excellent,44 m²,"CZK 2,400","CZK 30,000",,Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,D,283,"1,079",242,722,92,776,298,402,822,277,18. 04. 2022,,,,,,,,,,
711703,"CZK 14,900",50.10694,14.44521,"U Staré plynárny, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,47 m²,CZK 650,"CZK 30,000",,Cooperative,Brick building,Partially furnished,1,No,No,Yes,No,No,Yes,No,C,279,729,370,742,354,265,460,"1,085",380,388,18. 04. 2022,,,,,,,,,,
714462,"CZK 16,000",50.0483074,14.3124035,Prague - Stodůlky,Studio,Excellent,37 m²,"CZK 3,000","CZK 32,000",,Personal,Brick building,Partially furnished,1,No,Yes,No,No,No,Yes,Yes,G,,,,,,,,,,,01. 05. 2022,,,,,,,,,,
714459,"CZK 12,500",50.07165,14.45777,"Bulharská, Prague - Vršovice",Studio,Excellent,30 m²,"CZK 2,228","CZK 25,000",,Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,G,,,,,,,,,,,01. 05. 2022,,,,,,,,,,
661478,"CZK 21,000",50.1393591,14.4272136,Prague - Čimice,1 bedroom with open-plan kitchen,Excellent,62 m²,"CZK 4,000","CZK 42,000",,Personal,Brick building,Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,C,350,407,294,327,389,775,525,"1,468",325,,01. 06. 2022,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,,,,,,
714457,"CZK 25,000",50.08828,14.45798,"Koněvova, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,61 m²,"CZK 3,900","CZK 50,000",,Personal,Other,Furnished,2,No,Yes,Yes,No,Yes,Yes,Yes,G,217,246,152,307,105,180,308,479,161,418,01. 05. 2022,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,,Yes,54 m²,,,
714456,"CZK 16,500",50.10826,14.48571,"Kovanecká, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 2,800","CZK 25,000",,Personal,Brick building,Partially furnished,4,Yes,No,No,No,No,Yes,No,C,334,485,264,544,244,704,396,369,205,414,17. 04. 2022,1 to 10 years years,,District heating,,,,,,,
599969,"CZK 29,000",50.081584,14.406318,"Šeříková, Prague - Malá Strana",1 bedroom with open-plan kitchen,New build,70 m²,"CZK 6,243","CZK 29,000",,Personal,Brick building,Furnished,2,Yes,Yes,No,No,No,Yes,No,G,77,251,147,541,39,263,181,517,354,313,23. 03. 2020,1 to 10 years years,Premium materials and solutions,Gas boiler,Middle floor,Overall,Yes,,,,
714003,"CZK 17,500",50.01022,14.45359,"Machuldova, Prague - Kamýk",3 bedroom,Excellent,71 m²,"CZK 5,000","CZK 30,000",,Personal,Prefab concrete building,Partially furnished,2,Yes,No,Yes,No,No,Yes,No,C,208,871,123,622,"1,042",537,"1,236",707,164,,01. 05. 2022,,,,,,,,,,
