Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,Condition,Heating,Total number of floors,PENB,Renovation,Age,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky
713918,"CZK 22,313",50.0630016,14.4450348,"Mojmírova, Prague - Nusle",Studio,35 m²,"CZK 7,437",Furnished,2,Yes,No,No,No,No,Yes,No,11. 06. 2022,238,572,103,275,180,318,460,822,638,598,,,,,,,,,,,,,,,,
545400,"CZK 8,500",50.036559,14.4172471,Prague - Braník,Small studio,25 m²,"CZK 2,500",Furnished,,No,No,No,No,No,No,No,21. 04. 2022,514,627,473,447,573,399,312,784,,,"CZK 3,000",Other,Brick building,,,,,,,,,,,,,
715349,"CZK 12,000",50.07293,14.44124,"Jana Masaryka, Prague - Vinohrady",1 bedroom,33 m²,"CZK 3,000",Unfurnished,1,No,No,No,No,No,No,No,21. 04. 2022,,,,,,,,,,,"CZK 20,000",Other,Brick building,Excellent,Gas boiler,Middle floor,G,,,,,,,,,
715350,"CZK 41,438",50.077834,14.422878,"Příčná, Prague - Nové Město",Studio,26 m²,"CZK 13,812",Furnished,2,No,No,No,No,No,No,No,20. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
715336,"CZK 16,500",50.13101,14.4791,"Frýdlantská, Prague - Kobylisy",3 bedroom,64 m²,"CZK 3,500",Partially furnished,8,No,No,No,Yes,No,Yes,No,01. 05. 2022,,,,,,,,,,,"CZK 30,000",Personal,Prefab concrete building,Excellent,District heating,,G,,,,,,,,,
119868,"CZK 13,000",50.1108959,14.4470802,"U pergamenky, Prague - Holešovice",1 bedroom with open-plan kitchen,40 m²,"CZK 2,500",Partially furnished,5,No,No,Yes,No,No,No,No,,72,896,292,840,445,531,271,"1,259",698,374,"CZK 15,000",Cooperative,Brick building,,Other,Top floor,,,,,,,,,,
715329,"CZK 12,800",50.07177,14.46983,"28. pluku, Prague - Vršovice",Studio,34 m²,"CZK 3,200",Partially furnished,4,Yes,No,Yes,No,No,Yes,No,20. 04. 2022,,,,,,,,,,,"CZK 12,800",Personal,Brick building,Excellent,,Middle floor,G,Interior,,,,,,,,
715328,"CZK 13,500",50.04276,14.49314,"Klapálkova, Prague - Chodov",Studio,32 m²,"CZK 2,000",Unfurnished,1,Yes,No,No,No,No,Yes,No,01. 05. 2022,,,,,,,,,,,"CZK 27,000",Personal,Brick building,New build,,,G,,,,,,,,,
715324,"CZK 15,000",50.10471,14.48725,"Drahobejlova, Prague - Libeň",Small studio,37 m²,"CZK 3,000",Furnished,5,Yes,No,Yes,No,No,Yes,Yes,01. 05. 2022,,,,,,,,,,,"CZK 15,000",Personal,Brick building,New build,,,G,,,,,,,,,
715316,"CZK 20,000",50.0471,14.30405,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,47 m²,"CZK 4,000",Furnished,5,Yes,No,No,No,Yes,Yes,No,20. 04. 2022,,,,,,,,,,,"CZK 40,000",Personal,Brick building,Excellent,,,G,,,,,,,,,
715315,"CZK 16,500",50.04522,14.46547,"Podle Kačerova, Prague - Michle",2 bedroom with open-plan kitchen,74 m²,"CZK 4,500",Partially furnished,4,No,No,No,Yes,No,Yes,No,14. 05. 2022,,,,,,,,,,,"CZK 21,000",Personal,Prefab concrete building,Excellent,District heating,Middle floor,G,Overall,10 to 30 years years,Standard materials and solutions,,,,,,
324902,"CZK 16,000",50.0382085,14.4821882,"Kloboukova, Prague - Chodov",2 bedroom with open-plan kitchen,68 m²,"CZK 3,168",Partially furnished,4,No,No,Yes,No,No,No,No,15. 04. 2022,,,,,,,,,,,"CZK 32,000",Personal,Prefab concrete building,,,,,,,,,,,,,
715028,"CZK 11,000",50.1069435,14.4464819,"Osadní, Prague - Holešovice",1 bedroom with open-plan kitchen,31 m²,"CZK 2,000",Unfurnished,5,No,No,No,No,No,Yes,No,20. 04. 2022,,,,,,,,,,,"CZK 11,000",Personal,Brick building,Excellent,,,G,,,Standard materials and solutions,,,,,,
713497,"CZK 38,625",50.0895308,14.4237131,"Masná, Prague - Staré Město",1 bedroom,38 m²,"CZK 12,875",Furnished,4,No,No,No,No,No,Yes,No,17. 05. 2022,69,269,125,89,15,106,70,52,156,144,,,,,,,,,,,,,,,,
282676,"CZK 15,000",50.0686763,14.3091212,"Žufanova, Prague - Řepy",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Furnished,4,No,No,No,No,No,Yes,No,10. 05. 2022,227,609,459,674,474,336,342,438,"1,158",51,"CZK 25,000",Personal,Prefab concrete building,Excellent,Central heating,,B,,,,,,,,,
573326,"CZK 14,000",50.0641277,14.2874444,"Hevlínská, Prague - Zličín",Studio,48 m²,"CZK 3,500",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 07. 2022,232,176,"1,056",792,818,"1,086",493,,,,"CZK 28,000",Personal,Brick building,Excellent,Gas boiler,Middle floor,,,1 to 10 years years,Premium materials and solutions,,,,,,
456849,"CZK 17,000",50.03156,14.60085,"Nové náměstí, Prague - Uhříněves",1 bedroom with open-plan kitchen,64 m²,"CZK 1,500",Partially furnished,1,No,Yes,Yes,No,No,No,No,01. 05. 2022,146,"1,193",785,"1,221",766,"1,235",856,590,603,691,"CZK 34,000",Personal,Brick building,,Gas boiler,Raised ground floor,D,,10 to 30 years years,Standard materials and solutions,90 m²,,,,,
510434,"CZK 8,700",50.0781421,14.3026439,"Pod Karlovarskou silnicí, Prague - Ruzyně",Small studio,22 m²,"CZK 2,700",Partially furnished,2,No,No,No,No,No,No,No,,262,963,691,842,,,,,,,"CZK 11,400",Personal,Brick building,,Central heating,Middle floor,F,,,Standard materials and solutions,,,,,,
610174,"CZK 12,000",50.049054,14.345899,"V Hůrkách, Prague - Stodůlky",1 bedroom with open-plan kitchen,33 m²,"CZK 2,700",Partially furnished,2,No,No,No,No,No,Yes,No,01. 05. 2022,355,487,114,290,179,347,99,317,"1,165",18,"CZK 15,000",Personal,Prefab concrete building,Excellent,,Middle floor,,Overall,,,,,,,,
715307,"CZK 24,500",50.08709,14.46381,"V Kapslovně, Prague - Žižkov",3 bedroom,98 m²,"CZK 3,000",Partially furnished,2,No,Yes,No,No,No,Yes,Yes,21. 04. 2022,,,,,,,,,,,"CZK 25,000",Personal,Brick building,Excellent,,,C,,,,,,,,,
715306,"CZK 20,000",50.06326,14.28874,"Křivatcová, Prague - Zličín",2 bedroom with open-plan kitchen,70 m²,"CZK 5,000",Partially furnished,1,Yes,No,No,Yes,Yes,Yes,No,21. 04. 2022,,,,,,,,,,,"CZK 25,000",Personal,Brick building,New build,,,A,,,,,,,,,
711233,"CZK 14,990",50.1085429,14.5254683,"Granitova, Prague - Hloubětín",Studio,44 m²,"CZK 2,990",Partially furnished,5,No,Yes,Yes,No,Yes,Yes,No,21. 03. 2022,280,"1,320",719,"1,302","1,077","1,144","1,212","1,015","1,196",524,,Personal,Low-energy building,New build,District heating,,A,,1 to 10 years years,Premium materials and solutions,,Yes,,,,
554738,"CZK 17,000",50.0694,14.4840287,Prague - Strašnice,1 bedroom with open-plan kitchen,42 m²,"CZK 3,500",Partially furnished,5,Yes,No,Yes,No,No,Yes,Yes,16. 05. 2022,,,,,,,,,,,"CZK 34,000",Personal,Brick building,New build,District heating,,,,,,,Yes,,,,
576460,"CZK 13,500",50.0807978,14.4844751,"Nad Vodovodem, Prague - Strašnice",1 bedroom,40 m²,"CZK 3,500",Furnished,1,No,No,No,No,No,No,No,01. 12. 2019,,,,,,,,,,,"CZK 27,000",Personal,Brick building,Excellent,Central heating,Raised ground floor,G,Overall,,,,,,,,
441407,"CZK 20,000",50.0420403,14.3250048,Prague - Stodůlky,2 bedroom with open-plan kitchen,90 m²,"CZK 6,500",Furnished,10,No,No,Yes,Yes,No,Yes,No,01. 05. 2022,,,,,,,,,,,"CZK 26,500",Cooperative,Prefab concrete building,Excellent,District heating,Top floor,,Overall,1 to 10 years years,Premium materials and solutions,,,,,,
619048,"CZK 12,000",50.08373,14.449294,"Víta Nejedlého, Prague - Žižkov",Studio,39 m²,"CZK 2,000",Furnished,1,No,No,No,No,Yes,Yes,No,20. 04. 2022,296,133,104,160,115,154,141,250,293,523,"CZK 14,000",Personal,Brick building,Excellent,Electric boiler,Ground floor,D,Overall,1 to 10 years years,,,,,,,
621379,"CZK 9,000",50.056553,14.495605,"Jabloňová, Prague - Záběhlice",Small studio,25 m²,"CZK 3,200",Furnished,8,No,No,No,No,No,Yes,No,20. 04. 2022,59,616,149,989,200,50,166,658,166,283,"CZK 18,000",Personal,Prefab concrete building,Excellent,,,,,,,,,,,,
