Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,New building,Renovation,Front garden,Developer name,Project name,Kód jednotky
707694,"CZK 12,490",50.05653277777,14.43214805555,"Dačického, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 2,399","CZK 14,889","CZK 14,889

                                
                                
                
i",Personal,Brick building,Unfurnished,3,No,No,Yes,No,No,Yes,No,D,129,955,179,262,173,390,730,456,162,260,,,,,,,,,,,
714474,"CZK 37,500",50.0822245,14.4146349,"Krocínova, Prague - Staré Město",2 bedroom with open-plan kitchen,,102 m²,"CZK 12,500",,,,,Furnished,2,Yes,Yes,No,No,No,Yes,No,,258,962,181,204,1,145,392,348,304,385,17. 06. 2022,,,,,,,,,,
694287,"CZK 12,800",50.03456,14.38521,"Silurská, Prague - Hlubočepy",2 bedroom,Excellent,50 m²,"CZK 4,500","CZK 17,200",,Personal,Prefab concrete building,Partially furnished,1,No,No,Yes,No,No,Yes,Yes,G,220,848,375,756,278,814,980,966,934,501,01. 12. 2021,10 to 30 years years,Standard materials and solutions,District heating,Raised ground floor,,,,,,
710905,"CZK 19,000",50.1316367,14.5540352,"Martinická, Prague - Kbely",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 4,000","CZK 30,000",,Personal,Brick building,Furnished,1,No,Yes,No,No,No,Yes,Yes,C,166,764,230,176,215,908,641,780,101,,30. 04. 2022,,,District heating,Raised ground floor,Yes,,,,,
715545,"CZK 16,500",50.05976,14.42668,"Mikuláše z Husi, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,500","CZK 30,000",,Personal,Brick building,Furnished,4,Yes,No,Yes,No,No,No,No,F,44,588,142,353,88,446,506,192,83,300,01. 05. 2022,,,,,,,,,,
714357,"CZK 17,000",50.04343,14.51484,"Rižská, Prague - Hostivař",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,500","CZK 34,000",,Personal,Brick building,Furnished,4,No,No,Yes,Yes,Yes,Yes,Yes,B,,,,,,,,,,,11. 07. 2022,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,Yes,,,,,
615620,"CZK 25,000",50.057222,14.492372,"Za Slatinami, Prague - Záběhlice",3 bedroom with open-plan kitchen,New build,105 m²,"CZK 4,150","CZK 50,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,A,187,896,332,"1,186",379,330,411,902,160,424,30. 04. 2022,1 to 10 years years,Standard materials and solutions,Gas boiler,Middle floor,Yes,Overall,,,,
715542,"CZK 12,000",50.08492,14.37106,"Junácká, Prague - Břevnov",Studio,Excellent,37 m²,"CZK 3,500","CZK 12,000",,Personal,Brick building,Furnished,5,No,Yes,No,No,Yes,Yes,No,G,277,511,235,326,235,313,341,162,516,501,25. 04. 2022,,,,,,,,,,
619958,"CZK 25,000",50.036541,14.383217,"Pražského, Prague - Hlubočepy",4 bedroom,Excellent,90 m²,"CZK 5,000","CZK 24,000",,Personal,Other,Furnished,2,Yes,No,No,No,No,Yes,No,G,123,683,567,597,584,628,588,578,540,293,01. 06. 2022,10 to 30 years years,,District heating,Middle floor,,Interior,,,,
715537,"CZK 18,000",50.13944,14.44911,"K Beranovu, Prague - Dolní Chabry",Studio,New build,95 m²,"CZK 4,500","CZK 36,000",,Personal,Low-energy building,Partially furnished,1,No,Yes,No,No,Yes,Yes,No,A,282,"1,007",164,736,583,"1,091",136,,,,01. 05. 2022,,,,,,,,,,
