Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Design,Heating,Renovation,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Total number of floors,Age,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
690939,"CZK 14,500",50.090668,14.3081756,"Žukovského, Prague - Ruzyně",1 bedroom with open-plan kitchen,Excellent,41 m²,"CZK 4,500","CZK 28,000",Personal,Prefab concrete building,Partially furnished,8,Yes,No,No,No,Yes,Yes,No,01. 05. 2022,Standard materials and solutions,District heating,Overall,C,177,173,80,67,185,123,375,"1,335","1,464",119,,,,,,,,
681783,"CZK 21,000",50.07808,14.4292,"Mezibranská, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 4,500","CZK 42,000",Personal,Brick building,Furnished,1,Yes,No,Yes,No,No,No,No,01. 06. 2022,Premium materials and solutions,Central heating,Interior,,276,563,327,271,40,362,509,632,197,425,Middle floor,,,,,,,
715938,"CZK 51,000",50.0903205,14.4200069,"Elišky Krásnohorské, Prague - Josefov",2 bedroom,,110 m²,"CZK 17,000",,,,Furnished,5,No,No,No,No,No,Yes,No,25. 06. 2022,,,,,110,373,218,256,23,273,141,384,214,476,,,,,,,,
536098,"CZK 13,000",50.090469220676,14.451218128051,"Pernerova, Prague - Karlín",Studio,Excellent,33 m²,"CZK 1,500","CZK 26,000",Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,01. 07. 2022,,Other,,,367,465,234,364,151,430,172,992,425,360,,,,,,,,
624497,"CZK 14,500",50.056579,14.373918,"Kačírkova, Prague - Jinonice",Studio,New build,33 m²,"CZK 2,500","CZK 10,000",Personal,Low-energy building,,3,Yes,No,No,No,No,No,No,01. 05. 2022,,,,A,167,110,211,"1,262",70,153,729,190,"1,174",169,,,,,,,,
255872,"CZK 12,000",50.1175036,14.4174317,Prague - Troja,Studio,Excellent,33 m²,"CZK 2,000","CZK 20,000",Personal,Prefab concrete building,Partially furnished,6,No,No,No,Yes,No,Yes,No,20. 01. 2022,,District heating,Overall,B,55,358,50,"1,460",389,561,211,700,435,,Middle floor,,,,,,,
715316,"CZK 20,000",50.0471,14.30405,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 4,000","CZK 40,000",Personal,Brick building,Furnished,5,Yes,No,No,No,Yes,Yes,No,20. 04. 2022,,,,G,176,168,143,114,939,958,584,745,127,,,,,,,,,
715924,"CZK 14,000",50.00671,14.433,"Mladenovova, Prague - Modřany",3 bedroom,Excellent,73 m²,"CZK 7,500","CZK 20,000",Personal,Prefab concrete building,Partially furnished,4,Yes,No,Yes,No,No,Yes,No,02. 05. 2022,,,,G,163,"1,244",583,"1,233",133,"1,229",687,144,495,129,,,,,,,,
715665,"CZK 23,000",50.06944,14.30499,"Španielova, Prague - Řepy",4 bedroom,Excellent,88 m²,"CZK 2,000","CZK 23,000",Personal,Prefab concrete building,Furnished,7,No,No,Yes,Yes,No,Yes,No,29. 04. 2022,Standard materials and solutions,District heating,,G,417,836,146,798,133,364,115,255,655,,Top floor,,,,,,,
350796,"CZK 12,000",50.1039365,14.5127289,"Pod Harfou, Prague - Vysočany",Studio,,36 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Partially furnished,7,No,No,No,No,No,Yes,No,01. 05. 2022,,District heating,,,155,236,"1,362",936,429,759,"1,081",804,219,,,,,,,,,
