Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,Renovation,PENB,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky
714404,"CZK 78,000",50.0822546,14.4142748,"Krocínova, Prague - Staré Město",3 bedroom,125 m²,"CZK 26,000",Furnished,6,Yes,No,No,No,No,Yes,No,16. 06. 2022,284,987,183,230,26,119,417,373,329,411,,,,,,,,,,,,,,,,
715209,"CZK 48,000",50.0718291,14.4385892,"Americká, Prague - Vinohrady",3 bedroom,72 m²,"CZK 16,000",Furnished,5,No,No,No,No,No,Yes,No,19. 06. 2022,274,300,81,587,69,312,103,253,793,568,,,,,,,,,,,,,,,,
442008,"CZK 17,000",50.0996048,14.3444734,"Na Lužci, Prague - Vokovice",1 bedroom with open-plan kitchen,45 m²,"CZK 2,600",Partially furnished,2,No,No,No,No,No,No,No,27. 01. 2020,136,420,"1,003",113,625,347,545,405,91,,Excellent,"CZK 30,000",Personal,Brick building,1 to 10 years years,Central heating,Attic,Overall,B,,,,,,,
239937,"CZK 10,000",50.1274024,14.4669336,"Kyselova, Prague - Kobylisy",Studio,24 m²,"CZK 3,300",Partially furnished,11,No,No,No,No,No,No,No,,220,282,90,97,75,302,188,320,844,24,,,Personal,Prefab concrete building,,,,,,,,,,,,
113106,"CZK 16,800",50.0538919,14.4972997,"U Zahradního Města, Prague - Záběhlice",3 bedroom,67 m²,"CZK 4,500",Partially furnished,3,Yes,No,No,No,No,Yes,No,21. 02. 2022,302,839,466,"1,326",305,474,512,354,751,609,Excellent,"CZK 33,600",Personal,Brick building,10 to 30 years years,Central heating,Middle floor,,,Standard materials and solutions,,,,,,
715350,"CZK 41,438",50.077834,14.422878,"Příčná, Prague - Nové Město",Studio,26 m²,"CZK 13,812",Furnished,2,No,No,No,No,No,No,No,20. 06. 2022,224,529,123,232,36,222,310,471,467,408,,,,,,,,,,,,,,,,
716213,"CZK 28,688",50.0730353,14.4083714,"Zborovská, Prague - Smíchov",Studio,40 m²,"CZK 9,562",Furnished,2,Yes,Yes,No,No,No,No,No,27. 06. 2022,94,401,89,199,59,403,430,911,"1,115",601,,,,,,,,,,,,,,,,
716212,"CZK 36,675",50.0830187,14.4654473,"Olšanská h, Prague - Žižkov",1 bedroom with open-plan kitchen,62 m²,"CZK 12,225",Furnished,7,No,No,No,No,No,Yes,No,27. 06. 2022,99,368,492,556,426,352,496,585,430,491,,,,,,,,,,,,,,,,
471664,"CZK 30,000",50.0705672,14.4310026,"Legerova, Prague - Vinohrady",4 bedroom,126 m²,"CZK 7,000",Partially furnished,1,No,No,Yes,No,No,No,No,01. 05. 2022,190,550,227,457,24,316,119,480,501,471,Good,"CZK 50,000",Cooperative,Brick building,over 50 years years,Gas boiler,Middle floor,Interior,E,Premium materials and solutions,,,,,,
716211,"CZK 14,900",50.09903,14.34437,"Na Lužci, Prague - Vokovice",1 bedroom with open-plan kitchen,34 m²,"CZK 2,600",Partially furnished,1,No,No,No,No,No,No,No,16. 05. 2022,219,"1,461",363,920,56,568,263,488,348,34,Excellent,"CZK 30,000",Personal,Brick building,,,,,B,,,,,,,
