Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,Renovation,Age,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky
716293,"CZK 12,500",50.066,14.29848,"Na Chobotě, Prague - Řepy",1 bedroom with open-plan kitchen,Excellent,43 m²,"CZK 4,500","CZK 20,000",Cooperative,Prefab concrete building,Partially furnished,5,No,No,No,No,Yes,Yes,No,29. 04. 2022,F,103,"1,037",255,999,46,799,784,482,"1,378",88,,,,,,,,,,,
33343,"CZK 13,500",50.1059177,14.4486013,"U měšťanského pivovaru, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,35 m²,"CZK 3,000","CZK 16,500",Personal,Prefab concrete building,Furnished,4,No,No,No,No,No,Yes,No,01. 07. 2022,,208,391,136,210,95,214,400,672,383,478,Premium materials and solutions,Central heating,Middle floor,Overall,,,,,,,
716348,"CZK 23,000",50.10569,14.53889,"Chvalská, Prague - Hloubětín",3 bedroom,Good,65 m²,"CZK 7,900","CZK 31,000",Personal,Brick building,Partially furnished,1,No,No,Yes,No,Yes,No,No,01. 05. 2022,G,15,46,57,65,229,120,506,428,306,294,Standard materials and solutions,Electric boiler,Raised ground floor,,10 to 30 years years,,,,,,
715140,"CZK 20,000",50.08509,14.34136,"Plojharova, Prague - Břevnov",2 bedroom with open-plan kitchen,Excellent,63 m²,"CZK 3,000","CZK 40,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,16. 05. 2022,G,262,821,468,622,305,617,156,305,811,399,Standard materials and solutions,District heating,Middle floor,Interior,over 50 years years,,,,,,
715186,"CZK 20,000",50.09337,14.48937,"K Lučinám, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 3,000","CZK 30,000",Personal,Other,Partially furnished,7,No,Yes,No,No,No,Yes,No,01. 05. 2022,G,278,307,64,270,164,285,185,208,320,139,,,,,,,,,,,
494735,"CZK 17,500",50.1155396,14.5633862,"Farkašova, Prague - Kyje",2 bedroom with open-plan kitchen,New build,63 m²,"CZK 4,350","CZK 20,000",Personal,Prefab concrete building,Furnished,2,Yes,No,No,No,No,No,No,01. 07. 2022,C,204,910,685,"1,279","1,219",697,,,,,Premium materials and solutions,District heating,Middle floor,,1 to 10 years years,,,,,,
716333,"CZK 45,000",50.0931,14.36735,"Nový lesík, Prague - Střešovice",5 bedroom,Good,170 m²,"CZK 5,000","CZK 50,000",Personal,Brick building,Partially furnished,2,Yes,Yes,Yes,No,No,No,Yes,01. 05. 2022,G,266,928,710,"1,132",274,883,879,"1,234",325,288,,,,,,,,,,,
716332,"CZK 13,000",50.07667,14.46512,"Písecká, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,48 m²,"CZK 3,000","CZK 26,000",Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,01. 05. 2022,G,222,402,263,509,100,476,176,644,220,197,,,,,,,,,,,
716194,"CZK 18,000",50.07532,14.35971,"Jeřabinová, Prague - Smíchov",1 bedroom with open-plan kitchen,New build,65 m²,"CZK 5,400","CZK 25,000",Personal,Brick building,Partially furnished,,No,Yes,No,No,No,Yes,No,01. 05. 2022,A,429,"1,202",675,920,548,519,467,,,,,,,,,,,,,,
716327,"CZK 20,000",50.05552,14.35149,"Vidoulská, Prague - Jinonice",1 bedroom with open-plan kitchen,Excellent,65 m²,"CZK 3,800","CZK 20,000",Personal,Brick building,Partially furnished,1,No,Yes,No,No,No,No,No,01. 05. 2022,G,585,"1,034",225,807,451,600,210,796,"1,496",306,,,,,,,,,,,
713524,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,,"CZK 20,000",,,,Furnished,3,No,No,No,No,No,No,No,29. 05. 2022,,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,
715733,"CZK 47,340",50.1025661,14.4522431,"Na Maninách, Prague - Holešovice",1 bedroom with open-plan kitchen,,69 m²,"CZK 15,780",,,,Furnished,6,Yes,Yes,No,No,No,Yes,No,30. 04. 2022,,105,350,144,146,109,151,432,394,290,329,,,,,,,,,,,
713497,"CZK 38,625",50.0895308,14.4237131,"Masná, Prague - Staré Město",1 bedroom,,38 m²,"CZK 12,875",,,,Furnished,4,No,No,No,No,No,Yes,No,17. 05. 2022,,69,269,125,89,15,106,70,52,156,144,,,,,,,,,,,
191403,"CZK 11,500",50.0831332,14.4493023,"Bořivojova, Prague - Žižkov",1 bedroom,,35 m²,"CZK 2,700","CZK 16,000",Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,,364,198,40,225,81,202,206,314,358,577,Standard materials and solutions,,,,,,,,,,
716199,"CZK 14,000",50.12993,14.42601,"Štětínská, Prague - Bohnice",3 bedroom,Excellent,72 m²,"CZK 6,000","CZK 25,000",Cooperative,Prefab concrete building,Partially furnished,2,No,No,Yes,Yes,No,No,No,02. 05. 2022,G,272,670,256,899,603,288,520,547,774,199,,District heating,Middle floor,,,,,,,,
577064,"CZK 16,900",50.1027788,14.3748352,"U Hadovky, Prague - Dejvice",2 bedroom,Excellent,63 m²,"CZK 3,050","CZK 17,000",Cooperative,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,29. 04. 2022,D,261,"1,397",338,"1,034",337,306,502,635,535,425,Standard materials and solutions,Gas boiler,Raised ground floor,Interior,over 50 years years,,,,,,
611061,"CZK 16,000",50.074347,14.438075,"Francouzská, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 3,498","CZK 16,000",Personal,Brick building,Partially furnished,5,No,Yes,No,No,No,Yes,No,01. 06. 2022,C,82,327,32,313,18,259,195,372,740,636,,Central heating,Middle floor,Overall,,,,,,,
