Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Total number of floors,Renovation,Heating,Front garden,Administration fee,Developer name,Project name,Kód jednotky,New building,Investment Advisor
714092,"CZK 23,195",50.0719625,14.461813,"Bulharská, Prague - Vršovice",Studio,35 m²,"CZK 7,731",Furnished,5,No,No,No,No,No,No,No,12. 06. 2022,220,827,175,604,97,602,416,334,726,246,,,,,,,,,,,,,,,,,
715746,"CZK 23,100",50.0709,14.38315,"Plzeňská, Prague - Košíře",1 bedroom with open-plan kitchen,64 m²,"CZK 4,600",Furnished,3,No,Yes,Yes,No,Yes,Yes,Yes,25. 04. 2022,236,757,217,"1,132",273,"1,240",131,522,"1,117",573,New build,"CZK 25,000",Personal,Other,C,,,,,,,,,,,,
716430,"CZK 15,000",50.08393,14.40454,"Újezd, Prague - Malá Strana",1 bedroom with open-plan kitchen,41 m²,"CZK 3,500",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 05. 2022,54,387,90,502,94,448,252,196,243,262,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
716431,"CZK 13,500",50.07929,14.44774,"Slavíkova, Prague - Vinohrady",3 bedroom,113 m²,"CZK 1,500",Furnished,2,No,No,No,No,No,Yes,No,22. 05. 2022,301,451,66,419,61,291,171,160,510,325,Good,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
713523,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,29. 05. 2022,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,,,,,,
538394,"CZK 20,000",50.1560751,14.522333,"Schoellerova, Prague - Čakovice",2 bedroom with open-plan kitchen,79 m²,"CZK 5,300",Furnished,1,Yes,No,No,No,No,No,No,01. 06. 2022,108,536,169,409,"1,120",561,335,232,,,,"CZK 25,000",Personal,Brick building,,1 to 10 years years,Premium materials and solutions,Attic,Interior,,,,,,,,
621246,"CZK 16,000",50.117855,14.475694,"Na Sypkém, Prague - Libeň",1 bedroom with open-plan kitchen,43 m²,"CZK 2,500",Furnished,3,No,No,No,No,No,No,No,01. 06. 2022,174,"1,483",516,506,775,847,"1,055","1,259",572,,Excellent,"CZK 20,000",,Brick building,C,1 to 10 years years,Premium materials and solutions,,Overall,Electric boiler,200 m²,,,,,,
715724,"CZK 17,500",50.06505,14.55267,"Františka Jansy, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,48 m²,"CZK 3,500",Partially furnished,4,No,No,No,Yes,No,Yes,No,25. 04. 2022,178,872,476,395,647,"1,173",837,72,,,New build,"CZK 35,000",Cooperative,Brick building,A,,,,,,,,,,,,
716429,"CZK 31,000",50.07781,14.40239,"Drtinova, Prague - Smíchov",3 bedroom with open-plan kitchen,89 m²,"CZK 3,000",Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 06. 2022,221,424,229,353,40,326,578,851,671,282,Excellent,"CZK 50,000",Personal,Brick building,G,,,Middle floor,Overall,Central heating,,,,,,,
713498,"CZK 39,000",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,80 m²,"CZK 13,000",Furnished,3,No,No,No,No,No,Yes,No,29. 05. 2022,149,274,60,441,20,421,59,552,690,457,,,,,,,,,,,,,,,,,
716428,"CZK 16,990",50.10263833333,14.56778277777,"Doležalova, Prague - Černý Most",3 bedroom,76 m²,"CZK 3,560",Unfurnished,4,Yes,No,Yes,No,No,Yes,No,,220,943,175,"1,241",739,751,382,276,"1,275",347,Good,"CZK 20,550",Personal,Prefab concrete building,G,,,,,,,"CZK 20,550

                                
                                
                
i",,,,,
482525,"CZK 18,750",50.086769801288,14.345216747607,"Brunclíkova, Prague - Břevnov",2 bedroom,53 m²,"CZK 4,250",Partially furnished,7,Yes,No,No,No,No,No,No,01. 06. 2022,15,602,259,337,121,355,258,231,636,171,Excellent,"CZK 30,000",Personal,Prefab concrete building,D,1 to 10 years years,,Top floor,Overall,District heating,,,,,,,
695231,"CZK 7,000",50.06129,14.59472,"Netlucká, Prague - Dubeč",Small studio,25 m²,,Furnished,2,No,No,No,No,Yes,No,No,27. 05. 2022,174,953,256,818,584,919,"1,025",,,,Excellent,"CZK 7,000",Personal,Brick building,A,1 to 10 years years,Premium materials and solutions,Attic,Overall,Central heating,,,,,,,
713472,"CZK 41,250",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",2 bedroom,50 m²,"CZK 13,750",Furnished,-1,No,No,No,No,No,Yes,No,01. 05. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,,
326100,"CZK 9,000",50.0777008,14.4576999,"Vinohradská, Prague - Žižkov",Small studio,30 m²,"CZK 1,500",Partially furnished,4,No,No,No,No,No,No,No,09. 05. 2022,43,433,75,83,83,243,516,593,808,295,,"CZK 10,500",Personal,Brick building,G,,,Top floor,,District heating,,,,,,,
520013,"CZK 10,490",50.013708,14.4335403,"Zárubova, Prague - Kamýk",Studio,24 m²,"CZK 3,200",Partially furnished,8,No,No,Yes,No,No,Yes,No,,438,"1,467",368,"1,460",815,359,128,387,622,252,,"CZK 10,000",Personal,Prefab concrete building,,,,,,,,,,,,,
603358,"CZK 16,000",50.108989,14.497986,"Na Břehu, Prague - Vysočany",1 bedroom with open-plan kitchen,54 m²,"CZK 3,500",Furnished,4,Yes,No,Yes,No,No,No,No,01. 06. 2022,238,370,128,234,86,223,696,655,269,320,Excellent,"CZK 32,000",Personal,Brick building,G,,,Top floor,Overall,Other,,,,,,,
713468,"CZK 18,720",50.0713305,14.4638794,"Na Míčánkách, Prague - Vršovice",1 bedroom with open-plan kitchen,49 m²,"CZK 6,240",Furnished,2,No,No,No,No,No,Yes,No,06. 06. 2022,84,743,87,659,277,595,408,307,678,198,,,,,,,,,,,,,,,,,
713506,"CZK 37,425",50.0749602,14.4305105,"Legerova, Prague - Vinohrady",1 bedroom,30 m²,"CZK 12,475",Furnished,2,No,No,No,No,No,Yes,No,15. 05. 2022,22,463,81,96,72,158,361,436,384,451,,,,,,,,,,,,,,,,,
