Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Age,Heating,Total number of floors,PENB,Design,Renovation,Developer name,Project name,Kód jednotky,Front garden,Administration fee,Investment Advisor
716961,"CZK 18,675",50.0667869,14.4553047,"Sportovní, Prague - Vršovice",1 bedroom with open-plan kitchen,45 m²,"CZK 6,225",Furnished,2,No,Yes,No,No,No,No,No,03. 07. 2022,79,38,77,287,79,287,384,531,326,376,,,,,,,,,,,,,,,,,
611162,"CZK 16,000",50.030212,14.364044,"Kováříkova, Prague - Hlubočepy",1 bedroom with open-plan kitchen,53 m²,"CZK 3,800",Partially furnished,2,No,Yes,No,No,No,Yes,No,01. 06. 2022,380,"1,101",366,"1,082",244,"1,143",471,586,796,326,Excellent,"CZK 16,000",Personal,Brick building,Yes,1 to 10 years years,District heating,Middle floor,D,,,,,,,,
494735,"CZK 17,500",50.1155396,14.5633862,"Farkašova, Prague - Kyje",2 bedroom with open-plan kitchen,63 m²,"CZK 4,350",Furnished,2,Yes,No,No,No,No,No,No,01. 07. 2022,204,910,685,"1,279","1,219",697,,,,,New build,"CZK 20,000",Personal,Prefab concrete building,,1 to 10 years years,District heating,Middle floor,C,Premium materials and solutions,,,,,,,
668117,"CZK 13,700",50.05742,14.28128,"Prušánecká, Prague - Zličín",Studio,33 m²,"CZK 2,800",Furnished,1,Yes,No,No,No,No,No,No,03. 05. 2022,308,988,913,842,927,967,316,"1,189",133,,New build,"CZK 15,000",Personal,Brick building,,,,,C,,,,,,,,
716333,"CZK 45,000",50.0931,14.36735,"Nový lesík, Prague - Střešovice",5 bedroom,170 m²,"CZK 5,000",Partially furnished,2,Yes,Yes,Yes,No,No,No,Yes,01. 05. 2022,266,928,710,"1,132",274,883,879,"1,234",325,288,Good,"CZK 50,000",Personal,Brick building,,,,,G,,,,,,,,
713487,"CZK 39,971",50.0877117,14.4091678,"U Lužického semináře, Prague - Malá Strana",2 bedroom,56 m²,"CZK 13,324",Furnished,1,No,Yes,No,No,No,No,No,03. 06. 2022,337,356,19,335,43,634,392,362,865,215,,,,,,,,,,,,,,,,,
601295,"CZK 17,800",50.023226,14.511166,"Zdiměřická, Prague - Chodov",1 bedroom with open-plan kitchen,64 m²,"CZK 3,500",Partially furnished,8,Yes,No,No,No,No,Yes,No,01. 06. 2022,326,"1,289",222,595,221,296,844,181,,,Excellent,"CZK 35,000",Personal,Prefab concrete building,,1 to 10 years years,District heating,Top floor,D,Premium materials and solutions,Overall,,,,,,
713523,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,29. 05. 2022,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,,,,,,
713475,"CZK 32,250",50.0717643,14.4385436,"Americká, Prague - Vinohrady",Studio,27 m²,"CZK 10,750",Furnished,4,No,No,No,No,No,Yes,No,16. 05. 2022,272,322,70,607,60,509,83,250,792,565,,,,,,,,,,,,,,,,,
191403,"CZK 12,500",50.0831332,14.4493023,"Bořivojova, Prague - Žižkov",1 bedroom,35 m²,"CZK 2,700",Furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,364,198,40,225,81,202,206,314,358,577,,"CZK 16,000",Personal,Brick building,,,,,,Standard materials and solutions,,,,,,,
505339,"CZK 12,500",50.0969546,14.4652086,Prague - Karlín,Small studio,28 m²,"CZK 3,000",Partially furnished,5,No,Yes,Yes,No,No,Yes,No,09. 05. 2022,108,"1,177",92,"1,032",226,771,442,685,901,149,,"CZK 15,000",Personal,Other,,,District heating,,,,,,,,,,
716322,"CZK 16,500",50.10325,14.50045,"Na Harfě, Prague - Vysočany",1 bedroom with open-plan kitchen,57 m²,"CZK 4,500",Partially furnished,4,Yes,No,No,No,Yes,Yes,No,15. 07. 2022,368,"1,126",301,531,354,432,401,891,936,619,Excellent,"CZK 30,000",Personal,Other,,,,,G,,,,,,,,
611061,"CZK 16,000",50.074347,14.438075,"Francouzská, Prague - Vinohrady",1 bedroom with open-plan kitchen,60 m²,"CZK 3,498",Partially furnished,5,No,Yes,No,No,No,Yes,No,01. 06. 2022,82,327,32,313,18,259,195,372,740,636,Excellent,"CZK 16,000",Personal,Brick building,,,Central heating,Middle floor,C,,Overall,,,,,,
521475,"CZK 22,000",50.1065558,14.4528197,Prague - Holešovice,1 bedroom with open-plan kitchen,63 m²,"CZK 4,000",Furnished,2,Yes,No,No,No,No,Yes,Yes,ihned,241,602,35,415,68,370,375,870,182,131,New build,"CZK 26,000",Personal,Brick building,,1 to 10 years years,District heating,Middle floor,,Premium materials and solutions,,,,,,,
