Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Heating,Age,Design,Total number of floors,Renovation,New building,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
709620,"CZK 11,990",50.11624833333,14.46934333333,"Na stráži, Prague - Libeň",1 bedroom with open-plan kitchen,Good,49 m²,"CZK 1,339","CZK 13,327","CZK 13,327

                                
                                
                
i",Personal,Brick building,Unfurnished,2,No,No,No,No,No,No,No,E,108,956,19,"1,404",80,248,375,"1,113","1,094",443,,,,,,,,,,,,
670756,"CZK 13,500",50.09687,14.46518,"Molákova, Prague - Karlín",Studio,Excellent,28 m²,"CZK 2,500","CZK 20,000",,Personal,Prefab concrete building,Furnished,1,No,Yes,No,No,No,No,No,G,116,"1,185",101,"1,040",234,780,434,694,909,141,07. 05. 2022,,,,,,,,,,,
384014,"CZK 14,500",50.0624402,14.4490808,"ulice Kloboučnická, Prague - Nusle",1 bedroom with open-plan kitchen,,45 m²,"CZK 2,600","CZK 20,000",,Personal,Brick building,Furnished,5,No,No,Yes,No,No,Yes,No,,250,901,344,544,248,651,572,405,884,462,01. 06. 2022,Gas boiler,,,,,,,,,,
683613,"CZK 16,000",50.01222,14.63183,"K Říčanům, Prague - Kolovraty",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 1,500","CZK 32,000",,Personal,Brick building,Furnished,3,Yes,No,Yes,No,Yes,Yes,No,C,63,330,700,634,801,672,395,"1,026",424,,01. 06. 2022,,1 to 10 years years,Standard materials and solutions,,,,,,,,
361523,"CZK 12,000",50.1390794,14.5127743,"Stará náves, Prague - Letňany",Studio,Excellent,35 m²,"CZK 3,500","CZK 16,000",,Cooperative,Brick building,Furnished,2,Yes,No,No,No,No,No,No,,404,397,572,851,300,348,458,750,708,159,01. 06. 2022,,10 to 30 years years,Standard materials and solutions,Middle floor,,,,,,,
717486,"CZK 7,500",50.09231,14.49379,"Koněvova, Prague - Žižkov",Small studio,Good,20 m²,"CZK 1,500","CZK 15,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,C,168,216,120,525,269,238,372,408,636,167,01. 06. 2022,District heating,10 to 30 years years,Standard materials and solutions,Raised ground floor,Bathroom unit,,,,,,
717482,"CZK 16,500",50.0605,14.43398,"Žateckých, Prague - Nusle",2 bedroom with open-plan kitchen,Excellent,74 m²,"CZK 2,400",,,Personal,Brick building,Unfurnished,2,Yes,No,No,No,No,No,No,G,258,901,55,529,124,477,273,592,539,427,09. 05. 2022,,,,,,,,,,,
717479,"CZK 20,500",50.04779,14.4379,"Bartákova, Prague - Krč",2 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 6,500",,,Personal,Prefab concrete building,Unfurnished,3,No,No,Yes,Yes,No,Yes,No,C,252,415,234,487,210,490,369,510,242,135,15. 06. 2022,,,,,,,,,,,
448701,"CZK 16,000",50.0769189,14.4655804,"Slezská, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,500","CZK 32,000",,Personal,Brick building,Unfurnished,5,No,No,No,No,No,Yes,No,,146,326,187,433,176,400,100,720,144,121,23. 05. 2022,Gas boiler,,,,Interior,,,,,,
576447,"CZK 15,000",50.0582331,14.4521541,"Magistrů, Prague - Michle",Studio,New build,40 m²,"CZK 3,000","CZK 30,000",,Personal,Brick building,Furnished,1,No,No,No,No,Yes,Yes,No,B,260,631,391,300,42,983,184,518,385,394,01. 04. 2022,Central heating,1 to 10 years years,Standard materials and solutions,,Exterior,Yes,,,,,
545754,"CZK 16,500",50.0833811,14.4649759,"Olšanská, Prague - Žižkov",Studio,New build,42 m²,"CZK 2,500","CZK 30,000",,Personal,Low-energy building,Partially furnished,1,No,No,No,No,Yes,Yes,No,A,69,338,462,526,396,322,466,595,399,460,01. 06. 2022,District heating,1 to 10 years years,Premium materials and solutions,Middle floor,,Yes,,,,,
647743,"CZK 24,000",50.0814214,14.4299039,"Opletalova, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 3,900",,,Personal,Brick building,,6,No,Yes,No,No,Yes,Yes,No,G,322,273,32,180,43,69,245,976,163,571,31. 05. 2022,Central heating,,Premium materials and solutions,Top floor,Overall,,,,,,
