Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Heating,Total number of floors,New building,Front garden,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
717705,"CZK 41,250",50.0912734,14.4238585,"Haštalské náměstí, Prague - Staré Město",2 bedroom,50 m²,"CZK 13,750",Furnished,-1,No,Yes,No,No,No,No,No,26. 05. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717704,"CZK 37,500",50.0822245,14.4146349,"Krocínova, Prague - Staré Město",2 bedroom with open-plan kitchen,102 m²,"CZK 12,500",Furnished,2,Yes,Yes,No,No,No,Yes,No,17. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717703,"CZK 51,000",50.0903205,14.4200069,"Elišky Krásnohorské, Prague - Josefov",2 bedroom,110 m²,"CZK 17,000",Furnished,5,No,No,No,No,No,Yes,No,25. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717702,"CZK 25,110",50.0719498,14.4319499,"Koubkova, Prague - Nové Město",1 bedroom,39 m²,"CZK 8,370",Furnished,2,No,No,No,No,No,Yes,No,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717701,"CZK 39,000",50.0783085,14.4591283,"Sudoměřská, Prague - Žižkov",2 bedroom,55 m²,"CZK 13,000",Furnished,1,No,No,No,No,No,Yes,No,04. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717700,"CZK 41,438",50.077834,14.422878,"Příčná, Prague - Nové Město",Studio,26 m²,"CZK 13,812",Furnished,2,No,No,No,No,No,No,No,20. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717699,"CZK 21,000",50.1234603,14.456174,"Klapkova, Prague - Kobylisy",1 bedroom with open-plan kitchen,56 m²,"CZK 7,000",Furnished,3,No,No,No,No,No,No,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717698,"CZK 16,125",50.1138866,14.4798456,"U Pekařky, Prague - Libeň",Studio,30 m²,"CZK 5,375",Furnished,2,No,No,No,No,No,No,No,29. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717697,"CZK 18,750",50.108944,14.501028,"Freyova, Prague - Vysočany",Studio,25 m²,"CZK 6,250",Furnished,12,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717696,"CZK 14,614",50.086414,14.4459075,"Orebitská, Prague - Žižkov",Studio,15 m²,"CZK 4,871",Furnished,5,No,No,No,No,No,Yes,No,01. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717695,"CZK 29,413",50.0925135,14.4556107,"Šaldova, Prague - Karlín",1 bedroom,40 m²,"CZK 9,804",Furnished,2,No,Yes,No,No,No,Yes,No,09. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
717694,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,05. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
