Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Heating,Total number of floors,Renovation,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Administration fee,Front garden,Developer name,Project name,Kód jednotky,Investment Advisor
717947,"CZK 11,500",50.07177,14.46983,"28. pluku, Prague - Vršovice",1 bedroom,Good,43 m²,"CZK 2,950","CZK 11,500",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,31. 05. 2022,G,,,,,,,,,,,,,,,,,,,,,,
718018,"CZK 12,500",50.12242,14.48951,"Bílinská, Prague - Prosek",Studio,Excellent,27 m²,"CZK 3,800","CZK 15,000",Personal,Prefab concrete building,Partially furnished,7,No,No,No,Yes,No,Yes,No,16. 05. 2022,G,District heating,Top floor,Overall,434,765,194,703,477,405,283,282,444,215,,,,,,,,,
718017,"CZK 47,025",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,,64 m²,"CZK 15,675",,,,Furnished,3,Yes,Yes,No,No,No,Yes,No,09. 07. 2022,,,,,110,274,157,129,77,143,300,496,282,367,,,,,,,,,
414303,"CZK 26,000",50.0930962,14.4538949,"Křižíkova, Prague - Karlín",1 bedroom with open-plan kitchen,,58 m²,"CZK 6,000","CZK 40,000",Personal,Low-energy building,Furnished,6,Yes,No,Yes,No,Yes,Yes,Yes,15. 05. 2022,B,Central heating,Middle floor,,161,511,147,132,156,194,382,"1,191",193,466,Yes,1 to 10 years years,Premium materials and solutions,,,,,,
717977,"CZK 14,000",50.12689,14.40896,"Krynická, Prague - Troja",1 bedroom with open-plan kitchen,Excellent,49 m²,"CZK 4,500","CZK 28,000",Personal,Prefab concrete building,Partially furnished,5,No,No,Yes,Yes,No,Yes,No,01. 06. 2022,G,,,,413,757,296,692,585,549,444,124,297,,,,,,,,,,
282676,"CZK 15,000",50.0686763,14.3091212,"Žufanova, Prague - Řepy",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 3,000","CZK 25,000",Personal,Prefab concrete building,Furnished,4,No,No,No,No,No,Yes,No,10. 05. 2022,B,Central heating,,,227,598,447,816,474,336,342,438,"1,207",51,,,,,,,,,
717074,"CZK 19,000",50.06891,14.50447,"Nedvězská, Prague - Strašnice",2 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 7,000","CZK 40,000",Personal,Prefab concrete building,Partially furnished,4,No,No,No,No,No,Yes,No,04. 06. 2022,G,,,,303,459,"1,338",328,518,327,320,"1,252",158,,,,,,,,,,
717972,"CZK 14,600",50.04112,14.31989,"Holýšovská, Prague - Stodůlky",Studio,New build,28 m²,"CZK 2,500","CZK 25,000",Personal,Brick building,Furnished,4,Yes,No,No,No,No,No,No,01. 06. 2022,A,,,,334,989,650,621,895,685,322,744,564,207,,,,,,,,,
717970,"CZK 19,000",50.13535,14.54158,"Toužimská, Prague - Kbely",2 bedroom with open-plan kitchen,Excellent,67 m²,"CZK 7,500","CZK 38,000",Personal,Brick building,Partially furnished,3,No,Yes,Yes,No,Yes,Yes,Yes,01. 06. 2022,G,,,,137,655,774,675,908,547,547,565,806,,,,,,,,,,
717969,"CZK 42,000",50.0782991,14.4323831,"Rubešova, Prague - Vinohrady",1 bedroom with open-plan kitchen,,70 m²,"CZK 14,000",,,,Furnished,6,No,No,No,No,No,Yes,Yes,29. 05. 2022,,,,,131,427,168,223,133,95,601,601,417,570,,,,,,,,,
