Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,New building,Design,Heating,Total number of floors,Renovation,Administration fee,Age,Developer name,Project name,Kód jednotky,Front garden,Investment Advisor
717699,"CZK 21,000",50.1234603,14.456174,"Klapkova, Prague - Kobylisy",1 bedroom with open-plan kitchen,56 m²,"CZK 7,000",Furnished,3,No,No,No,No,No,No,No,01. 07. 2022,69,650,120,98,122,196,92,456,836,528,,,,,,,,,,,,,,,,,
717681,"CZK 29,664",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",Studio,51 m²,"CZK 9,888",Furnished,5,Yes,No,No,No,No,Yes,Yes,09. 06. 2022,81,251,125,181,24,205,369,"1,216",241,212,,,,,,,,,,,,,,,,,
717676,"CZK 30,096",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",Studio,40 m²,"CZK 10,032",Furnished,6,Yes,Yes,No,No,No,Yes,Yes,03. 06. 2022,81,251,125,181,24,205,369,"1,216",241,212,,,,,,,,,,,,,,,,,
717662,"CZK 86,625",50.0882058,14.4262315,"Rybná, Prague - Staré Město",3 bedroom with open-plan kitchen,150 m²,"CZK 28,875",Furnished,4,No,No,No,No,No,No,No,11. 06. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,,
717644,"CZK 43,500",50.0723321,14.4399493,"Jana Masaryka, Prague - Vinohrady",2 bedroom,82 m²,"CZK 14,500",Furnished,3,No,No,No,No,No,Yes,No,01. 07. 2022,155,369,147,651,45,545,205,328,671,484,,,,,,,,,,,,,,,,,
717626,"CZK 22,493",50.1013638,14.4546402,"V Háji, Prague - Holešovice",Studio,30 m²,"CZK 7,497",Furnished,3,No,No,No,No,No,Yes,Yes,01. 07. 2022,236,686,234,408,154,248,547,510,133,319,,,,,,,,,,,,,,,,,
717598,"CZK 29,700",50.0778888,14.4403889,"Mánesova, Prague - Vinohrady",Studio,60 m²,"CZK 9,900",Furnished,7,No,No,No,No,No,Yes,No,01. 07. 2022,229,544,212,97,87,308,108,378,237,578,,,,,,,,,,,,,,,,,
718531,"CZK 53,510",50.0824664,14.4140344,"Divadelní, Prague - Staré Město",4 bedroom,110 m²,"CZK 17,836",Furnished,7,No,Yes,No,No,No,Yes,No,13. 07. 2022,260,938,207,294,98,143,489,445,401,362,,,,,,,,,,,,,,,,,
717804,"CZK 33,000",50.05311,14.39944,"Tetínská, Prague - Radlice",2 bedroom with open-plan kitchen,71 m²,"CZK 4,000",Furnished,1,No,Yes,Yes,No,No,Yes,Yes,01. 08. 2022,250,"1,303",844,"1,220",833,"1,406",925,919,868,,New build,"CZK 33,000",Personal,Brick building,B,,,,,,,,,,,,
717796,"CZK 17,500",50.0124216,14.4017606,"Vrátnická, Prague - Modřany",1 bedroom with open-plan kitchen,53 m²,"CZK 3,800",Partially furnished,5,Yes,No,Yes,No,Yes,Yes,Yes,09. 05. 2022,79,953,290,"1,197",615,"1,258","1,259",537,,,New build,"CZK 40,000",Personal,Low-energy building,B,Yes,Premium materials and solutions,Central heating,,,,,,,,,
718149,"CZK 15,500",50.08464,14.36294,"Patočkova, Prague - Břevnov",2 bedroom,51 m²,"CZK 4,000",Partially furnished,3,No,No,Yes,No,Yes,No,No,01. 07. 2022,146,139,210,233,263,229,276,627,230,494,Excellent,"CZK 30,000",Personal,Brick building,G,,,District heating,Middle floor,Interior,,,,,,,
718506,"CZK 14,000",50.13845,14.42821,"Vánková, Prague - Čimice",1 bedroom with open-plan kitchen,58 m²,"CZK 5,000",Partially furnished,5,Yes,No,Yes,No,Yes,Yes,No,01. 06. 2022,217,647,534,330,630,642,594,"1,335",36,,New build,"CZK 20,000",Personal,Prefab concrete building,B,,Premium materials and solutions,District heating,,,,,,,,,
711888,"CZK 20,500",50.064779,14.5525555,"Františka Jansy, Prague - Dolní Měcholupy",2 bedroom with open-plan kitchen,84 m²,"CZK 4,500",Unfurnished,4,No,No,No,Yes,No,Yes,Yes,14. 05. 2022,150,845,468,387,639,"1,165",809,100,,,New build,"CZK 30,000",Cooperative,Brick building,B,Yes,,,,,,,,,,,
527854,"CZK 24,000",50.0714479,14.449111,"Krymská, Prague - Vršovice",2 bedroom with open-plan kitchen,80 m²,"CZK 3,140",Unfurnished,5,Yes,No,No,No,No,No,No,01. 06. 2022,192,729,198,304,139,563,246,531,248,369,,"CZK 24,000",Personal,Brick building,,,Premium materials and solutions,Central heating,Middle floor,Overall,,,,,,,
718505,"CZK 17,990",50.107299804688,14.526399612427,"Saarinenova, Prague - Hloubětín",1 bedroom with open-plan kitchen,50 m²,"CZK 2,675",,2,Yes,No,Yes,No,Yes,No,Yes,,263,"1,204",603,"1,185",867,"1,000","1,151",949,"1,076",334,New build,"CZK 20,665",Personal,Brick building,B,Yes,,,,,"CZK 20,665

                                
                                
                
i",,,,,,
718504,"CZK 17,000",50.1011,14.41888,"Korunovační, Prague - Bubeneč",1 bedroom with open-plan kitchen,41 m²,"CZK 2,000",Unfurnished,2,No,Yes,No,No,No,Yes,No,01. 06. 2022,138,351,185,230,17,436,106,186,211,,Excellent,"CZK 34,000",Personal,Low-energy building,A,,,,,,,,,,,,
357522,"CZK 15,000",50.0761854,14.4314938,"Vocelova, Prague - Vinohrady",2 bedroom,60 m²,"CZK 2,000",Partially furnished,1,No,No,No,No,No,No,No,01. 01. 1970,45,354,45,80,54,132,402,477,353,504,,"CZK 15,000",Personal,Brick building,,,Standard materials and solutions,Other,Middle floor,,,,,,,,
718394,"CZK 28,000",50.07433,14.43571,"Belgická, Prague - Vinohrady",3 bedroom,102 m²,"CZK 2,000",Partially furnished,4,No,No,No,No,No,Yes,No,13. 05. 2022,174,203,115,212,4,103,154,311,768,893,Excellent,"CZK 28,000",Personal,Brick building,G,,,,,,,,,,,,
