Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Heating,Total number of floors,Renovation,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
650378,"CZK 29,000",50.075118,14.458767,Prague - Vinohrady,1 bedroom with open-plan kitchen,New build,67 m²,"CZK 6,000","CZK 35,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,No,15. 02. 2021,B,100,582,99,321,142,484,393,300,742,353,,,,,,,,,,,,
717694,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,,"CZK 20,000",,,,Furnished,3,No,No,No,No,No,No,No,05. 06. 2022,,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,
717668,"CZK 37,058",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",2 bedroom,,88 m²,"CZK 12,352",,,,Furnished,5,No,No,No,No,No,Yes,Yes,01. 06. 2022,,81,251,125,181,24,205,369,"1,216",241,212,,,,,,,,,,,,
717649,"CZK 32,918",50.0876118,14.4080467,"Míšeňská, Prague - Malá Strana",Studio,,35 m²,"CZK 10,972",,,,Furnished,2,No,No,No,No,No,No,No,01. 07. 2022,,249,259,109,237,65,537,295,274,806,231,,,,,,,,,,,,
717637,"CZK 31,425",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,,30 m²,"CZK 10,475",,,,Furnished,2,No,No,No,No,No,Yes,No,01. 06. 2022,,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,
717623,"CZK 22,478",50.0830187,14.4654473,"Olšanská, Prague - Žižkov",Studio,,30 m²,"CZK 7,492",,,,Furnished,3,No,No,No,No,No,No,Yes,01. 07. 2022,,99,368,492,556,426,352,496,585,430,491,,,,,,,,,,,,
717603,"CZK 23,625",50.097327,14.4663608,"Nekvasilova, Prague - Karlín",1 bedroom with open-plan kitchen,,40 m²,"CZK 7,875",,,,Furnished,7,No,No,No,No,No,Yes,Yes,01. 07. 2022,,148,"1,069",121,"1,015",205,744,547,541,774,101,,,,,,,,,,,,
354812,"CZK 18,000",50.0859725,14.4409509,"Řehořova, Prague - Žižkov",2 bedroom,,60 m²,"CZK 2,500","CZK 30,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,
718595,"CZK 53,544",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",3 bedroom with open-plan kitchen,,160 m²,"CZK 17,848",,,,Furnished,6,No,Yes,No,No,No,Yes,Yes,01. 06. 2022,,,,,,,,,,,,,,,,,,,,,,,
718594,"CZK 33,750",50.0723321,14.4399493,"Jana Masaryka, Prague - Vinohrady",1 bedroom,,49 m²,"CZK 11,250",,,,Furnished,3,No,No,No,No,No,Yes,No,14. 07. 2022,,,,,,,,,,,,,,,,,,,,,,,
717972,"CZK 14,900",50.04112,14.31989,"Holýšovská, Prague - Stodůlky",Studio,New build,28 m²,"CZK 2,500","CZK 25,000",Personal,Brick building,Furnished,4,Yes,No,No,No,No,No,No,01. 06. 2022,A,334,989,650,621,895,685,322,744,564,207,,,,,,,,,,,,
718125,"CZK 26,925",50.0564738,14.5142373,"Švehlova, Prague - Záběhlice",1 bedroom with open-plan kitchen,,65 m²,"CZK 8,975",,,,Furnished,4,No,Yes,No,No,No,Yes,Yes,01. 07. 2022,,88,519,253,482,504,524,542,798,830,228,,,,,,,,,,,,
682537,"CZK 20,000",50.12858,14.44067,"Chotovická, Prague - Kobylisy",2 bedroom with open-plan kitchen,New build,70 m²,"CZK 6,000","CZK 50,000",Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,Yes,Yes,15. 05. 2022,G,453,853,667,"1,183",669,619,816,589,523,166,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,Interior,,,,,,,
718589,"CZK 15,000",50.10888,14.47254,"Zenklova, Prague - Libeň",1 bedroom,Excellent,40 m²,"CZK 4,000","CZK 15,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,15. 05. 2022,G,32,928,10,412,360,21,156,822,98,276,,,,,,,,,,,,
47085,"CZK 18,000",50.1344641,14.4676023,"Šimůnkova, Prague - Kobylisy",1 bedroom with open-plan kitchen,Excellent,68 m²,"CZK 4,000","CZK 25,000",Personal,Prefab concrete building,Furnished,6,No,Yes,No,No,No,Yes,No,01. 07. 2022,D,334,911,391,933,378,811,317,275,364,,1 to 10 years years,Standard materials and solutions,Gas boiler,Top floor,,,,,,,,
718581,"CZK 19,000",50.11066,14.4517,"Varhulíkové, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,70 m²,"CZK 3,500",,Personal,Other,Partially furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,01. 07. 2022,G,106,957,476,769,459,555,413,"1,232",686,354,,,,,,,,,,,,
717949,"CZK 20,000",50.09112,14.45175,"Pernerova, Prague - Karlín",1 bedroom with open-plan kitchen,New build,53 m²,"CZK 4,000",,Personal,Low-energy building,Partially furnished,2,No,No,Yes,No,No,Yes,Yes,01. 06. 2022,B,193,443,279,269,137,333,180,994,330,333,,,,,,,,,,,,
673365,"CZK 18,000",50.10855,14.52602,"Laponská, Prague - Hloubětín",1 bedroom with open-plan kitchen,New build,55 m²,"CZK 2,500","CZK 21,000",Personal,Low-energy building,Unfurnished,6,Yes,No,No,No,Yes,Yes,Yes,01. 06. 2022,B,273,"1,313",712,"1,294",976,"1,109","1,220","1,024","1,177",517,1 to 10 years years,,,,,,,,,,,
715328,"CZK 13,500",50.04276,14.49314,"Klapálkova, Prague - Chodov",Studio,New build,32 m²,"CZK 2,000","CZK 27,000",Personal,Brick building,Unfurnished,1,Yes,No,No,No,No,Yes,No,01. 06. 2022,G,33,832,168,877,517,"1,461",395,"1,201","1,083",262,,,,,,,,,,,,
376531,"CZK 18,000",50.0713399,14.4867799,Prague - Strašnice,1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 1,900","CZK 18,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,16. 05. 2022,C,46,774,390,514,130,77,432,612,408,328,,Standard materials and solutions,,Middle floor,Interior,,,,,,,
