Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Age,Heating,Total number of floors,PENB,Design,Renovation,Front garden,Developer name,Project name,Kód jednotky,Administration fee,Investment Advisor
717704,"CZK 37,500",50.0822245,14.4146349,"Krocínova, Prague - Staré Město",2 bedroom with open-plan kitchen,102 m²,"CZK 12,500",Furnished,2,Yes,Yes,No,No,No,Yes,No,17. 06. 2022,258,962,181,204,1,145,392,348,304,385,,,,,,,,,,,,,,,,,
717679,"CZK 30,956",50.0726658,14.3919787,"Grafická, Prague - Smíchov",1 bedroom with open-plan kitchen,46 m²,"CZK 10,318",Furnished,2,No,No,No,No,No,Yes,No,01. 07. 2022,185,"1,028",126,719,138,845,205,903,"1,057",128,,,,,,,,,,,,,,,,,
717606,"CZK 21,019",50.1033901,14.4020568,"U Zeměpisného ústavu, Prague - Bubeneč",Studio,28 m²,"CZK 7,006",Furnished,1,No,No,No,No,No,No,No,02. 07. 2022,192,792,137,285,93,475,243,337,508,82,,,,,,,,,,,,,,,,,
718686,"CZK 60,244",50.0906989,14.4202425,"Dušní, Prague - Josefov",3 bedroom,97 m²,"CZK 20,081",Furnished,3,Yes,No,No,No,No,No,No,15. 07. 2022,103,449,207,253,71,270,138,381,247,455,,,,,,,,,,,,,,,,,
718685,"CZK 53,550",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 17,850",Furnished,4,Yes,No,No,No,No,Yes,Yes,15. 07. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,,
611162,"CZK 16,000",50.030212,14.364044,"Kováříkova, Prague - Hlubočepy",1 bedroom with open-plan kitchen,53 m²,"CZK 3,800",Partially furnished,2,No,Yes,No,No,No,Yes,No,01. 06. 2022,380,"1,101",366,"1,082",244,"1,143",471,586,796,326,Excellent,"CZK 16,000",Personal,Brick building,Yes,1 to 10 years years,District heating,Middle floor,D,,,,,,,,
718683,"CZK 53,190",50.0894663,14.4240032,"Masná, Prague - Staré Město",Studio,65 m²,"CZK 17,730",Furnished,6,Yes,Yes,No,No,No,Yes,No,15. 07. 2022,62,263,122,95,13,113,64,46,150,138,,,,,,,,,,,,,,,,,
667423,"CZK 14,000",50.1323324,14.3677799,Prague - Suchdol,1 bedroom with open-plan kitchen,40 m²,"CZK 2,000",Furnished,1,No,No,No,No,Yes,Yes,No,01. 06. 2022,124,"1,148",634,783,681,"1,130","1,176","1,138","1,164",133,Excellent,"CZK 28,000",Personal,Brick building,,,,,A,,,,,,,,
184845,"CZK 16,500",50.1472098,14.5321309,"Rýnská, Prague - Čakovice",1 bedroom with open-plan kitchen,67 m²,"CZK 3,100",Partially furnished,3,Yes,No,Yes,No,Yes,Yes,Yes,01. 07. 2022,149,"1,196",589,823,530,"1,257",772,713,,,New build,"CZK 20,000",Personal,Brick building,Yes,1 to 10 years years,Central heating,Middle floor,B,Standard materials and solutions,,,,,,,
385690,"CZK 16,000",50.0444069,14.5181806,Prague - Hostivař,1 bedroom with open-plan kitchen,52 m²,"CZK 5,500",Furnished,5,Yes,No,Yes,No,Yes,Yes,Yes,01. 06. 2022,113,28,"1,492",75,86,872,252,966,178,,,"CZK 25,000",Personal,Brick building,,10 to 30 years years,District heating,Middle floor,B,,,,,,,,
530313,"CZK 12,500",50.05242745,14.315713639552,"Chalabalova, Prague - Stodůlky",1 bedroom with open-plan kitchen,35 m²,"CZK 3,500",Partially furnished,,No,No,No,No,No,No,No,22. 05. 2022,343,990,850,892,815,793,672,673,623,86,Excellent,"CZK 20,000",Personal,Prefab concrete building,,,Central heating,Ground floor,G,Standard materials and solutions,Interior,,,,,,
648837,"CZK 10,900",50.066802,14.367999,"Dubrovnická, Prague - Košíře",1 bedroom,30 m²,"CZK 3,000",Partially furnished,4,No,No,Yes,No,Yes,Yes,No,01. 06. 2022,523,867,344,676,530,587,557,"1,051",423,504,Excellent,"CZK 13,000",Cooperative,Prefab concrete building,,,,,F,,,,,,,,
719247,"CZK 16,300",50.12412,14.44052,"Písečná, Prague - Troja",2 bedroom,40 m²,"CZK 3,600",Unfurnished,3,No,No,No,No,No,No,No,21. 05. 2022,284,"1,322",69,920,301,251,424,295,380,160,Excellent,,Personal,Prefab concrete building,,,,,G,,,,,,,,
718076,"CZK 19,500",50.07623,14.48954,"Starostrašnická, Prague - Strašnice",2 bedroom with open-plan kitchen,63 m²,"CZK 3,000",Partially furnished,1,Yes,No,No,No,No,Yes,No,01. 06. 2022,48,306,17,69,74,215,212,667,729,257,Excellent,"CZK 39,000",Personal,Brick building,,,Gas boiler,Middle floor,E,,Overall,,,,,,
711643,"CZK 24,500",50.1010194,14.4039856,"Dr. Zikmunda Wintra, Prague - Bubeneč",2 bedroom,77 m²,"CZK 1,500",Unfurnished,5,No,No,No,No,No,No,No,Ihned,212,796,195,522,181,453,386,649,412,364,Excellent,"CZK 45,000",Personal,Brick building,,,,,G,Standard materials and solutions,,,,,,,
155706,"CZK 17,500",50.0846857,14.4473613,Prague - Žižkov,1 bedroom with open-plan kitchen,52 m²,"CZK 3,500",Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 09. 2020,210,206,12,233,26,227,145,48,306,527,,"CZK 25,000",Personal,Brick building,,,,,,,,,,,,,
719238,"CZK 15,000",50.10415,14.53457,"Hloubětínská, Prague - Hloubětín",1 bedroom with open-plan kitchen,55 m²,"CZK 4,000",Partially furnished,,No,No,No,No,No,No,No,25. 05. 2022,175,469,431,450,335,130,173,446,199,267,Good,"CZK 19,000",Personal,Brick building,,,,,G,,,,,,,,
719231,"CZK 20,000",50.07172,14.43395,"Šafaříkova, Prague - Vinohrady",1 bedroom with open-plan kitchen,44 m²,"CZK 1,500",Partially furnished,3,No,No,No,No,No,Yes,No,01. 06. 2022,126,248,82,257,35,330,266,178,746,829,Excellent,"CZK 35,000",Personal,Brick building,,,,,G,,,,,,,,
436864,"CZK 26,500",50.0708474,14.4421603,"Šmilovského, Prague - Vinohrady",2 bedroom with open-plan kitchen,110 m²,"CZK 1,000",Furnished,1,No,No,No,No,No,Yes,No,01. 07. 2022,387,596,166,834,124,800,440,109,584,265,,"CZK 25,500",Personal,Brick building,,,,,D,,,,,,,,
719229,"CZK 24,000",50.14237,14.57582,"Českodubská, Prague - Vinoř",3 bedroom with open-plan kitchen,93 m²,"CZK 6,000",Partially furnished,1,Yes,No,No,No,Yes,Yes,No,01. 06. 2022,324,465,929,396,912,808,624,474,133,,Excellent,"CZK 50,000",Personal,Brick building,,10 to 30 years years,District heating,Middle floor,D,Standard materials and solutions,,,,,,,
719228,"CZK 15,624",50.03254,14.52555,"Anežky Malé, Prague - Háje",1 bedroom with open-plan kitchen,42 m²,"CZK 2,356",Partially furnished,2,No,No,No,No,No,No,No,01. 06. 2022,215,658,316,349,140,205,257,311,277,149,Good,"CZK 30,000",Personal,Prefab concrete building,,,,,B,,,,,,,,
454993,"CZK 14,000",50.0462954,14.4431616,"Za Zelenou liškou, Prague - Krč",1 bedroom with open-plan kitchen,50 m²,"CZK 2,000",Partially furnished,2,No,No,Yes,No,No,No,No,,315,480,146,303,120,260,235,545,654,284,Excellent,"CZK 28,000",Personal,Brick building,,,Gas boiler,Middle floor,B,Standard materials and solutions,Interior,,,,,,
25538,"CZK 10,000",50.12683,14.46463,"Kyselova, Prague - Kobylisy",Small studio,25 m²,"CZK 4,500",Partially furnished,11,No,No,No,No,Yes,Yes,No,25. 05. 2022,269,510,258,278,243,472,163,205,823,210,Excellent,"CZK 14,500",Personal,Prefab concrete building,,30 to 50 years years,District heating,Middle floor,A,Standard materials and solutions,Interior,,,,,,
719222,"CZK 18,000",50.0460324,14.3076886,"Klementova, Prague - Stodůlky",1 bedroom with open-plan kitchen,62 m²,"CZK 3,800",Furnished,6,No,No,Yes,Yes,Yes,Yes,Yes,30. 05. 2022,64,198,268,"1,279",192,713,810,416,576,351,New build,"CZK 43,600",Cooperative,Brick building,,,,,A,,,,,,,,
719070,"CZK 17,000",50.05672,14.44692,"U Družstva Život, Prague - Nusle",1 bedroom with open-plan kitchen,59 m²,"CZK 2,500",Unfurnished,2,No,No,Yes,No,No,No,No,22. 06. 2022,404,915,104,425,276,"1,003",305,222,885,264,Excellent,"CZK 17,000",Personal,Brick building,,,,,G,,,,,,,,
