Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Heating,Total number of floors,New building,Front garden,Administration fee,Renovation,Developer name,Project name,Kód jednotky,Investment Advisor
717704,"CZK 37,500",50.0822245,14.4146349,"Krocínova, Prague - Staré Město",2 bedroom with open-plan kitchen,102 m²,"CZK 12,500",Furnished,2,Yes,Yes,No,No,No,Yes,No,17. 06. 2022,258,962,181,204,1,145,392,348,304,385,,,,,,,,,,,,,,,,,
717703,"CZK 51,000",50.0903205,14.4200069,"Elišky Krásnohorské, Prague - Josefov",2 bedroom,110 m²,"CZK 17,000",Furnished,5,No,No,No,No,No,Yes,No,25. 06. 2022,110,373,218,256,23,273,141,384,214,476,,,,,,,,,,,,,,,,,
717679,"CZK 30,956",50.0726658,14.3919787,"Grafická, Prague - Smíchov",1 bedroom with open-plan kitchen,46 m²,"CZK 10,318",Furnished,2,No,No,No,No,No,Yes,No,01. 07. 2022,185,"1,028",126,719,138,845,205,903,"1,057",128,,,,,,,,,,,,,,,,,
717606,"CZK 21,019",50.1033901,14.4020568,"U Zeměpisného ústavu, Prague - Bubeneč",Studio,28 m²,"CZK 7,006",Furnished,1,No,No,No,No,No,No,No,02. 07. 2022,192,792,137,285,93,475,243,337,508,82,,,,,,,,,,,,,,,,,
718686,"CZK 60,244",50.0906989,14.4202425,"Dušní, Prague - Josefov",3 bedroom,97 m²,"CZK 20,081",Furnished,3,Yes,No,No,No,No,No,No,15. 07. 2022,103,449,207,253,71,270,138,381,247,455,,,,,,,,,,,,,,,,,
718685,"CZK 53,550",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 17,850",Furnished,4,Yes,No,No,No,No,Yes,Yes,15. 07. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,,
719140,"CZK 15,000",50.04829,14.30282,"Svitákova, Prague - Stodůlky",Studio,35 m²,"CZK 3,000",Partially furnished,4,No,Yes,No,No,No,No,Yes,01. 06. 2022,378,322,169,334,"1,107","1,075",702,863,43,,New build,"CZK 18,000",Cooperative,Brick building,C,,,,,,,,,,,,
709032,"CZK 21,000",50.04829,14.30282,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,52 m²,"CZK 4,500",Partially furnished,5,No,Yes,No,No,Yes,No,Yes,01. 06. 2022,378,322,169,334,"1,107","1,075",702,863,43,,New build,"CZK 27,500",Personal,Brick building,B,,,,,,,,,,,,
600532,"CZK 55,000",50.075681,14.408523,"Janáčkovo Nábřeží, Prague - Smíchov",4 bedroom,165 m²,"CZK 12,000",Partially furnished,6,No,Yes,No,No,No,Yes,No,11. 04. 2022,279,223,344,342,68,418,193,839,"1,059",309,Excellent,"CZK 60,000",Personal,Brick building,G,1 to 10 years years,Premium materials and solutions,Central heating,Top floor,,,,,,,,
710123,"CZK 39,000",50.07888,14.45376,"Velehradská, Prague - Vinohrady",4 bedroom with open-plan kitchen,130 m²,"CZK 3,000",,3,No,No,No,No,No,No,No,01. 04. 2022,362,243,112,186,75,454,329,497,916,191,Excellent,,,Brick building,F,,,,Middle floor,,,,,,,,
718999,"CZK 30,301",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",Studio,50 m²,"CZK 10,100",Furnished,5,Yes,Yes,No,No,No,Yes,Yes,17. 07. 2022,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,,,,,,
