Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Terrace,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Cellar,Lift,Balcony,Parking,Age,Reconstruction,Enclosed balcony,Designe,New-build,Administrative fee
"CZK 11,800","CZK 3,000","CZK 19,000",387420,Studio,6/20/2022,4,Brick,Central,30 m²,Fully furnished,Very good,Personal,C,1.0,638.17,1373.45,763.6,1355.0,925.58,915.62,1303.08,1370.47,767.17,112.47,"Nepelova, Prague - Hloubětín",50.106932,14.5220186,,,,,,,,,,
"CZK 15,000","CZK 3,000","CZK 32,000",723573,2+kk,6/24/2022,2,Prefab concrete,,40 m²,Fully furnished,Very good,,B,,438.13,828.0,311.88,644.23,497.97,555.26,525.24,638.77,394.42,472.03,Prague - Košíře,50.06671,14.36848,1.0,1.0,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 32,000",723569,2+kk,6/24/2022,5,Brick,,46 m²,Partly,Very good,,G,,301.04,577.84,314.87,328.54,262.78,263.1,893.12,734.26,88.14,166.47,Prague - Vysočany,50.11096,14.49502,1.0,1.0,,,,,,,,
"CZK 10,000","CZK 2,400","CZK 12,400",723567,2+kk,6/24/2022,1,Brick,,50 m²,Fully furnished,Very good,,G,,264.53,854.75,171.33,279.09,44.63,361.46,132.53,197.52,185.91,169.16,Prague - Nové Město,50.06921,14.41698,1.0,,1.0,1.0,,,,,,
"CZK 25,000","CZK 2,000","CZK 35,000",719684,4+kk,9/9/2022,2,Brick,Other,78 m²,Partly,Very good,Personal,D,,160.89,258.92,368.25,304.7,258.92,1609.52,460.54,731.21,1317.5,475.65,"Bělčická, Prague - Záběhlice",50.04671,14.48928,1.0,1.0,,,10 to 30 years,Complete,1.0,,,
"CZK 9,000",CZK 700,"CZK 9,000",723564,1 bedroom,6/24/2022,3,Brick,,38 m²,Unfurnished,Good,,G,,33.92,799.69,30.81,361.92,35.97,83.97,463.74,670.6,1076.34,360.69,Prague - Kobylisy,50.12212,14.45103,1.0,,,,,,,,,
"CZK 32,000","CZK 4,604","CZK 64,000",670095,3+1,8/1/2022,3,Brick,,88 m²,Unfurnished,Very good,Personal,A,,326.83,559.26,229.76,287.65,32.07,621.57,339.36,1277.0,241.42,262.56,"Nad Královskou oborou, Prague - Bubeneč",50.1030121,14.4187433,1.0,1.0,,,,,,,,
"CZK 11,500","CZK 4,500","CZK 11,500",723561,2+kk,6/24/2022,2,Prefab concrete,,45 m²,Partly,Good,,G,,410.15,2655.26,2394.61,2603.18,2341.64,2382.87,2137.15,2232.44,2852.73,2004.31,Prague - Horní Počernice,50.0986,14.62165,1.0,1.0,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 32,000",318565,1 bedroom,6/27/2022,10,Prefab concrete,Distance,30 m²,Partly,Good,Personal,,,154.38,211.74,212.73,865.38,296.41,304.04,322.47,305.47,664.58,152.36,"Kahovská, Prague - Chodov",50.0340795,14.5013287,,1.0,,,30 - 50 years,Complete,,Standard,,
"CZK 10,000","CZK 3,000","CZK 14,200",672615,Studio,7/16/2021,4,Brick,Electric boiler,31 m²,Partly,Good,Personal,G,,88.02,414.08,105.59,87.74,96.38,153.43,341.47,416.0,296.3,442.93,"Legerova, Prague - Vinohrady",50.07604,14.43068,,,,,Over 50 years,,,Standard,,
"CZK 16,000","CZK 4,000","CZK 32,000",721969,Studio,8/1/2022,4,Brick,,32 m²,Partly,New-build,Personal,B,,169.25,382.25,330.11,1343.4,342.21,444.17,980.06,181.31,1465.04,227.22,Prague - Jinonice,50.0583,14.37281,,1.0,1.0,1.0,,,,,1.0,
