Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Reconstruction,Condition,Ownership,EPC,Heating,Designe,Cellar,Balcony,Parking,Terrace,Garage,New-build,Enclosed balcony,Administrative fee,Plot space,Plot type,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 33,150","CZK 11,050",717689,2 bedroom,7/2/2022,65 m²,Fully furnished,4,1.0,167.88,319.4,98.79,226.57,101.05,409.22,227.05,243.11,631.69,429.01,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 3,700",713312,2+kk,5/1/2022,65 m²,Partly,2,,382.88,732.09,635.85,2859.89,570.67,596.02,429.85,429.85,251.5,494.81,Prague - Vinoř,50.1437811339,14.577235101644,"CZK 16,000",Brick,Up to 10 years,Complete,Very good,Personal,B,Electric boiler,Luxurious,,,,,,,,,,,
"CZK 14,925","CZK 4,975",723216,Studio,8/21/2022,28 m²,Fully furnished,4,,127.05,652.35,121.92,516.23,73.91,571.93,298.88,292.12,303.56,229.05,"Kozácká, Prague - Vršovice",50.0710265,14.4467659,,,,,,,,,,,,,,,,,,,,
"CZK 45,000","CZK 15,000",723086,2+kk,8/20/2022,70 m²,Fully furnished,4,1.0,285.3,547.87,69.97,206.93,9.84,222.16,245.36,617.77,369.53,523.86,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,,,,,,,,,,,,,,,,,,,,
"CZK 26,250","CZK 8,750",719202,2+kk,6/30/2022,46 m²,Fully furnished,3,,99.77,437.38,81.67,124.22,1.06,339.84,530.75,1037.92,1232.16,690.83,"Lidická, Prague - Smíchov",50.0723918,14.4059555,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",724080,1 bedroom,8/28/2022,43 m²,Fully furnished,4,1.0,276.64,299.92,82.85,597.17,63.3,447.09,45.77,62.13,794.8,565.99,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,,,,,,,,
"CZK 32,250","CZK 10,750",724079,Studio,8/28/2022,27 m²,Fully furnished,4,1.0,275.28,321.52,72.5,617.26,60.27,467.19,25.57,60.76,793.43,562.96,"Americká, Prague - Vinohrady",50.0717643,14.4385436,,,,,,,,,,,,,,,,,,,,
"CZK 29,850","CZK 9,950",724078,2+kk,8/28/2022,50 m²,Fully furnished,3,1.0,75.01,890.63,40.68,622.44,47.2,145.83,371.43,242.4,512.42,352.71,"Kubelíkova, Prague - Žižkov",50.0815843,14.4461973,,,,,,,,,,,,,,,,,,,,
"CZK 17,500","CZK 2,800",681260,2+kk,6/1/2022,45 m²,Partly,2,,283.45,1079.0,242.03,721.57,92.14,776.06,298.44,402.35,822.05,277.38,Prague - Podolí,50.04714,14.42878,"CZK 20,000",Brick,,,Very good,Personal,D,Electric boiler,,,,,,,,,,,,
"CZK 16,125","CZK 5,375",724076,Studio,8/9/2022,30 m²,Fully furnished,2,,185.09,1643.88,178.27,1325.97,325.36,965.21,1135.22,970.71,218.02,273.93,"U Pekařky, Prague - Libeň",50.1138866,14.4798456,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 7,900",723391,3+kk,8/1/2022,88 m²,Unfurnished,1,1.0,375.59,111.77,112.3,401.73,23.31,218.97,42.14,863.05,40.14,553.19,Prague - Nové Město,50.08277,14.42981,"CZK 54,000",Brick,,,Very good,,G,,,1.0,,,,,,,,,,
"CZK 18,700","CZK 2,900",565995,2 bedroom,7/1/2022,69 m²,Partly,1,,342.73,432.96,227.25,301.09,138.03,518.12,221.99,1180.13,377.46,192.95,"Čechova, Prague - Bubeneč",50.1026435,14.4200905,"CZK 23,000",Brick,,,,Personal,,,,,1.0,,,,,,,,,
"CZK 9,000","CZK 11,000",370707,2 bedroom,7/1/2022,60 m²,Fully furnished,7,1.0,222.73,428.11,140.39,286.97,73.11,475.74,109.6,231.18,787.01,220.12,"Amurská, Prague - Vršovice",50.0695915,14.4736856,"CZK 30,000",Brick,,,,,,Central,,,,,,,,,,,,
"CZK 20,000","CZK 5,000",491571,1 bedroom,9/1/2022,33 m²,Fully furnished,3,1.0,140.45,542.55,237.77,487.34,96.72,447.63,220.9,338.34,295.84,596.42,"Jeronýmova, Prague - Žižkov",50.0862903,14.4481553,"CZK 20,000",Brick,,,Very good,Personal,D,Electric boiler,,,,,,,,,,,,
"CZK 14,000","CZK 6,000",463113,2+kk,8/1/2022,54 m²,Fully furnished,1,,171.25,1043.37,80.56,702.59,108.93,412.18,111.41,281.32,272.46,85.69,"Kovářská, Prague - Libeň",50.1064486,14.4907536,"CZK 35,000",Brick,,,,Personal,C,,,1.0,,,,,,,,,,
"CZK 12,500","CZK 3,500",724059,Studio,7/1/2022,33 m²,Partly,11,,454.04,809.88,434.66,484.42,353.37,771.43,492.68,609.29,683.92,296.54,Prague - Vysočany,50.10533,14.50202,"CZK 25,000",Other,,,Very good,,B,,,,1.0,1.0,,,,,,,,
"CZK 12,000","CZK 5,250",323181,3+kk,7/1/2022,42 m²,Partly,6,1.0,104.5,1177.98,93.63,1019.98,48.23,771.54,441.43,776.65,918.7,151.81,"Molákova, Prague - Karlín",50.096952,14.4652,"CZK 34,500",Other,,,Good,Personal,,Central,,1.0,,,,,,,,,,
"CZK 14,900","CZK 3,400",724062,2+kk,7/13/2022,43 m²,Partly,1,1.0,254.06,864.35,218.01,406.78,225.5,360.35,321.78,218.96,1570.1,242.63,Prague - Stodůlky,50.04902,14.3506,"CZK 14,900",Prefab concrete,,,Very good,,C,,,1.0,,,,,,,,,,
"CZK 15,000","CZK 4,000",724060,2+kk,7/1/2022,51 m²,Fully furnished,2,,87.46,291.02,164.85,573.95,23.76,280.13,390.41,427.27,175.63,261.32,Prague - Žižkov,50.08749,14.4538,"CZK 15,000",Brick,,,Good,,G,,,1.0,1.0,,,,,,,,,
"CZK 17,500","CZK 2,500",722130,Studio,8/1/2022,39 m²,Fully furnished,3,1.0,154.39,171.39,5.24,269.3,5.89,292.96,246.08,1265.83,368.36,131.71,Prague - Karlín,50.09198,14.44936,"CZK 15,000",Brick,,,Very good,,C,Electric boiler,,,,,,,,,,,,
"CZK 17,000","CZK 4,000",490469,2+kk,7/1/2022,51 m²,Fully furnished,10,,122.09,998.01,184.8,963.19,404.82,631.38,930.83,696.17,358.52,556.25,Prague - Stodůlky,50.0532685,14.3317855,"CZK 17,000",Brick,Up to 10 years,,,Personal,,,Standard,1.0,,,1.0,1.0,,,,,,
"CZK 14,500","CZK 3,200",108844,2+kk,7/6/2022,45 m²,Partly,3,,176.84,1101.95,200.6,1043.54,326.68,736.91,634.46,859.96,362.32,311.58,"Záběhlická, Prague - Záběhlice",50.05346,14.48892,"CZK 25,000",Brick,10 to 30 years,,,Personal,,Distance,Standard,,,,,,1.0,,,,,
"CZK 18,000","CZK 3,300",720065,Studio,5/27/2022,28 m²,Unfurnished,5,1.0,185.24,329.01,194.37,186.19,90.06,377.21,518.65,520.95,413.15,566.37,Prague - Vinohrady,50.07794,14.43242,"CZK 36,000",Brick,,,Very good,,D,,,,,,,,,,,,,
"CZK 18,000","CZK 1,000",718211,2+kk,6/1/2022,44 m²,Partly,3,1.0,200.88,390.19,174.18,334.98,112.41,295.27,41.14,350.39,39.16,535.77,"Dalimilova, Prague - Žižkov",50.08602,14.45007,"CZK 20,000",Brick,10 to 30 years,Complete,Very good,Personal,B,,Standard,,,,,,,,,,,
"CZK 26,000","CZK 4,000",724051,2+kk,7/15/2022,67 m²,Partly,2,1.0,373.83,1098.13,908.55,1934.22,807.19,1821.86,588.6,1794.2,492.45,918.39,Prague - Hrdlořezy,50.09171,14.52037,"CZK 60,000",Low-energy,Up to 10 years,Complete,New-build,Personal,B,Central,,1.0,,1.0,1.0,1.0,1.0,,,,,
"CZK 21,000","CZK 5,000",513486,2+kk,6/10/2022,52 m²,Fully furnished,2,,236.23,92.57,126.85,267.08,62.02,114.47,24.93,209.25,822.63,867.22,"Belgická, Prague - Vinohrady",50.0734259,14.4356742,"CZK 26,000",Brick,,Complete,,Cooperative,,Electric boiler,,,,,,,,,,,,
"CZK 19,900","CZK 2,151",723443,2+kk,6/23/2022,48 m²,Fully furnished,4,1.0,255.94,1086.12,210.61,1032.3,212.19,842.0,542.24,582.92,810.18,149.22,Prague - Karlín,50.09668,14.46726,"CZK 39,800",Prefab concrete,,,Very good,,G,,,,,,,,,1.0,,,,
"CZK 15,000","CZK 3,500",724043,Studio,7/1/2022,40 m²,Partly,2,1.0,164.07,1595.57,526.38,1270.11,670.42,579.01,417.83,1251.1,1107.75,499.59,Prague - Vysočany,50.10284,14.51,"CZK 30,000",Other,,,New-build,,B,,,,,1.0,,1.0,1.0,1.0,,,,
"CZK 25,000","CZK 7,087",662434,3+kk,8/1/2022,68 m²,Fully furnished,4,,180.38,1139.18,834.07,1380.23,595.41,824.12,1035.0,974.6,1315.1,301.71,"Ve Studeném, Prague - Braník",50.03086,14.42046,"CZK 35,000",Brick,Up to 10 years,Complete,New-build,Personal,E,Central,Luxurious,,,1.0,,1.0,,1.0,,,,
"CZK 25,000","CZK 6,500",443057,3+kk,8/1/2022,68 m²,Fully furnished,5,1.0,322.53,458.92,300.29,485.87,265.43,360.84,370.67,553.6,711.95,373.27,"Radlická, Prague - Smíchov",50.066358,14.4027444,"CZK 25,000",Brick,,,,Personal,,Central,,1.0,,,,,,,,,,
"CZK 10,000","CZK 1,650",723997,2+kk,7/1/2022,45 m²,Unfurnished,10,1.0,106.66,360.33,195.13,367.66,407.69,363.25,686.38,346.15,770.92,341.21,Prague - Lhotka,50.0228,14.43849,"CZK 10,000",Prefab concrete,,,Very good,Cooperative,G,Central,,1.0,,,,,,,,,,
"CZK 19,000","CZK 4,000",577465,2+kk,9/12/2022,54 m²,Fully furnished,2,,215.92,1028.43,112.45,206.36,186.07,125.43,594.28,371.57,355.19,379.38,"Viktorinova, Prague - Nusle",50.0589996,14.4325461,"CZK 20,000",Brick,Over 50 years,Complete,Very good,Personal,,,,1.0,,,,,,,,,,
"CZK 25,000","CZK 3,000",723730,3+1,6/26/2022,70 m²,Fully furnished,2,1.0,119.72,264.42,0.52,44.61,32.33,269.28,212.74,303.96,651.77,410.91,Prague - Nové Město,50.07743,14.41925,"CZK 25,000",Brick,Over 50 years,,Good,,G,Distance,Standard,,,,,,,,,,,
"CZK 21,990","CZK 3,251",724025,3+1,6/29/2022,76 m²,Partly,5,1.0,159.38,993.4,143.29,196.43,179.28,303.34,90.64,577.52,517.88,687.24,"Antonínská, Prague - Holešovice",50.09932,14.43615361111,"CZK 25,241",Brick,,,Good,Personal,G,,,,1.0,,,,,,"CZK 25,241",,,
"CZK 16,000",CZK 700,724016,1 bedroom,6/28/2022,50 m²,Partly,2,,80.24,942.02,462.59,260.57,378.99,677.81,792.61,179.3,1528.7,215.97,Prague - Horní Počernice,50.11695,14.623,"CZK 32,000",Brick,,,Very good,,G,,,1.0,,,,,,,,,,
"CZK 33,000","CZK 5,000",688751,4+1,7/1/2022,115 m²,Partly,2,1.0,213.54,743.4,213.98,766.79,497.92,675.26,347.96,342.97,1114.7,127.13,"Společná, Prague - Libeň",50.12421,14.47491,"CZK 45,000",Other,,,New-build,Personal,C,,,,1.0,1.0,,1.0,,,,,,
"CZK 8,500","CZK 2,000",724012,Studio,6/28/2022,28 m²,Fully furnished,1,,58.73,1799.18,1113.03,1558.04,165.82,1356.87,804.68,1418.02,1136.94,804.01,Prague - Modřany,50.01426,14.4026,"CZK 8,500",Brick,,,Good,,G,,,,,1.0,,,,,,,,
"CZK 17,500","CZK 4,500",547911,2 bedroom,6/16/2022,76 m²,Partly,2,,229.21,1709.73,928.58,4038.68,765.72,722.16,717.47,2779.47,2363.98,265.68,"K Mejtu, Prague - Písnice",49.9972626,14.4657155,"CZK 22,000",Brick,Up to 10 years,Complete,New-build,Personal,B,,,,1.0,1.0,,,1.0,1.0,,,,
"CZK 22,000","CZK 2,470",720439,2+kk,8/1/2022,49 m²,Unfurnished,1,,,,,,,,,,,,Prague - Vršovice,50.0703,14.44855,"CZK 73,410",Brick,,,Very good,,E,,,1.0,,,1.0,,,,,,,
"CZK 20,000","CZK 7,500",682305,3+1,8/1/2022,70 m²,Partly,1,1.0,160.83,760.81,114.54,503.84,60.83,7.1,68.23,347.03,349.91,272.92,"Bělohorská, Prague - Břevnov",50.08447,14.37427,"CZK 20,000",Brick,,Interior,Very good,Personal,G,Central,Standard,,,,,,,,,,,
"CZK 16,000","CZK 3,500",723398,2 bedroom,6/28/2022,50 m²,Partly,1,,487.31,1604.25,485.75,664.21,351.84,606.54,288.34,615.21,498.12,415.72,Prague - Vokovice,50.09699,14.34154,"CZK 32,000",Brick,,,Very good,Personal,G,Central,,,,,,,,1.0,,,,
"CZK 23,900",CZK 950,577288,2+kk,7/1/2022,60 m²,Fully furnished,6,1.0,184.01,142.82,5.8,325.89,135.94,425.24,130.98,356.18,84.86,98.76,"Drahobejlova, Prague - Libeň",50.1060756,14.4904958,"CZK 40,000",Brick,,,Very good,Personal,C,Gas boiler,,,1.0,,,,,,,,,
"CZK 19,794","CZK 1,999",723400,2 bedroom,6/23/2022,51 m²,Partly,5,,188.31,615.08,271.45,339.14,219.24,356.91,204.57,250.96,807.36,141.63,Prague - Břevnov,50.08664,14.34307,"CZK 40,000",Prefab concrete,,,Good,,B,,,1.0,1.0,,,,,,,,,
"CZK 12,500","CZK 3,500",724007,2 bedroom,7/1/2022,50 m²,Partly,7,1.0,389.25,774.13,323.7,739.31,727.09,294.3,706.95,822.24,966.06,553.44,Prague - Stodůlky,50.05252,14.33426,"CZK 20,000",Prefab concrete,,,Good,,F,,,,1.0,,,,,,,,,
"CZK 13,000","CZK 3,000",609037,Studio,6/25/2022,32 m²,Partly,4,,89.77,347.1,119.33,1395.27,216.3,418.27,1295.24,1397.87,617.95,948.34,"Moulíkova, Prague - Smíchov",50.060313,14.410178,"CZK 26,000",Brick,Up to 10 years,Complete,Very good,Personal,A,Electric boiler,Standard,,1.0,,,,,,,,,
"CZK 16,176","CZK 1,500",723394,2+kk,6/23/2022,50 m²,Partly,2,,71.45,802.62,424.65,591.95,96.44,447.01,690.37,567.38,1141.4,182.02,Prague - Strašnice,50.07804,14.50487,"CZK 40,000",Brick,,,Good,,C,,,1.0,1.0,,,,,,,,,
"CZK 13,000","CZK 2,000",723395,Studio,6/23/2022,23 m²,Fully furnished,7,1.0,121.42,420.03,387.56,418.84,334.41,424.07,642.99,839.12,674.11,130.72,Prague - Záběhlice,50.05567,14.51456,"CZK 30,000",Prefab concrete,,,Very good,Personal,C,,,1.0,,,,,,,,,,
"CZK 45,000","CZK 5,500",723393,4+kk,6/23/2022,119 m²,Unfurnished,1,,127.89,797.09,181.33,729.89,400.42,538.76,170.19,1154.09,552.92,158.3,Prague - Holešovice,50.11005,14.44738,"CZK 55,000",Low-energy,,,New-build,,B,,,,,,,,,1.0,,,,
"CZK 16,500","CZK 2,700",395879,1 bedroom,6/28/2022,55 m²,Partly,4,,414.62,447.6,104.19,396.51,39.24,649.93,283.75,526.39,985.4,328.3,"Velehradská, Prague - Vinohrady",50.0792768,14.453888,"CZK 17,000",Brick,,,,Personal,,Other,Standard,,,,,,,,,,,
"CZK 16,000","CZK 4,500",659673,3+1,8/1/2022,77 m²,Partly,2,,257.81,1357.38,102.59,1029.72,179.24,294.97,323.95,109.77,995.77,92.31,"Nedvězská, Prague - Strašnice",50.06685,14.49968,"CZK 20,000",Brick,,Interior,Very good,Personal,G,Central,Standard,1.0,,,,,,,,,,
"CZK 15,000","CZK 2,500",723903,2+kk,8/1/2022,45 m²,Fully furnished,1,1.0,75.49,951.99,829.18,2227.48,373.16,438.71,661.21,1599.7,1462.97,464.39,Prague - Krč,50.01986,14.46292,"CZK 15,000",Prefab concrete,,Bathroom unit,Good,,G,Central,Standard,1.0,,1.0,,,,,,,,
"CZK 15,500","CZK 2,400",330128,2+kk,8/31/2022,50 m²,Unfurnished,1,,255.31,501.77,459.42,715.23,218.51,523.94,431.76,479.05,374.11,261.13,"Na Balkáně, Prague - Žižkov",50.095259,14.4941569,"CZK 16,000",Brick,,Interior,Very good,Personal,B,Electric boiler,Standard,,,,,,,,,,,
"CZK 17,000","CZK 4,000",238023,2+kk,6/28/2022,35 m²,Fully furnished,2,1.0,51.46,118.07,81.91,92.62,0.78,79.82,159.64,283.27,261.16,311.55,"Benediktská, Prague - Staré Město",50.0902986,14.4271043,"CZK 21,000",Brick,,Complete,,Personal,,Distance,,,,,,,,,,,,
"CZK 10,500","CZK 3,000",700369,Small studio,6/26/2022,32 m²,Fully furnished,1,,322.39,639.79,367.14,1101.92,440.13,925.84,260.03,368.15,192.68,300.87,"U Šípků, Prague - Hlubočepy",50.0274402,14.3708399,"CZK 13,500",Other,,,Very good,Personal,B,,,,,,,,,,,,,
"CZK 14,000","CZK 2,500",193626,2+kk,6/28/2022,44 m²,,2,,150.83,840.69,199.64,1124.5,136.37,315.33,752.31,558.47,915.95,573.5,"Nad Koulkou, Prague - Smíchov",50.0604688,14.4014771,"CZK 28,000",Brick,,,,Personal,,Central,,,,,,,,,,,,
"CZK 8,500","CZK 1,200",25930,1 bedroom,8/1/2022,24 m²,Partly,-1,1.0,236.11,161.97,274.3,250.12,156.36,357.34,471.76,511.36,806.88,245.12,Prague - Košíře,50.0694717,14.3743535,"CZK 10,000",Brick,,,,Personal,,Electric boiler,,,,,,,,,,,,
"CZK 20,269","CZK 6,756",722729,2+kk,7/13/2022,35 m²,Fully furnished,4,,356.54,736.2,458.21,353.24,376.04,829.05,1040.15,326.58,1014.22,65.27,"Buštěhradská, Prague - Střešovice",50.0968441,14.3897247,,,,,,,,,,,,,,,,,,,,
"CZK 29,520","CZK 9,840",717600,2+kk,7/1/2022,39 m²,Fully furnished,3,,416.82,407.31,197.18,385.84,61.6,672.56,443.17,554.95,732.4,173.97,"Na Kampě, Prague - Malá Strana",50.0861053,14.4085409,,,,,,,,,,,,,,,,,,,,
"CZK 41,325","CZK 13,775",723983,2+kk,6/30/2022,67 m²,Fully furnished,4,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 28,688","CZK 9,562",723982,Studio,8/11/2022,40 m²,Fully furnished,2,,87.49,353.69,89.13,198.59,58.79,391.02,424.91,274.28,259.74,601.22,"Zborovská, Prague - Smíchov",50.0730353,14.4083714,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 35,000",CZK 0,723978,Studio,7/4/2022,25 m²,Fully furnished,1,,201.33,360.24,395.68,459.97,371.82,343.98,468.56,216.38,574.45,255.18,Prague - Petrovice,50.03894,14.55581,CZK 0,Brick,,,New-build,,G,,,,,1.0,,,,,,,,
"CZK 12,000","CZK 2,500",723976,Studio,8/1/2022,32 m²,Fully furnished,7,1.0,106.67,504.81,361.61,427.87,304.98,78.1,85.64,249.91,970.4,223.13,Prague - Řepy,50.06775,14.30736,"CZK 24,000",Prefab concrete,,,Very good,,G,,,1.0,,,,,,,,,,
"CZK 43,775","CZK 5,500",715590,3+kk,6/1/2022,113 m²,Unfurnished,4,1.0,54.41,721.72,20.35,63.58,98.99,37.75,186.97,1474.95,176.86,470.99,Prague - Holešovice,50.09912,14.43261,"CZK 87,550",Brick,,Complete,New-build,Personal,A,Central,,1.0,,,,,1.0,,,,,
"CZK 12,641","CZK 4,000",723970,2+kk,7/1/2022,45 m²,Partly,3,1.0,325.76,356.24,89.78,448.45,133.64,155.81,730.71,232.04,288.77,244.56,Prague - Chodov,50.02739,14.49074,"CZK 30,000",Prefab concrete,,,Very good,,G,,,1.0,,1.0,,,,,,,,
"CZK 20,000","CZK 4,260",471394,3+kk,5/15/2021,80 m²,Fully furnished,1,1.0,174.27,218.81,696.02,2744.18,416.34,1255.4,1846.39,2166.84,478.82,871.41,"U Výstavby, Prague - Dolní Měcholupy",50.0591813,14.555719,"CZK 50,000",Low-energy,10 to 30 years,,Very good,Personal,A,Other,Luxurious,1.0,1.0,1.0,,1.0,,,,,,
"CZK 8,600",CZK 0,639049,Small studio,10/15/2021,28 m²,Fully furnished,1,,113.5,515.79,231.46,3304.95,165.25,298.09,555.72,555.72,435.3,355.15,"Vrchlabská, Prague - Kbely",50.13147,14.547892,"CZK 8,600",Brick,,,Good,Personal,B,,,,,,,,,,,,,
"CZK 11,500","CZK 2,500",531211,Studio,6/28/2022,30 m²,Partly,5,1.0,66.71,1197.91,126.44,1371.44,511.55,131.45,1572.75,780.05,1117.13,107.84,Prague - Michle,50.0570587,14.4699898,"CZK 11,500",Brick,,Complete,Very good,Personal,C,Electric boiler,Standard,1.0,,,,,,,,,,
"CZK 19,000","CZK 5,000",723901,3+kk,8/1/2022,63 m²,Partly,3,1.0,97.71,670.83,294.57,406.52,253.47,347.24,316.35,355.27,974.58,160.76,Prague - Prosek,50.11924,14.49482,"CZK 19,000",Prefab concrete,,,Very good,Personal,C,Central,Standard,1.0,1.0,1.0,,,,,,,,
"CZK 17,000","CZK 4,500",721765,2+kk,7/1/2022,55 m²,Partly,4,,469.82,1002.94,516.83,1785.28,521.02,614.13,432.57,395.23,480.78,205.34,Prague - Libuš,50.01273,14.44535,"CZK 40,000",Brick,,,New-build,,G,,,,,,,,,,,,,
"CZK 17,500","CZK 3,500",518354,2+kk,5/9/2022,64 m²,Partly,6,1.0,471.55,695.26,480.23,988.38,348.24,998.45,608.59,688.37,418.25,394.37,"Rudolfa Antonína Dvorského, Prague - Horní Měcholupy",50.0441344,14.5511037,"CZK 35,000",Brick,10 to 30 years,,Very good,Personal,,Distance,Standard,1.0,1.0,,,1.0,,,,,,
"CZK 11,500",CZK 850,721831,Small studio,7/1/2022,25 m²,Partly,1,,352.94,1879.41,1051.27,1575.53,,843.31,127.48,1633.72,583.9,889.64,Prague - Košíře,50.07103,14.35706,"CZK 13,000",Brick,,,Good,,G,,,,,1.0,,,,,,,,
"CZK 27,000","CZK 3,000",723884,3+kk,6/30/2022,68 m²,Fully furnished,2,1.0,181.87,1408.66,55.3,979.08,153,539.26,274.37,720.09,348.91,137.94,Prague - Libeň,50.1132,14.47331,"CZK 50,000",Brick,,,New-build,,B,,,1.0,1.0,1.0,,,1.0,,,,,
"CZK 19,500","CZK 3,500",705090,Studio,7/1/2022,31 m²,Fully furnished,1,,113.34,289.06,83.65,400.81,17.89,95.25,270.37,279.09,374.04,331.65,"Sokolovská, Prague - Karlín",50.0925008,14.4438167,"CZK 20,000",Brick,Up to 10 years,Complete,Very good,Cooperative,C,Central,Luxurious,,,,,,,,,,,
"CZK 17,000","CZK 3,500",55208,2+kk,9/1/2022,55 m²,Fully furnished,3,1.0,233.5,679.9,477.03,659.28,663.97,683.95,846.58,558.99,558.81,39.63,Prague - Hostivař,50.0557254,14.5234954,"CZK 17,000",Brick,,,,Personal,,,,1.0,1.0,,,,,,,,,
"CZK 25,000","CZK 4,900",722371,2+kk,6/30/2022,52 m²,Fully furnished,,,257.94,176.82,349.18,313.01,110.88,385.78,174.23,537.57,525.12,350.31,Prague - Smíchov,50.07558,14.40817,"CZK 50,000",Brick,,,Very good,,G,,,,,,,,,,,,,
"CZK 57,000","CZK 8,830",720855,4+kk,6/2/2022,110 m²,Unfurnished,3,1.0,91.01,254.74,137.58,110.13,57.48,149.86,319.23,477.31,263.02,386.4,Prague - Nové Město,50.08676,14.43233,"CZK 65,830",Brick,,,Very good,,G,,,1.0,1.0,1.0,,,,,,,,
"CZK 17,000","CZK 4,700",620235,2+kk,9/1/2022,50 m²,Partly,7,1.0,207.12,361.24,249.6,275.41,262.43,309.87,122.75,104.52,498.42,198.68,"Lohniského, Prague - Hlubočepy",50.036552,14.377843,"CZK 21,700",Prefab concrete,,,Very good,Personal,C,Distance,,1.0,,1.0,,,,1.0,,,,
