Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Balcony,Cellar,Lift,New-build,Parking,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Ownership,Designe,Reconstruction,Terrace,Heating,Enclosed balcony,Administrative fee,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 18,000","CZK 4,500","CZK 18,000",724217,2+kk,8/1/2022,2,A,56 m²,Partly,New-build,Brick,1.0,1.0,1.0,1.0,1.0,1.0,197.85,1085.29,563.0,1431.92,200.57,1068.45,712.91,937.56,690.78,260.9,Prague - Chodov,50.04004,14.49888,,,,,,,,,,,
"CZK 15,750","CZK 5,250",,724740,1 bedroom,9/3/2022,3,,30 m²,Fully furnished,,,,,,,,,217.38,2062.48,1281.33,4705.18,629.6,1074.91,597.5,3134.16,2915.46,646.77,"Švihovská, Prague - Písnice",49.9954018,14.4704771,,,,,,,,,,,
"CZK 16,000","CZK 5,500",CZK 0,724732,2+kk,7/4/2022,2,B,59 m²,Partly,New-build,Low-energy,1.0,1.0,1.0,1.0,1.0,,290.01,935.67,535.99,747.66,667.29,450.6,572.23,606.77,1276.35,481.92,Prague - Horní Měcholupy,50.04111,14.56876,,,,,,,,,,,
"CZK 19,800","CZK 6,600",,724736,3+1,8/31/2022,5,,90 m²,Fully furnished,,,,,1.0,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,
"CZK 16,000","CZK 3,500","CZK 16,000",448560,2+kk,7/4/2022,2,B,51 m²,Partly,Very good,Prefab concrete,,,1.0,,,,227.37,259.16,190.25,329.28,123.0,273.52,789.96,952.36,1293.57,401.17,"Hnězdenská, Prague - Troja",50.1263568,14.4202859,10 to 30 years,Personal,Standard,,,,,,,,
"CZK 16,000","CZK 2,500","CZK 16,000",534135,2+kk,7/10/2022,6,B,45 m²,Fully furnished,,Brick,,,1.0,,,,81.93,654.6,56.19,181.42,25.98,116.74,485.09,764.37,474.91,794.97,Prague - Holešovice,50.1024478,14.433039,Over 50 years,Personal,Standard,Complete,,,,,,,
"CZK 17,500","CZK 2,200","CZK 35,000",724729,2+kk,7/4/2022,2,B,54 m²,Fully furnished,New-build,Other,,,,1.0,,1.0,640.2,2301.2,658.92,2161.71,735.95,2237.09,1279.01,3846.78,3469.94,28.65,Prague - Újezd u Průhonic,50.00866,14.54417,,,,,,,,,,,
"CZK 13,000","CZK 3,500","CZK 25,000",361151,Studio,8/1/2022,4,B,32 m²,Partly,,Brick,1.0,,1.0,,1.0,,215.32,438.18,296.02,743.11,644.93,658.37,353.14,432.92,563.02,240.72,"Nad přehradou, Prague - Horní Měcholupy",50.042408,14.5513031,Up to 10 years,Personal,,,,,,,,,
"CZK 26,000","CZK 5,500","CZK 52,000",724726,2+kk,7/5/2022,4,A,54 m²,Fully furnished,New-build,Low-energy,,,,,1.0,,153.44,380.74,504.8,688.34,451.05,368.92,583.47,542.42,454.53,84.82,Prague - Žižkov,50.08271,14.46634,,,,,,,,,,,
"CZK 21,009","CZK 7,003",,722293,Studio,8/2/2022,1,,27 m²,Fully furnished,,,1.0,,,,,,356.54,736.2,458.21,353.24,376.04,829.05,1040.15,326.58,1014.22,65.27,"Buštěhradská, Prague - Střešovice",50.0968441,14.3897247,,,,,1.0,,,,,,
"CZK 12,500","CZK 3,500","CZK 20,000",583876,Studio,7/4/2022,6,B,34 m²,Fully furnished,New-build,Low-energy,1.0,1.0,1.0,,,1.0,246.43,1479.72,314.47,1251.15,393.68,1415.72,1157.71,1364.61,485.88,103.36,"Moravcových, Prague - Vysočany",50.111861,14.515958,Up to 10 years,Personal,,,,Distance,,,,,
"CZK 15,000","CZK 3,500","CZK 30,000",724722,Studio,8/1/2022,1,D,37 m²,Fully furnished,Very good,Brick,1.0,,1.0,,,,85.49,721.89,243.82,380.05,188.36,223.98,504.8,430.4,1044.75,346.96,Prague - Prosek,50.11913,14.49709,,,,,1.0,,1.0,,,,
"CZK 18,000","CZK 6,000","CZK 24,000",724169,2+kk,8/1/2022,4,G,62 m²,Fully furnished,New-build,Brick,1.0,1.0,1.0,1.0,1.0,1.0,157.65,460.15,319.12,458.96,444.21,464.19,642.41,845.71,714.23,167.02,Prague - Záběhlice,50.05611,14.51485,,,,,,,,,,,
"CZK 22,800","CZK 2,800","CZK 25,000",614902,2+kk,7/1/2022,5,C,56 m²,Fully furnished,Very good,Brick,,,1.0,,,,159.44,629.52,80.03,406.17,33.78,404.51,219.12,350.66,680.83,382.42,"Mexická, Prague - Vršovice",50.071939,14.457635,Up to 10 years,Personal,Luxurious,Complete,,Gas boiler,,,,,
"CZK 19,250","CZK 3,250","CZK 35,000",646414,2+kk,8/1/2022,1,A,40 m²,Fully furnished,New-build,Brick,,,,,,,1.84,879.25,439.31,880.4,740.24,773.17,524.18,403.03,241.18,380.38,"Podbělohorská, Prague - Smíchov",50.075042,14.372218,Up to 10 years,Personal,,Complete,1.0,Central,,,,,
"CZK 32,000","CZK 6,000","CZK 50,000",532872,4+1,8/1/2022,1,G,112 m²,Partly,Good,Brick,1.0,1.0,,,,,211.18,707.65,333.25,586.65,147.42,792.81,488.67,1611.99,128.46,83.62,Prague - Bubeneč,50.1006887,14.4164618,Over 50 years,Personal,Standard,,,Other,,,,,
"CZK 29,500","CZK 1,520","CZK 85,000",724154,2 bedroom,6/29/2022,5,G,77 m²,Unfurnished,Very good,Brick,,,,,,,199.84,767.47,137.73,530.27,184.47,573.51,355.34,582.91,358.08,301.7,Prague - Bubeneč,50.10102,14.40399,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,720700,2+kk,7/6/2022,2,,60 m²,Fully furnished,,,,,1.0,,,,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,
"CZK 17,300","CZK 3,100","CZK 10,000",724716,2 bedroom,9/11/2022,2,G,52 m²,Fully furnished,Very good,Brick,,,1.0,,,,253.69,1068.57,247.9,798.67,232.74,218.12,537.61,360.7,578.34,297.89,Prague - Strašnice,50.06868,14.4963,,,,,,,1.0,,,,
"CZK 30,000","CZK 3,000","CZK 33,000",708966,3+kk,3/2/2022,1,G,78 m²,Partly,New-build,Brick,1.0,,,,1.0,,251.45,320.91,336.17,3090.14,2600.5,2658.27,323.18,2567.15,2130.89,663.19,"Pod Akáty, Prague - Velká Chuchle",50.01264,14.38504,,Personal,,,,,,,,,
"CZK 15,000","CZK 2,800","CZK 20,000",673486,Studio,10/1/2022,5,B,44 m²,Partly,New-build,Brick,1.0,,1.0,1.0,1.0,,70.82,1162.85,634.32,877.46,533.01,948.92,712.76,418.74,581.79,289.1,"Olgy Havlové, Prague - Žižkov",50.0876624,14.4794388,,Personal,,,1.0,Central,,,,,
"CZK 17,900","CZK 3,500","CZK 45,000",715422,2+kk,5/6/2022,3,C,49 m²,Unfurnished,New-build,Other,1.0,,,,,,52.71,885.21,523.81,874.84,30.45,729.9,997.92,464.81,1208.95,324.79,"Limuzská, Prague - Strašnice",50.07828,14.5085,,Personal,,,,Central,,,,,
"CZK 15,000","CZK 3,000","CZK 15,000",723320,2+kk,8/1/2022,1,G,58 m²,Partly,Good,Prefab concrete,,1.0,,,,,243.0,882.66,381.49,856.35,775.58,902.77,351.9,369.25,977.65,374.19,Prague - Lhotka,50.02483,14.44414,,,Standard,,,,,,,,
"CZK 23,000","CZK 4,000","CZK 40,000",721039,4+kk,6/3/2022,2,C,72 m²,Fully furnished,Very good,Prefab concrete,,,,,1.0,,219.78,207.3,64.33,294.21,51.09,390.76,366.36,185.31,404.97,123.34,Prague - Háje,50.03254,14.53207,,,,,,,,,,,
"CZK 12,000","CZK 2,800","CZK 12,000",724330,Studio,6/30/2022,7,B,23 m²,Partly,Very good,Other,,,1.0,,,,454.04,809.88,434.66,484.42,353.37,771.43,492.68,609.29,683.92,296.54,Prague - Vysočany,50.10533,14.50202,,,,,,,,,,,
"CZK 25,990","CZK 4,560","CZK 30,550",724703,3+1,7/5/2022,8,G,73 m²,Fully furnished,Good,Prefab concrete,1.0,1.0,1.0,,,,230.71,363.54,185.46,1043.95,179.71,360.25,128.83,277.71,295.53,116.41,"Prusíkova, Prague - Stodůlky",50.03613861111,14.33899416666,,Personal,,,,,,"CZK 30,550",,,
"CZK 17,000","CZK 2,400","CZK 20,000",724700,2+kk,7/4/2022,4,G,45 m²,Fully furnished,Very good,Brick,1.0,1.0,1.0,,,,255.28,1642.21,253.76,1682.19,270.57,259.65,810.52,415.67,1258.27,67.93,Prague - Hostivař,50.04474,14.51544,,,,,,,,,,,
"CZK 60,000","CZK 20,000",,717694,2+kk,7/6/2022,3,,,Fully furnished,,,,,,,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,
"CZK 13,000","CZK 4,000","CZK 20,000",554005,2+kk,9/1/2022,3,G,45 m²,Unfurnished,,Prefab concrete,,1.0,1.0,,,,295.91,432.79,298.72,612.71,199.51,213.51,274.96,380.15,630.79,314.0,"Michnova, Prague - Chodov",50.0306828,14.5217282,,Personal,Standard,,,Central,,,,,
"CZK 14,500","CZK 4,500","CZK 20,000",582958,2+kk,9/1/2022,3,C,51 m²,Partly,Very good,Brick,,1.0,1.0,,1.0,1.0,241.92,871.57,34.61,704.83,409.42,829.47,203.7,2069.42,1078.72,158.89,"Sazovická, Prague - Zličín",50.057864,14.282579,Up to 10 years,Personal,Standard,,,Central,1.0,,,,
"CZK 17,990","CZK 3,203","CZK 21,193",724697,2+kk,7/5/2022,5,B,57 m²,Unfurnished,New-build,Other,1.0,1.0,1.0,1.0,1.0,,645.22,964.85,875.39,2559.26,685.03,982.52,1070.9,898.54,1849.03,658.2,"Hrašeho, Prague - Čimice",50.13906861111,14.42643305555,,Personal,,,,,,"CZK 21,193",,,
"CZK 16,000","CZK 3,500","CZK 30,000",724696,2 bedroom,8/15/2022,1,C,60 m²,Unfurnished,Very good,Prefab concrete,,1.0,,,,,272.9,416.54,306.62,252.64,455.91,517.37,197.18,469.08,577.46,342.15,Prague - Háje,50.02985,14.53319,,,,,,Central,1.0,,,,
"CZK 15,900","CZK 2,500",CZK 0,724653,2+kk,10/1/2022,3,B,45 m²,Partly,New-build,Brick,,1.0,1.0,1.0,1.0,,101.97,622.17,257.21,412.56,238.41,483.85,237.72,57.55,550.69,311.67,Prague - Žižkov,50.08781,14.4725,Up to 10 years,Personal,Luxurious,Complete,,Central,,,,,
"CZK 7,500",CZK 0,"CZK 15,000",724692,3+1,8/1/2022,5,G,63 m²,Fully furnished,Very good,Prefab concrete,1.0,1.0,1.0,,,,104.67,745.53,173.45,868.68,402.1,153.89,477.35,366.26,945.52,155.81,Prague - Chodov,50.02711,14.52102,,Personal,,Complete,,Distance,1.0,,,,
CZK 1,CZK 800,CZK 1,724123,1 bedroom,6/29/2022,4,G,57 m²,Unfurnished,Under construction,Brick,,,,,,,261.32,369.9,189.95,760.08,189.22,495.41,255.48,280.96,452.06,238.59,Prague - Vinohrady,50.07363,14.44468,,,,,,,,,,,
"CZK 17,500","CZK 1,000","CZK 35,000",724126,2+kk,6/29/2022,1,G,43 m²,Fully furnished,New-build,Brick,1.0,,,1.0,1.0,,206.3,658.53,137.46,872.34,117.56,286.26,418.01,1457.4,885.21,383.62,Prague - Újezd nad Lesy,50.07752,14.65038,,,,,,,,,,,
"CZK 17,000","CZK 2,500","CZK 34,000",724688,3+1,7/25/2022,1,G,55 m²,Partly,Very good,Brick,,,,,1.0,,303.34,1545.34,910.88,1538.0,894.12,969.56,873.94,1167.13,1353.64,327.98,Prague - Hodkovičky,50.02125,14.41856,,,,,,,,,,,
"CZK 14,500","CZK 1,700","CZK 25,000",644343,2+kk,8/1/2022,2,F,53 m²,Partly,Very good,Brick,1.0,1.0,,,,,354.86,1203.0,310.31,1279.99,328.24,423.54,199.87,663.16,161.44,80.67,"Krejčího, Prague - Libeň",50.113661,14.466423,,Cooperative,,,,,,,,,
"CZK 9,500","CZK 2,000","CZK 10,000",724687,Studio,9/1/2022,2,G,30 m²,Unfurnished,Good,Brick,,,,,,,304.93,1155.23,71.44,1438.31,20.15,445.42,428.89,306.3,538.28,489.15,Prague - Libeň,50.11575,14.47113,,,,,,,,,,,
"CZK 6,000","CZK 1,000","CZK 5,000",692180,3+1,9/2/2022,1,G,65 m²,Fully furnished,Very good,Prefab concrete,1.0,,1.0,,,,129.39,654.2,376.46,1487.44,204.23,416.42,217.88,217.88,198.57,263.06,"Brodského, Prague - Chodov",50.0376,14.50418,,Other,Standard,,,,,,,,
"CZK 14,000","CZK 4,500","CZK 14,000",724685,2+kk,8/1/2022,5,A,57 m²,Partly,Very good,Prefab concrete,,1.0,1.0,,,,216.44,517.64,171.19,880.87,171.5,514.34,280.49,431.8,200.56,80.55,Prague - Stodůlky,50.03687,14.33719,,,,,,,,,,,
"CZK 48,000","CZK 16,000",,717684,3+1,8/2/2022,5,,72 m²,Fully furnished,,,,,1.0,,,,273.55,299.9,80.57,586.7,68.95,312.33,103.27,252.88,792.89,567.68,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,
"CZK 9,500","CZK 3,500","CZK 10,000",724683,Small studio,8/1/2022,2,G,28 m²,Fully furnished,Very good,Brick,1.0,1.0,1.0,,,,166.58,777.6,98.52,161.07,44.85,143.4,306.37,653.4,383.48,341.21,Prague - Nové Město,50.08129,14.42175,,,,,,,,,,,
