Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Reconstruction,Heating,Parking,Balcony,Terrace,New-build,Enclosed balcony,Designe,Garage,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 12,990","CZK 4,142","CZK 17,132",717757,2 bedroom,7/8/2022,1,Brick,"CZK 17,132",56 m²,Partly,Very good,Personal,G,1.0,1.0,115.59,855.62,41.96,262.17,112.98,772.24,221.37,359.26,709.7,300.26,"Jivenská, Prague - Michle",50.05976805555,14.45055611111,,,,,,,,,,,,,
"CZK 74,813","CZK 24,937",,722375,4+1,8/17/2022,3,,,136 m²,Fully furnished,,,,,1.0,305.35,609.48,123.44,435.97,59.26,202.94,375.9,628.46,401.54,92.23,"Betlémská, Prague - Staré Město",50.0837893,14.416317,,,,,,,,,,,,,
"CZK 33,375","CZK 11,125",,724515,3+kk,9/1/2022,2,,,88 m²,Fully furnished,,,,,,119.05,2342.79,342.47,1963.2,295.53,418.01,737.58,1682.86,894.29,390.71,"Weberova, Prague - Motol",50.073131,14.3495147,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",,724600,2+kk,9/2/2022,4,,,56 m²,Fully furnished,,,,,,91.98,204.34,98.75,50.9,42.55,154.76,196.57,433.55,409.29,205.78,"náměstí Bratří Synků, Prague - Nusle",50.0640124,14.439955,,,,,,,,,,,,,
"CZK 16,000",CZK 800,"CZK 20,000",541910,2 bedroom,,3,Brick,,52 m²,Unfurnished,Good,Personal,G,,1.0,223.52,159.26,74.62,307.53,57.79,165.89,255.81,293.78,368.48,104.86,"Křižíkova, Prague - Karlín",50.0918972,14.4483184,,,,,,,,,,,,,
"CZK 32,250","CZK 10,750",,724079,Studio,8/28/2022,4,,,27 m²,Fully furnished,,,,,1.0,275.28,321.52,72.5,617.26,60.27,467.19,25.57,60.76,793.43,562.96,"Americká, Prague - Vinohrady",50.0717643,14.4385436,,,,,,,,,,,,,
"CZK 25,808","CZK 8,602",,725069,2 bedroom,9/6/2022,5,,,54 m²,Fully furnished,,,,,,221.57,827.75,176.34,604.4,98.94,602.74,417.35,332.18,571.22,245.6,"Bulharská, Prague - Vršovice",50.0720218,14.4618189,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 13,000",718682,Studio,5/18/2022,4,Prefab concrete,,34 m²,Fully furnished,Very good,Personal,E,,1.0,41.41,357.85,168.15,189.94,112.9,141.5,627.05,443.81,695.08,98.67,"Jičínská, Prague - Žižkov",50.0786,14.46037,10 to 30 years,Complete,Distance,,,,,,,,,,
"CZK 22,990","CZK 2,301","CZK 25,291",725057,3+kk,7/8/2022,1,Brick,"CZK 25,291",73 m²,Fully furnished,Good,Personal,B,1.0,1.0,408.93,1205.66,1476.25,2123.67,388.63,2248.31,1620.9,2757.29,2198.23,1031.6,"Želetická, Prague - Sobín",50.06501361111,14.27258527777,,,,1.0,,,,,,,,,
"CZK 22,000","CZK 5,000","CZK 44,000",725052,3+kk,7/15/2022,7,Prefab concrete,,56 m²,Fully furnished,Very good,,G,,1.0,351.1,1178.28,289.27,918.24,290.84,934.15,458.24,485.47,902.33,146.77,Prague - Karlín,50.0958,14.46735,,Complete,Central,,,,,,,,,,
