Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Cellar,Enclosed balcony,Heating,Ownership,Parking,Age,Balcony,Designe,Reconstruction,Terrace,Garage,New-build,Administrative fee,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 74,813","CZK 24,937",722375,4+1,8/17/2022,136 m²,Fully furnished,3,1.0,305.35,609.48,123.44,435.97,59.26,202.94,375.9,628.46,401.54,92.23,"Betlémská, Prague - Staré Město",50.0837893,14.416317,,,,,,,,,,,,,,,,,,,,
"CZK 32,250","CZK 10,750",724079,Studio,8/28/2022,27 m²,Fully furnished,4,1.0,275.28,321.52,72.5,617.26,60.27,467.19,25.57,60.76,793.43,562.96,"Americká, Prague - Vinohrady",50.0717643,14.4385436,,,,,,,,,,,,,,,,,,,,
"CZK 25,808","CZK 8,602",725069,2 bedroom,9/6/2022,54 m²,Fully furnished,5,,221.57,827.75,176.34,604.4,98.94,602.74,417.35,332.18,571.22,245.6,"Bulharská, Prague - Vršovice",50.0720218,14.4618189,,,,,,,,,,,,,,,,,,,,
"CZK 21,994","CZK 7,331",725888,Studio,9/13/2022,35 m²,Fully furnished,2,1.0,233.1,571.46,103.21,275.27,139.29,314.88,470.1,600.61,643.99,585.85,"Mojmírova, Prague - Nusle",50.0630016,14.4450348,,,,,,,,,,,,,,,,,,,,
"CZK 31,875","CZK 10,625",725887,2 bedroom,9/13/2022,65 m²,Fully furnished,2,,181.41,298.0,1.34,322.55,4.35,512.55,359.47,791.01,446.67,323.95,"Karlova, Prague - Staré Město",50.0859967,14.4175762,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 3,865",725885,3+kk,7/14/2022,67 m²,Partly,3,1.0,339.89,756.48,101.68,863.25,404.7,748.47,414.5,543.46,381.74,145.36,Prague - Chodov,50.02258,14.4963,"CZK 30,000",G,Very good,Prefab concrete,1.0,1.0,,,,,,,,,,,,,,
"CZK 17,400","CZK 4,000",725884,3+kk,7/15/2022,73 m²,Fully furnished,4,1.0,112.11,1338.27,57.98,649.71,83.83,46.29,361.46,169.04,661.02,145.65,Prague - Troja,50.12483,14.44397,"CZK 20,000",G,Very good,Prefab concrete,,1.0,Central,Personal,1.0,,,,,,,,,,,
"CZK 16,500","CZK 5,500",581083,3+kk,8/1/2022,56 m²,Unfurnished,4,,12.93,584.69,279.92,529.49,138.63,489.78,263.04,380.49,337.99,632.92,"Husitská, Prague - Žižkov",50.086617,14.447053,"CZK 16,500",G,Very good,Brick,,,,Personal,,,,,,,,,,,,
"CZK 18,000","CZK 3,000",537773,1 bedroom,7/15/2022,39 m²,Fully furnished,3,1.0,155.04,254.37,185.76,206.41,119.25,300.75,223.91,422.35,288.89,377.87,"Novákových, Prague - Libeň",50.1037249,14.4763555,"CZK 30,000",,Very good,Brick,,,Central,Personal,,Up to 10 years,,,,,,,,,,
"CZK 12,000","CZK 3,000",524614,Studio,7/15/2022,25 m²,Fully furnished,3,,241.36,360.42,223.44,315.8,122.73,409.01,264.38,574.88,675.11,351.07,Prague - Smíchov,50.0779629,14.4073102,"CZK 12,000",,,Brick,,,,Personal,,,,,,,,,,,,
