Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Ownership,Age,Designe,Building type,Heating,EPC,Condition,Enclosed balcony,Lift,Cellar,Balcony,Parking,Garage,New-build,Reconstruction,Terrace,Administrative fee,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 33,825","CZK 11,275",726074,2 bedroom,9/15/2022,70 m²,Fully furnished,5,285.02,1187.16,200.89,227.74,84.78,244.35,168.54,468.48,402.84,169.45,"Neklanova, Prague - Vyšehrad",50.0668376,14.4198946,,,,,,,,,,,,,,,,,,,,,
"CZK 15,500","CZK 2,000",151330,2+kk,9/1/2022,47 m²,Unfurnished,4,139.92,627.72,61.14,507.47,222.35,316.34,57.9,966.43,408.76,64.74,"Ortenovo náměstí, Prague - Holešovice",50.1086316,14.447859,"CZK 15,500",Personal,Up to 10 years,Standard,Brick,Distance,,,,,,,,,,,,,,,
"CZK 12,000","CZK 5,000",726748,1 bedroom,7/21/2022,43 m²,Partly,4,241.24,968.69,180.56,1030.52,320.29,680.36,549.92,605.83,657.65,364.25,Prague - Michle,50.04361,14.46353,"CZK 12,000",,,,Brick,,G,Good,,,,,,,,,,,,,
"CZK 10,500","CZK 2,500",726727,1 bedroom,7/21/2022,32 m²,Partly,4,335.07,589.94,203.34,490.57,272.38,255.37,249.48,103.14,1050.25,44.47,Prague - Střížkov,50.12665,14.49526,"CZK 21,000",,,,Prefab concrete,,G,Good,1.0,1.0,,,,,,,,,,,
"CZK 14,595","CZK 5,000",726726,2 bedroom,8/1/2022,54 m²,Fully furnished,4,285.16,370.51,360.23,448.24,235.12,366.46,776.47,868.53,680.09,215.76,Prague - Záběhlice,50.0545,14.51377,"CZK 17,000",,,,Prefab concrete,,G,Good,1.0,1.0,1.0,,,,,,,,,,
"CZK 11,000","CZK 2,100",726724,1 bedroom,7/20/2022,35 m²,Partly,8,218.5,978.72,232.06,501.62,518.54,504.29,182.89,264.21,341.09,424.32,Prague - Letňany,50.13374,14.50727,"CZK 13,100",,,,Prefab concrete,,D,Very good,,1.0,1.0,1.0,,,,,,,,,
"CZK 19,000",CZK 0,726718,3+kk,7/20/2022,69 m²,Partly,2,257.56,309.27,119.48,238.77,72.03,50.08,301.56,602.37,114.84,495.57,Prague - Bubeneč,50.10102,14.42628,"CZK 28,500",,,,Brick,,G,Good,,1.0,1.0,,,,,,,,,,
"CZK 22,000","CZK 3,000",726719,2 bedroom,7/20/2022,54 m²,Partly,1,207.27,1557.89,131.92,938.53,269.58,1472.06,701.47,365.52,399.67,247.03,Prague - Liboc,50.0918,14.32846,"CZK 22,000",,,,Brick,,G,Very good,,,1.0,,1.0,,,,,,,,
"CZK 26,000","CZK 4,000",726412,3+kk,9/1/2022,55 m²,Partly,1,110.56,129.83,135.71,231.47,30.61,425.17,229.3,557.24,377.32,204.43,Prague - Malá Strana,50.07962,14.40458,"CZK 26,000",Personal,,,Brick,,G,Very good,,,1.0,1.0,,,,,,,,,
"CZK 23,000","CZK 1,800",726711,3+kk,7/20/2022,80 m²,Partly,4,300.87,874.78,169.37,280.63,51.78,528.14,649.99,565.19,776.48,568.23,Prague - Žižkov,50.08594,14.43948,"CZK 46,000",,,,Brick,,G,Good,,1.0,,,,1.0,,,,,,,
