Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Enclosed balcony,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Lift,Designe,Reconstruction,Cellar,Plot type,Age,New-build,Balcony,Terrace,Parking,Garage,Administrative fee,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 11,500","CZK 3,200","CZK 15,000",555382,1 bedroom,7/25/2022,7,Prefab concrete,Distance,36 m²,Partly,Very good,Personal,C,1.0,78.9,571.28,140.35,869.51,279.64,66.28,195.32,717.3,215.82,175.66,Prague - Záběhlice,50.0569425,14.4960227,,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",,726068,3+kk,9/3/2022,2,,,90 m²,Fully furnished,,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,1.0,,,,,,,,,,,,,
"CZK 16,000","CZK 3,600","CZK 32,000",726066,3+1,7/16/2022,2,Prefab concrete,Central,75 m²,Partly,Very good,Cooperative,G,1.0,130.26,1121.57,998.76,2397.06,420.37,503.84,551.51,1489.99,1494.54,519.15,Prague - Krč,50.01891,14.46412,1.0,Standard,Bathroom unit,1.0,,,,,,,,,,
"CZK 15,000","CZK 4,000","CZK 38,000",700427,Studio,8/1/2022,4,Brick,Central,40 m²,Fully furnished,New-build,Other,B,1.0,242.41,959.58,107.42,884.69,544.13,392.0,459.15,335.74,1075.44,127.48,"Makedonská, Prague - Střížkov",50.12964,14.49304,1.0,,,,Housing,Up to 10 years,1.0,,,,,,,
"CZK 12,000","CZK 3,500","CZK 16,000",652034,Studio,7/29/2022,4,Low-energy,Distance,31 m²,Fully furnished,New-build,Personal,A,,174.19,292.16,93.4,165.61,93.93,196.69,232.97,423.67,967.6,84.92,"Nad Úžlabinou, Prague - Malešice",50.080854,14.49914,1.0,Luxurious,,1.0,,Up to 10 years,1.0,1.0,1.0,,,,,
"CZK 13,000","CZK 3,000","CZK 20,000",726880,1 bedroom,7/25/2022,4,Brick,,50 m²,Unfurnished,Good,,E,,434.9,655.87,466.9,607.76,169.97,682.28,547.75,382.87,338.16,559.67,Prague - Libeň,50.09945,14.4709,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,000","CZK 44,000",131474,2+kk,9/1/2022,6,Brick,,64 m²,Fully furnished,Very good,Personal,,,161.62,207.64,86.06,137.14,73.03,80.74,397.84,733.04,245.51,397.15,"Sochařská, Prague - Bubeneč",50.1008477,14.4247118,1.0,Luxurious,Complete,1.0,,10 to 30 years,,1.0,,,,,,
"CZK 19,500","CZK 4,500","CZK 3,000",652153,Studio,7/21/2022,3,Brick,Central,20 m²,Fully furnished,Very good,Personal,C,,203.12,501.16,103.26,445.67,8.74,239.25,220.23,444.7,768.67,492.57,"Fügnerovo náměstí, Prague - Nové Město",50.071528,14.430216,1.0,Luxurious,Complete,,,Up to 10 years,,,,1.0,1.0,,,
"CZK 13,000","CZK 1,000","CZK 26,000",725485,Small studio,7/12/2022,4,Brick,,20 m²,Unfurnished,New-build,,G,,212.45,629.95,115.38,498.09,125.74,715.12,224.98,1377.12,173.77,295.64,Prague - Bubeneč,50.10237,14.41812,1.0,,,,,,,1.0,,,,,,
"CZK 10,500","CZK 3,500","CZK 10,500",642207,Studio,7/25/2022,2,Prefab concrete,Central,36 m²,Fully furnished,New-build,Cooperative,C,,242.43,959.6,107.43,884.7,544.15,392.02,459.16,335.75,1075.45,127.5,"Makedonská, Prague - Střížkov",50.129642,14.493043,1.0,Standard,,,,Up to 10 years,,1.0,,,,,,
"CZK 20,000","CZK 4,900","CZK 20,000",197587,2 bedroom,9/1/2022,3,Brick,,61 m²,Unfurnished,,Personal,,,280.18,564.46,136.33,351.39,55.11,370.66,313.06,353.83,691.04,109.51,"Baranova, Prague - Žižkov",50.0797815,14.4578475,1.0,,,,,,,,,,,,,
"CZK 14,000","CZK 5,400","CZK 14,000",726862,Studio,7/21/2022,4,Brick,,26 m²,Fully furnished,Very good,,G,,389.43,1234.26,348.2,485.56,0.0,296.91,183.12,321.71,403.16,139.33,Prague - Vyšehrad,50.06577,14.41999,1.0,,,,,,,,,,,,,
