Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Refundable security deposit,Building type,Condition,EPC,Ownership,Reconstruction,Heating,Designe,Cellar,Garage,Parking,Enclosed balcony,Age,New-build,Plot type,Administrative fee,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 34,898","CZK 11,632",726071,2 bedroom,9/4/2022,90 m²,Fully furnished,4,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,
"CZK 39,000","CZK 13,000",728062,2 bedroom,9/30/2022,92 m²,Fully furnished,7,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,1.0,1.0,,,,,,,,,,,,,,,,,
"CZK 16,125","CZK 5,375",728061,3+1,9/30/2022,90 m²,Fully furnished,5,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",728060,1 bedroom,9/30/2022,50 m²,Fully furnished,2,,187.82,338.29,111.0,241.4,39.4,347.76,25.85,486.49,569.58,575.91,"Karmelitská, Prague - Malá Strana",50.08657,14.4033198,,,,,,,,,,,,,,,,,,,
"CZK 51,840","CZK 17,280",728059,3+1,9/30/2022,85 m²,Fully furnished,2,1.0,278.51,602.82,173.91,301.83,0.93,288.1,225.94,440.55,233.82,416.1,"Bílkova, Prague - Staré Město",50.0912254,14.4209612,,,,,,,,,,,,,,,,,,,
"CZK 50,000","CZK 5,000",728055,3+kk,8/15/2022,96 m²,Unfurnished,,,274.08,1086.63,348.55,678.17,213.74,191.06,240.4,275.12,84.59,388.38,Prague - Vyšehrad,50.06589,14.41584,,1.0,"CZK 50,000",Brick,Very good,G,,,,,,,,,,,,,
"CZK 17,000","CZK 2,000",413089,2+kk,9/1/2022,47 m²,Fully furnished,3,,291.54,369.09,134.76,362.09,102.91,310.8,203.34,269.83,573.26,255.46,"Blodkova, Prague - Žižkov",50.0796704,14.449102,,,"CZK 17,000",Brick,,E,Personal,Complete,Gas boiler,Luxurious,1.0,,,,,,,,
"CZK 13,000","CZK 3,000",726095,2+kk,8/1/2022,39 m²,Partly,3,1.0,373.74,1317.72,426.18,1247.6,501.95,1314.25,134.71,770.93,2395.49,123.12,Prague - Bohnice,50.13331,14.40696,,,"CZK 15,000",Prefab concrete,Very good,G,,,Central,,,,,,,,,,
"CZK 17,900","CZK 5,000",728053,2+kk,7/31/2022,54 m²,Partly,,,103.75,955.7,280.48,410.2,14.01,631.02,346.46,380.05,657.91,172.57,Prague - Bubeneč,50.1039,14.40337,,,"CZK 15,000",Brick,Good,C,,,,,,,,,,,,,
"CZK 35,000","CZK 5,500",723928,4+kk,8/15/2022,134 m²,Unfurnished,6,1.0,135.95,201.01,340.8,380.24,371.18,487.46,327.05,520.71,892.99,328.15,Prague - Košíře,50.06932,14.37569,,1.0,"CZK 40,000",Brick,Very good,G,,,,,1.0,1.0,,,,,,,
"CZK 14,500","CZK 3,500",728051,2+kk,7/31/2022,42 m²,Partly,4,,70.99,731.34,74.49,78.34,48.37,51.39,355.06,397.39,435.77,370.93,Prague - Žižkov,50.08959,14.46905,1.0,,"CZK 18,000",Brick,Good,G,,,,,1.0,,,,,,,,
"CZK 15,000","CZK 4,500",728050,2+kk,7/31/2022,46 m²,Fully furnished,4,1.0,337.73,273.54,164.66,362.98,326.52,414.49,127.85,338.4,1297.26,70.65,Prague - Prosek,50.12211,14.50024,,,"CZK 30,000",Brick,Very good,G,,,,,1.0,,1.0,,,,,,
"CZK 17,900",CZK 900,728049,2+kk,8/22/2022,56 m²,Fully furnished,2,,352.48,956.77,123.77,534.44,359.81,893.83,253.19,169.36,830.63,334.59,Prague - Nusle,50.05586,14.44625,,,"CZK 45,000",Brick,Very good,G,,,,,1.0,,,,,,,,
"CZK 20,000","CZK 7,000",632523,2 bedroom,9/1/2022,82 m²,Fully furnished,4,,422.52,821.83,163.32,422.79,136.15,285.92,272.2,1086.98,336.44,247.22,"Březinova, Prague - Karlín",50.092514,14.456789,,,"CZK 20,000",Brick,Very good,G,Personal,,,,1.0,,,,,,,,
"CZK 38,040","CZK 12,680",724143,2 bedroom,8/2/2022,70 m²,Fully furnished,5,,92.39,704.33,6.31,418.26,11.89,396.59,447.42,561.87,517.82,191.93,"Karoliny Světlé, Prague - Staré Město",50.0841726,14.4139535,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000",728047,2+kk,8/17/2022,47 m²,Unfurnished,6,1.0,689.2,1276.83,606.39,1642.55,847.03,874.39,936.74,1559.24,638.14,696.55,Prague - Záběhlice,50.05783,14.48542,,,"CZK 40,000",Prefab concrete,Very good,B,,Complete,Central,Standard,1.0,,,1.0,,,,,
"CZK 15,000","CZK 4,500",727443,1 bedroom,7/26/2022,43 m²,Partly,2,,242.5,1133.9,995.97,979.62,524.03,1046.57,957.66,1396.21,1079.54,388.61,Prague - Břevnov,50.08035,14.35553,,,"CZK 19,500",Brick,Very good,,Personal,Complete,,,,,,,,,,,
"CZK 33,500","CZK 2,500",728027,3+kk,7/31/2022,111 m²,Partly,5,1.0,305.78,376.46,138.55,373.2,88.6,308.5,220.64,289.39,592.81,264.86,Prague - Žižkov,50.07985,14.44942,1.0,,"CZK 55,000",Brick,Very good,C,,,,,,,1.0,,,,,,
"CZK 20,000",CZK 0,728043,2+kk,8/6/2022,50 m²,Unfurnished,2,,472.29,943.14,661.04,1348.71,676.16,989.59,1050.16,1126.49,1467.83,658.23,Prague - Kyje,50.11055,14.56754,1.0,,"CZK 40,000",Brick,New-build,B,,,,,,,1.0,,,,,,
"CZK 19,000","CZK 5,000",193582,2 bedroom,7/31/2022,57 m²,Partly,7,1.0,71.1,445.44,253.63,398.38,322.26,468.05,273.05,406.17,864.91,145.43,"Počernická, Prague - Malešice",50.0808128,14.4959816,,,"CZK 38,000",Prefab concrete,Very good,C,Personal,Complete,Distance,Standard,,,,,30 - 50 years,,,,
"CZK 16,500","CZK 3,700",475139,2 bedroom,8/1/2022,52 m²,Unfurnished,2,1.0,364.11,601.44,325.23,415.99,323.01,501.22,198.77,49.84,606.41,632.59,"Mládeže, Prague - Břevnov",50.0856422,14.3688265,,,"CZK 16,500",Brick,Very good,,Cooperative,Interior,,,1.0,,,,,,,,
"CZK 29,925","CZK 9,975",723520,1 bedroom,8/2/2022,30 m²,Fully furnished,3,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 1,500",728041,1 bedroom,10/1/2022,40 m²,Partly,1,,241.72,298.32,127.48,147.48,64.4,193.21,322.48,476.18,216.65,289.33,Prague - Bubeneč,50.09985,14.3988,,1.0,"CZK 20,000",Brick,Very good,G,,,,,,,,,,,,,
"CZK 15,000","CZK 5,000",652835,1 bedroom,4/1/2021,41 m²,Fully furnished,7,1.0,224.24,379.42,248.66,1352.86,116.55,873.14,768.84,820.64,670.01,63.64,Prague - Krč,50.0211,14.4525,1.0,,"CZK 20,000",Other,New-build,C,Personal,,Central,Luxurious,1.0,1.0,1.0,,Up to 10 years,,,,
"CZK 16,500","CZK 3,200",300762,2+kk,7/27/2022,50 m²,Fully furnished,2,,114.15,887.83,107.96,2021.89,149.44,841.67,553.62,1091.14,902.1,416.97,"Pelušková, Prague - Kyje",50.1091281,14.5583137,1.0,,CZK 0,Brick,Very good,E,Personal,,,Standard,1.0,,,,10 to 30 years,,,,
"CZK 15,900","CZK 1,600",728040,2+kk,10/1/2022,54 m²,Partly,3,,242.57,898.49,172.45,567.79,137.59,516.28,374.91,700.39,447.57,398.2,Prague - Nusle,50.06041,14.43449,,,"CZK 20,000",Brick,Very good,E,,,,,1.0,,,,,,,,
"CZK 15,000","CZK 5,000",589348,2 bedroom,9/5/2022,55 m²,Partly,3,1.0,172.85,770.92,139.66,696.33,117.6,247.52,520.18,713.05,429.84,185.96,"Na Hroudě, Prague - Strašnice",50.070526,14.486064,1.0,,"CZK 30,000",Brick,Very good,B,Personal,,,,,,,,,,,,
"CZK 18,000","CZK 3,800",728038,2+kk,7/31/2022,56 m²,Fully furnished,3,1.0,423.46,1083.9,1017.66,3489.55,547.5,1112.44,1031.14,640.39,3368.1,582.03,Prague - Dolní Chabry,50.1402558,14.4461763,1.0,,"CZK 21,800",Prefab concrete,New-build,,Personal,,Distance,Luxurious,1.0,,1.0,,Up to 10 years,1.0,,,
"CZK 11,000","CZK 3,000",554711,Small studio,9/1/2022,25 m²,Fully furnished,,,117.78,1596.54,85.26,1756.37,294.9,1535.46,755.21,521.88,193.58,171.74,"Mladotická, Prague - Ruzyně",50.0865731,14.3246233,,1.0,"CZK 10,000",Brick,,C,Personal,,Central,,1.0,,1.0,,,,,,
"CZK 14,000","CZK 3,000",728028,2+kk,7/31/2022,44 m²,Partly,4,,180.66,218.19,106.88,2328.98,195.12,558.02,190.7,415.41,1426.23,440.0,Prague - Braník,50.03842,14.411,,,"CZK 17,000",Brick,Very good,G,,,,,,,,,,,,,
"CZK 14,000","CZK 3,700",728020,2+kk,7/31/2022,48 m²,Fully furnished,5,1.0,180.29,143.58,72.18,1043.56,52.24,878.51,281.06,491.16,562.55,232.84,Prague - Hlubočepy,50.02961,14.36595,1.0,,"CZK 28,000",Brick,New-build,A,,,,,,1.0,1.0,,,1.0,,,
"CZK 11,000","CZK 4,500",728023,1 bedroom,7/31/2022,37 m²,Partly,5,1.0,409.01,1161.87,581.27,614.96,59.99,662.74,732.8,739.85,627.28,743.9,Prague - Veleslavín,50.09321,14.34098,,,"CZK 15,000",Prefab concrete,Very good,G,,,,,,,,,,,,,
"CZK 16,000","CZK 5,000",723622,2+kk,6/25/2022,58 m²,Partly,4,,114.32,581.53,119.07,594.22,82.72,221.25,275.26,934.18,327.75,203.11,Prague - Holešovice,50.10803,14.44562,,,"CZK 16,000",Brick,Very good,B,Personal,,,,1.0,,,,,,,,
"CZK 42,120","CZK 14,040",724853,2+kk,8/2/2022,45 m²,Fully furnished,4,1.0,336.41,302.29,48.66,211.39,57.6,35.65,274.52,787.09,193.2,587.05,"Opletalova, Prague - Nové Město",50.0812219,14.4297716,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000",620049,3+1,9/1/2022,66 m²,Partly,2,,278.52,1248.43,492.8,920.76,193.3,544.48,270.44,327.02,347.44,418.3,"Konojedská, Prague - Strašnice",50.064835,14.508364,,,"CZK 40,000",Brick,Very good,B,Personal,Complete,Gas boiler,Luxurious,,,1.0,,Up to 10 years,,,,
"CZK 10,000","CZK 5,000",727991,1 bedroom,7/31/2022,25 m²,Fully furnished,3,1.0,189.89,915.05,161.11,364.44,31.82,331.63,217.88,257.82,271.25,86.1,Prague - Nové Město,50.0686,14.41662,,,"CZK 15,000",Brick,Good,G,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",727240,3+kk,9/3/2022,90 m²,Fully furnished,2,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,000",472648,2+kk,8/1/2022,54 m²,Partly,3,1.0,129.91,670.58,346.35,678.93,302.51,623.4,195.6,698.8,465.22,275.26,"V Kuťatech, Prague - Uhříněves",50.0303644,14.6079052,1.0,,"CZK 25,000",Brick,Very good,C,Personal,,Gas boiler,,,,1.0,,Up to 10 years,,,,
"CZK 28,000","CZK 9,000",727993,3+1,7/31/2022,90 m²,Fully furnished,5,1.0,189.89,915.05,161.11,364.44,31.82,331.63,217.88,257.82,271.25,86.1,Prague - Nové Město,50.0686,14.41662,,,"CZK 37,000",Brick,Very good,G,,,,,,,,,,,,,
"CZK 24,000","CZK 5,000",698897,2+kk,9/1/2022,103 m²,Partly,2,,673.88,627.89,474.87,2074.34,489.47,617.54,444.0,357.24,1814.86,828.64,"Pod Křížkem, Prague - Braník",50.03612,14.41637,,1.0,"CZK 24,000",Brick,Very good,,Personal,,Gas boiler,Luxurious,1.0,1.0,1.0,,,,,,
"CZK 13,000","CZK 3,000",400804,Studio,,30 m²,Fully furnished,1,,73.75,344.85,342.45,2561.03,249.53,157.7,259.39,164.99,383.16,249.23,"K Zeleným domkům, Prague - Kunratice",50.0133621,14.4796976,,,"CZK 13,000",Brick,,,Personal,,Central,,,,,,,,,,
