Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Terrace,Cellar,Balcony,New-build,Parking,Ownership,Heating,Designe,Garage,Age,Reconstruction,"You will rent this apartment for approximately CZK 18,038 CZK","You will rent this apartment for approximately CZK 20,978 CZK","You will rent this apartment for approximately CZK 13,021 CZK","You will rent this apartment for approximately CZK 14,785 CZK","You will rent this apartment for approximately CZK 15,067 CZK","You will rent this apartment for approximately CZK 19,842 CZK","You will rent this apartment for approximately CZK 16,685 CZK","You will rent this apartment for approximately CZK 26,628 CZK","You will rent this apartment for approximately CZK 15,484 CZK",Enclosed balcony,"You will rent this apartment for approximately CZK 13,555 CZK","You will rent this apartment for approximately CZK 11,653 CZK","You will rent this apartment for approximately CZK 14,502 CZK","You will rent this apartment for approximately CZK 16,168 CZK","You will rent this apartment for approximately CZK 19,295 CZK",Administrative fee,"You will rent this apartment for approximately CZK 19,219 CZK",Domácí mazlíčci vítáni,"You will rent this apartment for approximately CZK 22,478 CZK","You will rent this apartment for approximately CZK 11,958 CZK","You will rent this apartment for approximately CZK 16,710 CZK","You will rent this apartment for approximately CZK 14,973 CZK","You will rent this apartment for approximately CZK 10,802 CZK","You will rent this apartment for approximately CZK 13,881 CZK","You will rent this apartment for approximately CZK 17,882 CZK","You will rent this apartment for approximately CZK 16,430 CZK","You will rent this apartment for approximately CZK 16,433 CZK","You will rent this apartment for approximately CZK 13,310 CZK","You will rent this apartment for approximately CZK 16,917 CZK","You will rent this apartment for approximately CZK 18,373 CZK","You will rent this apartment for approximately CZK 12,389 CZK","You will rent this apartment for approximately CZK 12,342 CZK","You will rent this apartment for approximately CZK 18,271 CZK","You will rent this apartment for approximately CZK 25,924 CZK","You will rent this apartment for approximately CZK 15,979 CZK","You will rent this apartment for approximately CZK 10,688 CZK","You will rent this apartment for approximately CZK 20,472 CZK","You will rent this apartment for approximately CZK 14,704 CZK","You will rent this apartment for approximately CZK 14,436 CZK","You will rent this apartment for approximately CZK 13,970 CZK","You will rent this apartment for approximately CZK 20,023 CZK","You will rent this apartment for approximately CZK 14,724 CZK","You will rent this apartment for approximately CZK 18,643 CZK","You will rent this apartment for approximately CZK 19,743 CZK","You will rent this apartment for approximately CZK 11,793 CZK","You will rent this apartment for approximately CZK 14,967 CZK","You will rent this apartment for approximately CZK 21,299 CZK","You will rent this apartment for approximately CZK 10,879 CZK","You will rent this apartment for approximately CZK 15,662 CZK","You will rent this apartment for approximately CZK 15,864 CZK","You will rent this apartment for approximately CZK 10,343 CZK","You will rent this apartment for approximately CZK 23,918 CZK","You will rent this apartment for approximately CZK 20,140 CZK","You will rent this apartment for approximately CZK 16,221 CZK","You will rent this apartment for approximately CZK 13,251 CZK","You will rent this apartment for approximately CZK 17,653 CZK","You will rent this apartment for approximately CZK 21,704 CZK","You will rent this apartment for approximately CZK 16,003 CZK","You will rent this apartment for approximately CZK 16,196 CZK","You will rent this apartment for approximately CZK 17,219 CZK","You will rent this apartment for approximately CZK 11,412 CZK","You will rent this apartment for approximately CZK 15,137 CZK",Plot type,"You will rent this apartment for approximately CZK 15,092 CZK","You will rent this apartment for approximately CZK 12,236 CZK","You will rent this apartment for approximately CZK 15,029 CZK","You will rent this apartment for approximately CZK 15,119 CZK","You will rent this apartment for approximately CZK 13,665 CZK","You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 36,750","CZK 12,250",723533,2+kk,8/15/2022,56 m²,Fully furnished,6,1.0,345.14,1342.2,164.46,1280.58,177.52,640.24,86.84,430.13,282.25,213.81,"Střížkovská, Prague - Střížkov",50.1237895,14.4836132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,200","CZK 6,400",728261,1 bedroom,10/1/2022,25 m²,Fully furnished,5,,325.99,599.06,10.69,489.3,51.0,359.95,315.04,78.83,255.47,309.72,"Polská, Prague - Vinohrady",50.0787721,14.4457646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 1,626",729775,2+kk,8/14/2022,44 m²,Fully furnished,6,1.0,81.8,549.28,66.54,230.82,91.14,337.47,663.84,635.86,297.56,429.32,Prague - Holešovice,50.10412,14.45355,"CZK 30,000",G,Very good,Brick,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 48,000","CZK 16,000",717684,3+1,9/18/2022,72 m²,Fully furnished,5,1.0,273.55,299.9,80.57,586.7,68.95,312.33,103.27,252.88,792.89,567.68,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,000","CZK 4,604",729774,3+kk,8/13/2022,91 m²,Unfurnished,3,1.0,326.52,558.95,229.44,287.34,32.38,621.26,339.05,1276.69,241.73,262.25,Prague - Bubeneč,50.10305,14.41876,"CZK 64,000",A,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 3,700",729772,2+kk,9/1/2022,55 m²,Fully furnished,1,1.0,99.38,619.05,58.38,314.47,74.91,323.02,637.72,719.51,315.15,363.17,Prague - Holešovice,50.10461,14.45394,"CZK 21,000",B,New-build,Brick,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 3,500",575095,Studio,9/1/2022,34 m²,Fully furnished,6,,379.23,661.81,1037.58,1240.77,249.85,777.99,1026.42,950.71,146.76,248.94,"Škrábkových, Prague - Letňany",50.1409392,14.5191286,"CZK 25,000",B,New-build,Low-energy,,,1.0,1.0,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,590","CZK 10,530",722787,1 bedroom,9/5/2022,52 m²,Fully furnished,3,1.0,194.81,408.3,97.23,765.36,41.67,716.59,415.49,296.07,511.26,224.74,"Rybalkova, Prague - Vinohrady",50.0719171,14.4429188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 3,000",496356,3+kk,9/1/2022,164 m²,Fully furnished,4,,187.74,198.67,123.32,48.06,32.9,172.66,313.5,131.14,222.06,459.18,"Havlíčkova, Prague - Nové Město",50.0896186,14.4324025,"CZK 31,000",G,,Brick,,,,,,Personal,Gas boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 2,000",729064,2+kk,8/8/2022,62 m²,Fully furnished,6,1.0,133.89,534.98,98.87,163.12,157.02,73.54,334.02,280.84,454.18,358.34,Prague - Nové Město,50.07173,14.41968,"CZK 26,000",A,New-build,Brick,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
