Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Balcony,Cellar,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Terrace,Lift,Heating,Domácí mazlíčci vítáni,Parking,Enclosed balcony,Designe,Reconstruction,New-build,Garage,Age,"You will rent this apartment for approximately CZK 12,389 CZK",Plot type,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 18,990","CZK 2,579","CZK 21,569",722663,2+kk,8/16/2022,4,Brick,"CZK 21,569",47 m²,Partly,Very good,Personal,G,1.0,1.0,16.36,740.48,227.97,825.96,394.05,255.09,359.87,930.07,698.87,516.6,"U první baterie, Prague - Břevnov",50.08875722222,14.36535805555,,,,,,,,,,,,,,
"CZK 27,195","CZK 9,065",,730051,2+kk,10/15/2022,1,,,50 m²,Fully furnished,,,,1.0,,255.31,501.77,459.42,715.23,218.51,523.94,431.76,479.05,374.11,261.13,"Na Balkáně, Prague - Žižkov",50.095259,14.4941569,1.0,,,,,,,,,,,,,
"CZK 32,918","CZK 10,972",,730050,Studio,10/15/2022,2,,,35 m²,Fully furnished,,,,,,247.87,258.88,108.69,237.41,65.07,538.8,263.81,273.73,806.33,230.99,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,
"CZK 10,000","CZK 2,000","CZK 20,000",657518,Studio,5/15/2021,4,Brick,,27 m²,Partly,Very good,Personal,F,,,160.67,676.82,195.76,226.45,176.27,402.4,311.6,490.16,517.8,283.22,Prague - Vršovice,50.0701176,14.4496166,,1.0,,,,,,,,,,,,
"CZK 18,500","CZK 3,500","CZK 50,000",568046,2+kk,8/1/2019,2,Brick,,50 m²,Partly,,Personal,,,,115.31,41.79,81.3,214.82,175.84,170.31,293.77,664.87,602.76,201.56,"Vodárenská, Prague - Podolí",50.0585362,14.4205989,,,,,,,,,,,,,,
"CZK 28,000","CZK 3,904","CZK 28,000",729808,4+1,8/14/2022,1,Prefab concrete,,90 m²,Partly,Good,,G,,1.0,372.64,553.15,87.51,772.99,216.28,446.53,178.69,794.53,458.59,198.12,Prague - Chodov,50.03011,14.48337,,1.0,Central,1.0,,,,,,,,,,
"CZK 20,000","CZK 5,800","CZK 40,000",730026,3+kk,8/20/2022,4,Brick,,79 m²,Partly,Very good,,B,1.0,1.0,123.98,590.32,215.96,3442.71,251.39,175.06,693.48,435.64,573.06,105.37,Prague - Kbely,50.13218,14.5513,1.0,1.0,,1.0,1.0,,,,,,,,,
"CZK 17,000","CZK 3,253","CZK 34,000",730003,3+kk,8/15/2022,13,Prefab concrete,,48 m²,Partly,Very good,,C,,1.0,90.35,334.37,180.12,161.08,60.98,190.91,204.53,131.75,1042.05,295.0,Prague - Vokovice,50.0981,14.35827,,1.0,,,1.0,1.0,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 32,000",436544,Studio,9/1/2022,7,Brick,,39 m²,Fully furnished,Very good,Personal,,,,214.84,1026.55,103.54,289.25,12.02,147.06,348.71,303.17,388.13,427.28,"Biskupcova, Prague - Žižkov",50.090125,14.473597,,1.0,Gas boiler,,,,,,,,,,,
"CZK 15,000","CZK 3,500","CZK 30,000",660950,Studio,10/1/2022,1,Brick,,37 m²,Fully furnished,Very good,Personal,D,,1.0,58.78,415.44,123.63,280.09,0.14,348.3,97.19,129.32,470.2,310.79,"Soukenická, Prague - Nové Město",50.09157,14.43123,,1.0,Distance,,1.0,,Standard,Interior,,,,,,
"CZK 17,500","CZK 3,000","CZK 30,000",729455,2+kk,8/10/2022,3,Brick,,56 m²,Fully furnished,New-build,,A,1.0,1.0,248.28,1144.48,375.04,1366.78,712.61,394.22,1609.11,747.87,1063.69,167.62,Prague - Michle,50.0574,14.46782,,1.0,,,1.0,,,,1.0,1.0,,,,
"CZK 16,000","CZK 4,500","CZK 32,000",730015,2+kk,8/15/2022,3,Brick,,62 m²,Fully furnished,New-build,Personal,C,,1.0,102.29,69.3,166.09,181.4,195.9,148.09,676.76,368.53,654.92,639.67,Prague - Suchdol,50.13555,14.37959,,1.0,,,1.0,1.0,Luxurious,,1.0,,10 to 30 years,,,
"CZK 20,000","CZK 3,000","CZK 40,000",729985,2+kk,9/1/2022,2,Other,,66 m²,Partly,New-build,,G,,,305.27,730.44,204.38,440.06,215.35,355.2,355.33,555.91,337.08,262.6,Prague - Libeň,50.10809,14.47559,,1.0,,,,1.0,,,1.0,1.0,,,,
"CZK 17,500","CZK 1,000","CZK 25,000",730007,2+kk,9/1/2022,2,Brick,,46 m²,Fully furnished,Very good,Personal,G,,1.0,81.36,725.52,62.05,501.8,69.69,500.51,315.12,191.96,431.0,242.32,Prague - Vršovice,50.07118,14.4607,,,Electric boiler,,,,,,,,,,,
"CZK 16,700","CZK 3,000","CZK 30,000",730005,1 bedroom,8/15/2022,2,Brick,,43 m²,Partly,Very good,,F,,,140.31,577.69,111.66,240.73,76.22,133.51,193.16,217.01,516.54,227.06,Prague - Košíře,50.06889,14.36945,,,,,,,,,,,,,,
"CZK 18,500","CZK 3,296","CZK 30,000",730004,2+kk,11/1/2022,3,Brick,,56 m²,Fully furnished,New-build,,B,1.0,1.0,154.0,292.25,263.42,401.63,213.4,265.17,710.68,813.9,917.59,101.49,Prague - Uhříněves,50.02973,14.59703,,1.0,,,,,,,1.0,,,,,
"CZK 14,000","CZK 3,000","CZK 14,000",729996,2+kk,8/15/2022,5,Prefab concrete,,39 m²,Fully furnished,Good,,G,1.0,,258.84,486.12,220.91,478.78,179.92,155.7,177.17,233.12,838.22,137.98,Prague - Braník,50.02421,14.42841,,,,,,,,,,,,,,
"CZK 21,000","CZK 4,000","CZK 21,000",729997,3+kk,8/31/2022,10,Prefab concrete,,84 m²,Partly,Very good,,G,,,260.8,329.52,209.48,127.19,366.26,427.71,303.69,423.48,487.81,373.54,Prague - Háje,50.0303,14.53306,,,,,,1.0,,,,,,,,
"CZK 17,000","CZK 5,500","CZK 22,500",666580,3+1,9/1/2022,4,Prefab concrete,,70 m²,Partly,Good,Cooperative,D,,,223.93,440.21,127.34,594.23,354.73,535.09,506.22,227.2,639.45,171.86,"Vrátkovská, Prague - Strašnice",50.07767,14.49751,,,,,,1.0,,,,,,,,
"CZK 25,000","CZK 5,000","CZK 30,000",672188,4+kk,9/1/2022,6,Prefab concrete,,75 m²,Partly,Very good,Personal,G,,1.0,347.99,1372.18,309.17,1447.54,319.26,1437.07,229.32,179.55,810.33,112.39,"Pertoldova, Prague - Modřany",50.00133,14.43075,,1.0,,,1.0,1.0,,,,,,,,
"CZK 9,800",CZK 600,"CZK 9,800",729995,Small studio,8/15/2022,2,Brick,,23 m²,Partly,Very good,,G,,,88.55,218.51,87.34,265.33,101.22,363.34,431.17,555.65,409.01,250.43,Prague - Vršovice,50.067,14.4571,,,,,,,,,,,,,,
"CZK 17,500","CZK 2,500","CZK 25,000",404507,2+kk,8/15/2022,3,Brick,,44 m²,Unfurnished,Very good,Personal,,1.0,1.0,314.12,465.35,344.55,234.05,291.91,454.65,173.32,780.57,389.91,135.89,Prague - Podolí,50.0561286,14.4214707,,1.0,Central,,1.0,,Standard,Complete,,,,,,
"CZK 16,400","CZK 2,919","CZK 19,319",729992,Studio,8/15/2022,1,Brick,,38 m²,Fully furnished,New-build,Personal,B,1.0,1.0,432.29,869.99,174.64,599.8,284.14,257.83,648.15,747.88,800.5,599.28,Prague - Libeň,50.1045744,14.4729762,,1.0,,,1.0,,Luxurious,Complete,1.0,,Up to 10 years,,,
"CZK 25,000","CZK 7,000","CZK 50,000",726082,1 bedroom,7/17/2022,-1,Brick,,46 m²,Fully furnished,New-build,Personal,E,,,175.91,451.22,76.55,200.12,61.87,336.74,535.56,596.58,855.68,467.15,Prague - Nové Město,50.07405,14.4145,,,,,,,Luxurious,Complete,,,Over 50 years,,,
"CZK 40,000","CZK 7,000","CZK 80,000",726083,2 bedroom,7/17/2022,4,Brick,,75 m²,Fully furnished,Very good,,E,,,175.91,451.22,76.55,200.12,61.87,336.74,535.56,596.58,855.68,467.15,Prague - Nové Město,50.07405,14.4145,,,,,,,Luxurious,Complete,,,,,,
"CZK 17,000","CZK 4,000","CZK 20,000",697632,2 bedroom,9/1/2022,2,Brick,,50 m²,Partly,Very good,Personal,G,,1.0,202.75,626.69,131.47,235.42,366.83,797.87,96.63,608.21,504.06,68.68,"náměstí Na Balabence, Prague - Libeň",50.10566,14.48235,,1.0,Electric boiler,,,1.0,Standard,Complete,,,,,,
"CZK 20,000","CZK 5,000","CZK 20,000",729979,2+kk,8/15/2022,1,Other,,52 m²,Fully furnished,Very good,,G,1.0,,147.37,951.08,153.05,538.29,374.51,662.93,209.14,1932.17,914.36,242.91,Prague - Zličín,50.05715,14.28452,,1.0,,1.0,1.0,,,,,,,,,
"CZK 12,250","CZK 2,500","CZK 20,000",729982,Small studio,8/15/2022,1,Prefab concrete,,28 m²,Partly,Very good,,A,,,197.88,567.55,116.62,560.2,237.87,223.94,167.65,357.33,864.48,3.75,Prague - Braník,50.02347,14.42741,,,,,,,,,,,,,,
