Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Balcony,Lift,Terrace,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Cellar,Domácí mazlíčci vítáni,Parking,Ownership,Reconstruction,Age,Designe,Enclosed balcony,Heating,New-build,Garage,Administrative fee,Plot type
"CZK 39,000","CZK 13,000",728062,2 bedroom,9/30/2022,92 m²,Fully furnished,7,1.0,1.0,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",729347,Studio,10/10/2022,42 m²,Fully furnished,6,1.0,1.0,1.0,281.75,307.61,213.79,334.55,123.9,263.48,107.78,215.2,467.08,403.1,"Krásova, Prague - Žižkov",50.0830503,14.4473656,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",730188,1 bedroom,10/16/2022,45 m²,Fully furnished,3,,1.0,,153.03,376.72,146.99,646.6,45.07,502.75,147.12,62.23,673.09,485.89,"Jana Masaryka, Prague - Vinohrady",50.0723321,14.4399493,,,,,,,,,,,,,,,,,
"CZK 48,435","CZK 16,145",730649,3+1,10/20/2022,108 m²,Fully furnished,3,,1.0,,170.36,424.31,260.04,428.7,73.65,305.75,38.65,29.43,439.38,720.46,"Balbínova, Prague - Vinohrady",50.0795643,14.4361068,,,,,,,,,,,,,,,,,
"CZK 32,918","CZK 10,972",730648,Studio,10/20/2022,35 m²,Fully furnished,2,,,,247.87,258.88,108.69,237.41,65.07,538.8,263.81,273.73,806.33,230.99,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,,,,
"CZK 28,050","CZK 9,350",730647,Studio,10/20/2022,40 m²,Fully furnished,2,1.0,,1.0,87.49,353.69,89.13,198.59,58.79,391.02,424.91,274.28,259.74,601.22,"Zborovská, Prague - Smíchov",50.0730353,14.4083714,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,800",730026,3+kk,8/20/2022,79 m²,Partly,4,1.0,1.0,1.0,123.98,590.32,215.96,3442.71,251.39,175.06,693.48,435.64,573.06,105.37,Prague - Kbely,50.13218,14.5513,"CZK 40,000",B,Very good,Brick,1.0,1.0,1.0,,,,,,,,,,
"CZK 26,000","CZK 7,900",548506,2+kk,8/21/2022,54 m²,Fully furnished,4,,1.0,,196.54,708.6,185.89,175.43,33.46,257.8,76.89,276.1,130.26,252.34,"Vyšehradská, Prague - Nové Město",50.0694781,14.418098,"CZK 50,000",B,,Brick,1.0,,,Personal,Complete,Up to 10 years,Luxurious,,,,,,
"CZK 20,000","CZK 8,000",730639,3+1,10/1/2022,90 m²,Partly,3,,,,44.22,1189.1,576.92,1480.73,532.01,1178.75,1005.21,708.52,1105.27,393.01,Prague - Braník,50.04159,14.42236,"CZK 28,000",G,Good,Brick,,,,,,,,,,,,,
"CZK 18,000","CZK 5,000",552552,2+kk,10/1/2022,63 m²,Partly,3,1.0,,,280.09,1497.21,807.48,1588.99,980.25,1360.6,1441.37,1351.06,2122.56,1106.49,Prague - Uhříněves,50.034912,14.5808621,"CZK 30,000",,Very good,Brick,1.0,,,Personal,,,,,,,,,
"CZK 23,000","CZK 2,091",730638,3+kk,8/20/2022,68 m²,Partly,8,,1.0,,359.8,896.27,372.32,643.41,170.94,405.27,358.15,398.69,688.26,211.72,Prague - Chodov,50.02743,14.52485,"CZK 50,000",C,Very good,Prefab concrete,1.0,,,,,,,1.0,,,,,
"CZK 17,250","CZK 5,750",727831,3+kk,9/15/2022,90 m²,Fully furnished,2,,1.0,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000",729979,2+kk,8/15/2022,52 m²,Fully furnished,1,1.0,1.0,,147.37,951.08,153.05,538.29,374.51,662.93,209.14,1932.17,914.36,242.91,Prague - Zličín,50.05715,14.28452,"CZK 20,000",G,Very good,Other,,1.0,1.0,,,,,,,,,,
"CZK 10,900","CZK 3,798",730631,2+kk,9/1/2022,43 m²,Partly,8,,,,256.32,973.77,271.19,227.25,271.81,311.37,128.71,282.21,617.34,142.38,Prague - Stodůlky,50.04385,14.31908,"CZK 14,698",G,Good,Prefab concrete,1.0,,,,,,,,,,,,
"CZK 14,000","CZK 7,500",621436,Studio,9/1/2022,40 m²,Fully furnished,1,,,,324.8,935.35,338.0,1038.12,168.04,650.8,580.16,549.31,350.29,231.28,"Nad Závěrkou, Prague - Břevnov",50.082898,14.379058,"CZK 16,000",G,Very good,Brick,1.0,,,Personal,,,,,,,,,
"CZK 18,000",CZK 0,730625,2 bedroom,8/20/2022,70 m²,Partly,1,,,,116.18,1129.79,507.6,1052.84,342.54,826.51,467.99,680.11,864.92,474.26,Prague - Řepy,50.07081,14.30226,"CZK 16,000",G,Good,Brick,,1.0,1.0,,Interior,Over 50 years,,,,,,,
"CZK 11,000","CZK 4,000",730624,Studio,8/20/2022,28 m²,Unfurnished,7,1.0,,,119.98,1168.68,56.38,891.37,188.67,280.53,212.88,125.07,277.81,185.93,Prague - Vokovice,50.09763,14.34768,"CZK 13,800",G,Very good,Prefab concrete,,,,,,,,,,,,,
"CZK 17,000","CZK 3,000",678107,3+1,10/1/2022,82 m²,Partly,4,1.0,1.0,,139.15,489.42,691.61,2969.27,540.85,838.62,952.02,1515.86,1660.06,368.03,"V Rohu, Prague - Libuš",50.01091,14.46631,"CZK 30,000",C,Very good,Prefab concrete,1.0,,,Cooperative,Bathroom unit,,,,Central,,,,
