Price,Fees,Refundable security deposit,Listing ID,Layout,Condition,Ownership,EPC,Floor space,Avaliable from,Floor,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Reconstruction,Fully furnished,Heating,Designe,Cellar,Balcony,Terrace,Enclosed balcony,Age,New-build,Parking,Garage,Domácí mazlíčci vítáni,Administrative fee,Plot type
"CZK 16,000",CZK 600,"CZK 16,000",624990,2 bedroom,Good,Personal,E,60 m²,9/7/2020,2,Brick,1.0,165.58,704.11,211.41,196.9,129.03,337.11,559.55,554.51,499.96,268.51,"Žerotínova, Prague - Žižkov",50.088534,14.4649585,,,,,,,,,,,,,,,
"CZK 13,000","CZK 2,500","CZK 11,000",112065,Small studio,Very good,Cooperative,C,32 m²,,3,Brick,1.0,295.27,769.79,360.39,695.89,310.63,789.36,458.91,343.44,592.3,202.7,"Ruská 90, Prague - Vršovice",50.0729513923,14.4642949104,Complete,Fully furnished,Gas boiler,Standard,1.0,,,,,,,,,,
"CZK 12,000","CZK 2,000",CZK 0,461122,Studio,,Personal,,30 m²,8/21/2022,1,Prefab concrete,,305.74,951.75,331.05,1019.95,530.0,1302.5,505.82,1258.14,924.82,244.19,"Klapálkova, Prague - Chodov",50.0437747,14.4959001,,Fully furnished,Distance,,,,,,,,,,,,
"CZK 47,340","CZK 15,780",,717682,2+kk,,,,69 m²,8/23/2022,6,,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,,Fully furnished,,,,1.0,1.0,,,,,,,,
"CZK 14,900","CZK 2,900","CZK 12,000",713712,2+kk,Very good,Personal,E,51 m²,9/1/2022,3,Brick,,128.9,745.76,104.94,191.13,29.28,808.95,276.05,437.33,713.68,163.41,"Jaurisova, Prague - Nusle",50.0596745,14.4494645,,Partly,Electric boiler,Standard,1.0,,,,,,,,,,
"CZK 18,000","CZK 6,000","CZK 48,000",730751,3+1,Very good,,A,74 m²,9/1/2022,7,Prefab concrete,,470.4,578.25,456.92,542.52,449.65,680.13,226.91,329.24,961.92,141.08,Prague - Řepy,50.06267,14.30506,,Partly,,,,,,1.0,,,,,,,
"CZK 14,500","CZK 3,000","CZK 29,000",147926,2+kk,Very good,Personal,B,45 m²,11/1/2022,3,Brick,,140.36,1538.25,310.84,1816.92,368.3,357.37,945.26,368.13,1082.06,17.82,"Bratislavská, Prague - Hostivař",50.0437706,14.5156536,,Partly,Central,Standard,,1.0,,,,,,,,,
"CZK 22,000","CZK 3,000","CZK 23,000",600303,2+kk,Very good,Personal,A,60 m²,9/1/2022,4,Brick,1.0,209.59,223.23,37.16,194.83,38.85,132.16,95.36,317.71,278.11,367.81,"Štítného, Prague - Žižkov",50.085184,14.452429,Complete,Fully furnished,,Standard,,1.0,,,Up to 10 years,,,,,,
"CZK 13,500","CZK 2,826","CZK 27,000",730746,Studio,Very good,,G,29 m²,9/1/2022,3,Brick,1.0,207.73,569.54,301.26,370.44,171.38,378.02,505.22,643.85,770.01,187.08,Prague - Libeň,50.1252,14.46909,,Fully furnished,,,1.0,,,,,1.0,,,,,
"CZK 19,000","CZK 3,200","CZK 38,000",730739,2 bedroom,Very good,,D,58 m²,8/21/2022,2,Brick,1.0,275.75,84.74,111.47,326.1,28.63,172.83,35.66,239.04,835.07,811.97,Prague - Vinohrady,50.07328,14.4362,,Partly,,,,,,,,,1.0,,,,
