Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,Floor space,Fully furnished,Floor,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Condition,Balcony,Parking,Enclosed balcony,Age,Reconstruction,Heating,Designe,Garage,New-build,Domácí mazlíčci vítáni,Cellar,Terrace,Administrative fee,Plot type
"CZK 10,700",CZK 860,"CZK 21,400",410669,1 bedroom,10/1/2022,Personal,34 m²,Partly,3,Brick,1.0,230.65,1392.41,158.0,877.3,201.79,445.72,362.79,745.16,457.82,104.46,"Primátorská, Prague - Libeň",50.1127192,14.472558,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 3,000","CZK 17,500",730887,Studio,9/1/2022,,32 m²,Unfurnished,2,Brick,,206.99,98.74,186.83,303.03,210.81,162.87,479.01,479.46,1222.77,257.9,Prague - Vokovice,50.09689,14.3627,G,Very good,,,,,,,,,,,,,,
"CZK 16,000","CZK 5,000","CZK 32,000",730886,2 bedroom,9/1/2022,,54 m²,Partly,7,Prefab concrete,1.0,117.55,283.24,47.76,49.82,100.77,45.16,286.2,328.77,1133.85,162.62,Prague - Vokovice,50.09735,14.35869,G,Very good,1.0,,,,,,,,,,,,,
"CZK 17,000","CZK 5,000","CZK 34,000",730297,Studio,9/1/2022,,38 m²,Fully furnished,5,Low-energy,1.0,280.58,594.53,280.71,334.69,330.61,408.9,573.31,547.03,561.08,221.57,Prague - Strašnice,50.07897,14.48762,C,Very good,1.0,1.0,,,,,,,,,,,,
"CZK 22,000","CZK 5,000","CZK 27,000",730882,3+1,8/28/2022,,76 m²,Partly,3,Prefab concrete,,442.67,1565.03,308.03,1557.68,804.05,517.2,342.47,108.55,701.73,262.84,Prague - Kamýk,50.01374,14.43016,A,Good,,,1.0,,,,,,,,,,,
"CZK 27,000","CZK 7,000","CZK 30,000",601657,3+kk,9/1/2022,Personal,92 m²,Fully furnished,1,Brick,,385.44,258.55,28.35,299.17,17.26,478.16,328.59,513.48,872.36,214.33,"Jagellonská, Prague - Vinohrady",50.079319,14.453,G,Very good,,,,Up to 10 years,Interior,Gas boiler,Standard,,,,,,,
"CZK 12,000","CZK 1,500","CZK 24,000",505631,1 bedroom,8/15/2022,Personal,34 m²,Fully furnished,2,Brick,,179.37,297.82,106.8,303.76,116.11,358.08,307.02,241.35,495.87,520.5,"Bělehradská, Prague - Vinohrady",50.0713759,14.4333425,,,,,,Up to 10 years,Complete,Electric boiler,Standard,,,,,,,
"CZK 23,000",CZK 0,"CZK 23,000",730874,2+kk,8/22/2022,,65 m²,Unfurnished,4,Brick,1.0,39.31,419.67,50.49,81.81,83.87,256.63,436.01,216.74,822.44,308.5,Prague - Žižkov,50.07779,14.45755,G,Very good,1.0,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",,729753,3+1,9/23/2022,,90 m²,Fully furnished,5,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,
"CZK 14,947","CZK 4,982",,730872,Studio,8/24/2022,,19 m²,Fully furnished,1,,,126.19,670.53,145.31,408.99,138.64,543.24,178.24,219.08,298.17,317.3,"Kodaňská, Prague - Vršovice",50.0701958,14.4617404,,,,,,,,,,,,,,,,
