Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Heating,Condition,Ownership,Age,Balcony,Parking,New-build,Terrace,Reconstruction,EPC,Designe,Cellar,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee
"CZK 48,435","CZK 16,145",730649,3+1,10/20/2022,108 m²,Fully furnished,3,1.0,170.36,424.31,260.04,428.7,73.65,305.75,38.65,29.43,439.38,720.46,"Balbínova, Prague - Vinohrady",50.0795643,14.4361068,,,,,,,,,,,,,,,,,,
"CZK 29,250","CZK 9,750",725020,2 bedroom,9/19/2022,65 m²,Fully furnished,3,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,
"CZK 18,852","CZK 5,148",497125,2+kk,1/24/2021,55 m²,Fully furnished,1,1.0,289.31,1030.71,185.29,875.56,580.15,1000.2,374.44,2240.15,1249.45,201.42,"Sazovická, Prague - Zličín",50.0570157,14.2807456,"CZK 24,000",Brick,Central,New-build,Personal,Up to 10 years,1.0,1.0,1.0,,,,,,,,,
"CZK 28,050","CZK 9,350",730647,Studio,10/20/2022,40 m²,Fully furnished,2,,87.49,353.69,89.13,198.59,58.79,391.02,424.91,274.28,259.74,601.22,"Zborovská, Prague - Smíchov",50.0730353,14.4083714,,,,,,,1.0,,,1.0,,,,,,,,
"CZK 29,250","CZK 9,750",724407,2 bedroom,9/19/2022,65 m²,Fully furnished,4,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 7,500",166213,2 bedroom,9/11/2022,72 m²,Fully furnished,3,,43.02,651.84,58.12,105.85,62.56,114.65,182.82,529.84,274.61,537.47,"Spálená, Prague - Nové Město",50.0808055,14.4197518,"CZK 32,500",Brick,Gas boiler,Very good,Personal,Up to 10 years,,,,,Complete,C,Standard,,,,,
"CZK 9,000",CZK 390,731103,3+1,8/24/2022,76 m²,Fully furnished,5,1.0,79.74,770.57,132.58,1368.56,281.73,214.96,533.26,309.42,828.07,181.57,Prague - Kamýk,50.01571,14.4436,"CZK 10,000",Prefab concrete,,Very good,,,1.0,,,,,B,,1.0,,,,
"CZK 10,500","CZK 4,500",711409,2+kk,3/23/2022,46 m²,Partly,3,,521.42,2077.13,532.02,1649.82,569.85,1824.82,1820.22,2998.2,603.67,243.31,"Travná, Prague - Kyje",50.08319,14.5551,"CZK 29,000",Prefab concrete,,Very good,Personal,,,,,,,G,,1.0,,,,
"CZK 16,000","CZK 1,000",731534,1 bedroom,9/15/2022,46 m²,Partly,4,1.0,322.68,961.45,241.53,635.99,345.47,659.58,372.47,616.98,945.84,448.11,Prague - Vysočany,50.10386,14.50184,"CZK 32,000",Brick,,Very good,,,,,,,,G,,1.0,,,,
"CZK 42,120","CZK 14,040",724853,2+kk,9/12/2022,45 m²,Fully furnished,4,1.0,336.41,302.29,48.66,211.39,57.6,35.65,274.52,787.09,193.2,587.05,"Opletalova, Prague - Nové Město",50.0812219,14.4297716,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 5,000",731527,2 bedroom,8/28/2022,63 m²,Partly,2,,291.33,1391.95,1026.33,1150.81,229.29,1213.85,864.59,1142.79,1548.65,918.39,Prague - Modřany,50.01346,14.407,"CZK 22,000",Brick,,Good,,,1.0,,,,,G,,,1.0,,,
"CZK 23,000","CZK 4,800",731524,2+kk,10/31/2022,50 m²,Fully furnished,4,1.0,175.62,1229.93,607.72,1211.48,880.36,1156.77,1160.04,1191.59,1059.99,422.63,Prague - Hloubětín,50.10861,14.52706,"CZK 40,000",Brick,,New-build,,,1.0,,1.0,,,G,,1.0,1.0,1.0,,
"CZK 15,500","CZK 3,000",443751,3+1,8/26/2022,62 m²,Partly,2,,362.35,947.34,303.22,885.71,543.91,563.58,160.66,206.03,203.73,112.77,"Litvínovská, Prague - Prosek",50.1223913,14.4872322,"CZK 15,500",Prefab concrete,Distance,,Cooperative,,1.0,,,,,,,1.0,,,,
