Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Reconstruction,Condition,Ownership,EPC,Heating,Designe,Terrace,Balcony,New-build,Garage,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Cellar,Administrative fee
"CZK 52,500","CZK 17,500",731817,2+kk,10/30/2022,80 m²,Fully furnished,3,1.0,281.86,547.59,69.97,211.73,9.84,221.9,245.36,614.41,367.39,520.5,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,,,,,,,,,,,,,,,,,,
"CZK 55,000","CZK 12,000",600532,4+1,8/26/2022,165 m²,Partly,6,1.0,281.19,218.92,349.21,355.1,68.81,419.51,195.94,539.69,525.15,308.24,"Janáčkovo Nábřeží, Prague - Smíchov",50.0756819,14.4085242,"CZK 60,000",Brick,Up to 10 years,Interior,Very good,Personal,G,Central,Luxurious,1.0,,,,,,,,
"CZK 17,120","CZK 5,000",509997,2+kk,9/1/2022,56 m²,Fully furnished,1,,742.13,400.25,652.82,1532.69,674.16,440.63,311.54,533.65,806.07,419.78,"Klausova, Prague - Stodůlky",50.0370525,14.3446198,"CZK 20,000",Brick,10 to 30 years,Interior,Very good,Personal,,Gas boiler,Standard,,,,,,,,,
"CZK 30,000","CZK 9,000",606435,3+1,9/12/2022,136 m²,Unfurnished,2,1.0,281.19,218.92,349.21,355.1,68.81,419.51,195.94,539.69,525.15,308.24,"Janáčkovo Nábřeží, Prague - Smíchov",50.075681,14.408523,"CZK 30,000",Brick,,,Good,Personal,G,,,,,,,,,,,
"CZK 14,500","CZK 3,000",731806,Studio,9/1/2022,45 m²,Partly,3,1.0,192.27,910.61,150.25,326.7,59.39,306.72,360.7,594.12,374.26,65.73,Prague - Libeň,50.10481,14.488,"CZK 20,000",Brick,,,New-build,,G,,,,1.0,1.0,1.0,,,,,
"CZK 10,000","CZK 4,500",532966,1 bedroom,9/15/2022,50 m²,Fully furnished,,,42.39,900.33,776.91,1023.52,561.54,907.81,1006.95,861.82,711.36,235.65,Prague - Modřany,49.9991704,14.4145554,"CZK 10,000",Brick,Up to 10 years,Complete,Very good,Personal,C,Electric boiler,Luxurious,,,,,,,,,
"CZK 17,000","CZK 3,500",731795,2+kk,9/1/2022,40 m²,Fully furnished,1,,240.07,1265.84,601.84,894.93,796.68,1344.68,1267.55,1254.31,1267.28,235.71,Prague - Suchdol,50.13334,14.36768,"CZK 17,000",Brick,,,Very good,,G,,,1.0,,,1.0,1.0,,,,
"CZK 14,300","CZK 4,500",570939,2+kk,10/1/2022,51 m²,Partly,4,1.0,255.25,900.9,507.92,712.89,632.52,415.84,496.78,572.0,1241.58,406.47,"U Továren, Prague - Horní Měcholupy",50.040586,14.568464,"CZK 25,000",Brick,,,New-build,Personal,B,Distance,,,1.0,1.0,1.0,,,,,
"CZK 19,000","CZK 5,000",731794,3+1,8/30/2022,85 m²,Partly,4,,167.55,1458.44,212.29,1498.41,144.74,133.82,626.74,223.89,1153.45,11.8,Prague - Hostivař,50.04536,14.51707,"CZK 24,000",Prefab concrete,,,Very good,,G,,,,,,,,1.0,,,
"CZK 12,000","CZK 6,000",588580,1 bedroom,6/1/2022,40 m²,Fully furnished,1,,87.62,199.98,94.39,16.26,97.48,177.74,263.1,459.6,475.82,231.83,"Boleslavova, Prague - Nusle",50.064228,14.439752,"CZK 20,000",Brick,Over 50 years,Complete,Very good,Personal,D,Electric boiler,Standard,,,,,,,,,
