Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Cellar,Lift,Domácí mazlíčci vítáni,Enclosed balcony,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Designe,Ownership,Reconstruction,Age,Terrace,Parking,New-build,Balcony,Garage,Administrative fee,Plot type
"CZK 16,000","CZK 7,552","CZK 16,000",731913,2 bedroom,8/31/2022,5,C,58 m²,Partly,Very good,Prefab concrete,1.0,1.0,1.0,1.0,126.86,927.75,528.62,1209.72,132.49,569.33,339.56,480.48,640.96,436.23,Prague - Záběhlice,50.05248,14.49585,,,,,,,,,,,,
"CZK 17,500","CZK 3,300","CZK 30,000",595404,2+kk,9/15/2022,2,G,59 m²,Fully furnished,Very good,Brick,,1.0,,,152.49,499.22,46.55,311.7,38.37,262.23,601.18,756.95,281.48,302.67,"U Průhonu, Prague - Holešovice",50.105017,14.453814,Gas boiler,Standard,Personal,Complete,,,,,,,,
"CZK 17,250","CZK 5,750",,731385,3+1,10/26/2022,5,,90 m²,Fully furnished,,,,1.0,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,
"CZK 28,000","CZK 5,500","CZK 50,000",731960,3+kk,10/1/2022,5,B,81 m²,Fully furnished,New-build,Brick,,1.0,,,393.03,1027.39,258.04,1001.43,706.51,542.62,526.95,452.48,1226.06,80.7,Prague - Střížkov,50.13044,14.49426,Electric boiler,Standard,,,Up to 10 years,1.0,1.0,1.0,,,,
"CZK 12,900","CZK 2,500","CZK 10,000",437867,Studio,8/31/2022,6,A,33 m²,Fully furnished,,Brick,1.0,1.0,,,62.05,411.22,306.49,475.03,515.07,409.61,391.02,403.63,1177.59,279.32,"Zrzavého, Prague - Řepy",50.0664599,14.3106597,,,Personal,,,,1.0,1.0,,,,
"CZK 15,000","CZK 4,000","CZK 30,000",553174,Studio,,4,,35 m²,Fully furnished,New-build,Brick,,1.0,,1.0,214.44,992.27,79.44,917.37,516.16,364.03,491.84,368.42,1047.46,99.74,Prague - Střížkov,50.1294478,14.4931442,Central,,Personal,,Up to 10 years,,,1.0,1.0,1.0,,
"CZK 16,000","CZK 5,000","CZK 21,000",666042,2 bedroom,9/1/2022,6,G,59 m²,Partly,Very good,Brick,,1.0,,,117.5,270.46,138.74,133.57,38.01,277.34,47.26,66.93,685.67,257.65,Prague - Vinohrady,50.076212,14.4539725,Distance,,Personal,,,,,,,,,
"CZK 16,000","CZK 3,300","CZK 19,999",654680,Studio,9/1/2022,1,B,37 m²,Fully furnished,New-build,Other,1.0,1.0,,,54.47,1047.39,47.89,203.63,180.78,183.66,351.8,729.1,319.84,105.46,"Kurta Konráda, Prague - Libeň",50.10375,14.48892,,,Personal,,,,,,1.0,,,
"CZK 14,000","CZK 4,000","CZK 18,000",457628,Studio,9/1/2022,,D,41 m²,Fully furnished,,Brick,,,,,84.46,1099.48,35.23,484.88,31.71,361.35,305.51,374.88,481.07,172.77,"Terronská, Prague - Bubeneč",50.108673,14.3955801,,,Personal,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 16,000",731912,1 bedroom,11/1/2022,3,G,41 m²,Fully furnished,Very good,Brick,,1.0,1.0,,50.4,136.37,17.92,343.39,46.61,70.87,203.62,387.13,82.88,253.52,Prague - Žižkov,50.08769,14.45695,Central,Standard,,Complete,Up to 10 years,,,1.0,1.0,,,
