Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Designe,Floor space,Fully furnished,Condition,Ownership,EPC,Heating,Balcony,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Lift,Cellar,New-build,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Reconstruction,Administrative fee,Plot type
"CZK 24,990","CZK 5,000","CZK 50,000",732234,3+kk,9/3/2022,2,Brick,Up to 10 years,Standard,100 m²,Fully furnished,Very good,Personal,C,Central,1.0,1.0,407.13,1424.18,250.92,1362.56,410.67,783.94,319.99,524.97,364.23,289.83,Prague - Střížkov,50.12272,14.48252,,,,,,,,,,
"CZK 20,250","CZK 6,750",,731156,2+kk,10/24/2022,2,,,,49 m²,Fully furnished,,,,,,,84.02,732.97,86.86,659.07,276.51,744.0,408.19,306.62,634.43,198.98,"Na Míčánkách, Prague - Vršovice",50.0713305,14.4638794,1.0,,,,,,,,,
"CZK 10,500","CZK 4,500","CZK 29,000",711409,2+kk,3/23/2022,3,Prefab concrete,,,46 m²,Partly,Very good,Personal,G,,,,521.42,2077.13,532.02,1649.82,569.85,1824.82,1820.22,2998.2,603.67,243.31,"Travná, Prague - Kyje",50.08319,14.5551,,1.0,,,,,,,,
"CZK 16,000","CZK 1,000","CZK 32,000",731534,1 bedroom,9/15/2022,4,Brick,,,46 m²,Partly,Very good,,G,,,,322.68,961.45,241.53,635.99,345.47,659.58,372.47,616.98,945.84,448.11,Prague - Vysočany,50.10386,14.50184,1.0,1.0,,,,,,,,
"CZK 25,500","CZK 8,500",,732231,2+kk,11/2/2022,3,,,,48 m²,Fully furnished,,,,,,,188.32,492.36,64.31,169.76,16.44,202.35,307.51,551.4,544.96,488.43,"Řeznická, Prague - Nové Město",50.0781758,14.4220203,1.0,,,,,,,,,
"CZK 19,000","CZK 3,000","CZK 30,000",671335,1 bedroom,9/4/2022,1,Brick,,Standard,55 m²,Unfurnished,Very good,Personal,D,Gas boiler,1.0,,218.96,279.22,100.73,113.01,48.6,155.53,81.44,237.22,685.21,722.44,"Londýnská, Prague - Vinohrady",50.07377,14.43387,1.0,,,,,,,,,
"CZK 19,900","CZK 4,000","CZK 29,000",629096,2+kk,9/5/2022,2,Low-energy,Up to 10 years,Luxurious,41 m²,Fully furnished,New-build,Personal,B,Distance,1.0,1.0,331.52,2493.87,383.34,2607.3,397.92,2223.32,1746.88,1752.63,1345.22,423.05,"Na Komořsku, Prague - Modřany",49.989154,14.414205,1.0,1.0,1.0,1.0,,,,,,
"CZK 24,500","CZK 4,500","CZK 40,000",732210,3+kk,9/2/2022,2,Brick,10 to 30 years,,80 m²,Partly,New-build,Personal,C,,,,306.45,904.35,99.14,752.7,457.28,877.34,251.57,2117.28,1126.59,133.25,Prague - Zličín,50.05815,14.28198,1.0,1.0,1.0,1.0,1.0,,,,,
"CZK 23,000","CZK 4,800","CZK 40,000",731524,2+kk,10/31/2022,4,Brick,,,50 m²,Fully furnished,New-build,,G,,1.0,1.0,175.62,1229.93,607.72,1211.48,880.36,1156.77,1160.04,1191.59,1059.99,422.63,Prague - Hloubětín,50.10861,14.52706,1.0,1.0,1.0,,,1.0,,,,
"CZK 15,500","CZK 3,000","CZK 15,500",443751,3+1,8/26/2022,2,Prefab concrete,,,62 m²,Partly,,Cooperative,,Distance,1.0,,362.35,947.34,303.22,885.71,543.91,563.58,160.66,206.03,203.73,112.77,"Litvínovská, Prague - Prosek",50.1223913,14.4872322,,1.0,,,,,,,,
"CZK 20,000","CZK 3,000","CZK 20,000",732216,2+kk,9/2/2022,1,Brick,,,45 m²,Partly,Very good,,G,,,,179.45,1027.37,11.05,421.31,140.78,401.33,243.99,475.13,225.65,95.78,Prague - Libeň,50.1054,14.48955,,1.0,,,,1.0,,,,
"CZK 29,000","CZK 5,500","CZK 50,000",718097,3+kk,5/10/2022,2,Brick,,,93 m²,Unfurnished,New-build,Personal,B,,,1.0,162.21,1473.55,504.27,1766.39,507.7,763.75,846.86,337.34,864.33,638.75,"Čertův vršek, Prague - Libeň",50.1178403,14.4735782,1.0,1.0,,,,,1.0,,,
"CZK 10,000","CZK 2,300","CZK 12,300",732213,2+kk,9/2/2022,1,Brick,,,66 m²,Fully furnished,Very good,,G,,1.0,,88.02,241.9,85.02,60.22,31.73,119.05,94.7,350.13,305.11,355.51,Prague - Nové Město,50.09086,14.42827,1.0,1.0,,1.0,,,,,,
"CZK 24,000","CZK 7,000","CZK 30,000",731517,3+kk,8/28/2022,3,Brick,,,86 m²,Unfurnished,New-build,,G,,,1.0,509.21,1017.76,339.64,984.05,686.64,1108.7,480.93,2346.64,1355.94,246.66,Prague - Zličín,50.05875,14.28025,1.0,,1.0,1.0,,,1.0,,,
"CZK 12,000","CZK 3,500","CZK 24,000",732205,Small studio,10/1/2022,5,Prefab concrete,,,29 m²,Unfurnished,New-build,,B,,1.0,,32.63,1115.2,113.22,723.1,2.3,421.54,351.1,606.38,454.41,336.97,Prague - Libeň,50.10602,14.49121,1.0,,1.0,,1.0,1.0,,,,
"CZK 10,490","CZK 2,580","CZK 20,000",730161,Studio,9/30/2022,1,Prefab concrete,,,22 m²,Partly,Very good,,A,Central,,,313.68,468.15,553.55,2697.95,331.92,485.82,741.2,610.42,1689.93,249.23,Prague - Čimice,50.14157,14.43307,1.0,,,1.0,,1.0,,Complete,,
CZK 1,CZK 1,CZK 1,413102,Studio,8/31/2022,2,Prefab concrete,,,24 m²,Fully furnished,,Personal,,,1.0,,253.56,1033.66,372.0,990.89,263.04,417.24,805.51,823.05,313.14,77.75,Prague - Malešice,50.0842092,14.5135598,,,,,,,,,,
"CZK 21,500","CZK 4,000","CZK 43,000",725359,2 bedroom,8/28/2022,1,Brick,10 to 30 years,Luxurious,80 m²,Partly,Very good,Personal,,,1.0,,379.01,2220.31,438.76,1628.78,367.87,1674.19,2055.82,2977.16,401.69,189.22,Prague - Hostavice,50.08462,14.55603,,,,1.0,,,1.0,,,
"CZK 19,500","CZK 4,000","CZK 20,000",731500,2+kk,8/28/2022,3,Brick,,,56 m²,Fully furnished,Good,,G,,,,209.2,203.62,121.84,164.25,117.73,226.53,317.15,606.56,494.08,264.58,Prague - Dejvice,50.09802,14.39842,,1.0,,,,,,,,
"CZK 17,000","CZK 3,000","CZK 20,000",680619,2+kk,9/10/2022,4,Brick,Up to 10 years,,42 m²,Fully furnished,New-build,Personal,G,Central,1.0,,366.0,749.46,232.71,850.17,282.07,440.67,709.99,695.67,470.69,307.11,"U Hranic, Prague - Strašnice",50.06921075,14.484043897371,1.0,1.0,,,,,,,,
"CZK 9,718","CZK 1,168","CZK 21,772",633999,Studio,9/5/2022,-1,Brick,,,22 m²,Partly,Good,Personal,A,Gas boiler,,,360.59,844.3,481.8,540.44,465.43,498.42,485.37,599.7,327.41,240.15,"Ocelářská, Prague - Vysočany",50.10652,14.497508,1.0,,,,,,,Complete,,
"CZK 14,000","CZK 3,500","CZK 25,000",695310,Studio,10/1/2022,1,Brick,,,40 m²,Fully furnished,Very good,Personal,E,Central,,,394.49,1024.78,403.26,1011.66,597.66,653.23,690.05,512.4,182.93,374.21,"Za Stadionem, Prague - Strašnice",50.08465,14.49003,,1.0,,,1.0,,,,,
"CZK 16,000","CZK 2,500","CZK 32,000",654986,2+kk,10/1/2022,2,Brick,,,45 m²,Partly,Very good,Personal,G,,,,158.26,221.8,107.73,120.81,127.51,154.46,117.14,468.65,157.02,174.27,"Nad Primaskou, Prague - Strašnice",50.07483,14.49146,,1.0,,,,,,Interior,,
"CZK 27,000","CZK 3,800","CZK 50,000",611890,2+kk,10/1/2022,6,Prefab concrete,Up to 10 years,Luxurious,56 m²,Partly,New-build,Personal,B,Distance,,1.0,458.22,1359.99,749.45,4002.43,439.08,726.17,1083.68,3425.09,1173.04,431.34,"Honzíkova, Prague - Dolní Měcholupy",50.067548,14.554658,1.0,,1.0,,,,1.0,,,
"CZK 20,000","CZK 3,000","CZK 40,000",732197,2+kk,10/30/2022,3,Brick,,,69 m²,Fully furnished,Very good,,G,,,,159.91,405.02,156.31,287.94,154.49,245.19,390.39,450.11,190.9,156.36,Prague - Staré Město,50.09195,14.42392,,,,,,,,,,
"CZK 14,000","CZK 4,000","CZK 30,000",732192,2+kk,9/2/2022,1,Brick,,,53 m²,Fully furnished,Very good,,D,,,,297.49,499.61,248.3,462.71,375.46,401.77,336.83,325.3,1114.48,198.87,Prague - Veleslavín,50.09206,14.34675,,1.0,,,,,,,,
"CZK 28,000","CZK 3,000","CZK 50,000",162415,2+kk,10/30/2022,3,Brick,,Luxurious,69 m²,Fully furnished,Very good,Personal,,Gas boiler,1.0,,162.74,407.84,159.14,290.76,157.32,242.36,387.56,452.94,188.07,159.18,"Anežská, Prague - Staré Město",50.0919997,14.423822,,,,,,,1.0,Complete,,
"CZK 23,000","CZK 4,000","CZK 27,000",730199,2+kk,8/17/2022,1,Brick,Up to 10 years,Luxurious,43 m²,Fully furnished,Very good,,G,Central,1.0,,357.59,1747.78,1125.9,1506.46,596.44,846.28,429.19,909.76,445.41,393.7,Prague - Motol,50.07465,14.35863,1.0,,,1.0,,,,Complete,,
"CZK 25,000","CZK 5,000","CZK 30,000",672188,4+kk,10/1/2022,6,Prefab concrete,,,75 m²,Partly,Very good,Personal,G,,,,347.99,1372.18,309.17,1447.54,319.26,1437.07,229.32,179.55,810.33,112.39,"Pertoldova, Prague - Modřany",50.00133,14.43075,1.0,1.0,,1.0,1.0,,,,,
"CZK 19,000","CZK 4,500","CZK 30,000",732196,Studio,10/1/2022,3,Low-energy,,Luxurious,42 m²,Fully furnished,New-build,,B,,1.0,1.0,266.86,1953.91,1116.59,1712.78,452.71,1360.43,808.23,1421.57,1318.95,730.36,Prague - Modřany,50.01299,14.40002,1.0,,1.0,1.0,,,,,,
"CZK 15,500","CZK 4,450","CZK 20,000",732193,Studio,9/2/2022,3,Low-energy,,,44 m²,Partly,New-build,,B,,1.0,1.0,201.7,1308.66,142.89,1129.36,468.82,688.29,322.41,221.9,1021.18,245.67,Prague - Strašnice,50.07153,14.50459,1.0,1.0,,,,,,,,
"CZK 8,500","CZK 1,000","CZK 9,500",262080,Studio,9/3/2022,2,Brick,,,28 m²,Fully furnished,,Personal,C,Gas boiler,,,222.62,550.36,171.62,385.24,113.16,62.83,175.5,225.21,300.71,291.39,"Sámova, Prague - Vršovice",50.0670001,14.4497788,,,,,,,,,,
"CZK 35,000","CZK 7,500","CZK 70,000",726113,4+kk,7/17/2022,3,Brick,,,116 m²,Partly,Very good,Personal,C,Central,1.0,1.0,213.16,1557.4,113.33,1597.38,167.25,156.32,725.71,314.88,1252.41,63.57,Prague - Hostivař,50.04466,14.51691,1.0,1.0,,1.0,,,,,,
"CZK 18,000","CZK 1,500","CZK 18,000",284832,2+kk,9/2/2022,2,Brick,Up to 10 years,Standard,44 m²,Fully furnished,Very good,Personal,,Electric boiler,,,64.92,71.53,94.68,69.92,50.1,185.05,328.76,618.3,494.6,269.47,"Bělehradská, Prague - Nusle",50.065139,14.4397002,1.0,,,,,1.0,,Complete,,
"CZK 24,000","CZK 2,500","CZK 48,000",658687,2+kk,9/1/2022,5,Brick,,Luxurious,59 m²,Fully furnished,Very good,Personal,,Gas boiler,,,360.18,307.48,138.21,231.62,151.3,290.16,315.54,832.17,205.65,218.51,"U Studánky, Prague - Bubeneč",50.10168,14.4242,1.0,,,,,,,,,
"CZK 23,000","CZK 7,000","CZK 30,000",732187,2+kk,9/2/2022,6,Brick,,,73 m²,Fully furnished,Very good,,G,,,,248.83,872.23,134.58,353.47,40.1,307.44,429.62,916.49,469.35,969.67,Prague - Holešovice,50.10226,14.43632,1.0,,,1.0,,,,,,
"CZK 16,000","CZK 3,500","CZK 19,500",632492,2+kk,9/1/2022,3,Brick,,Standard,45 m²,Fully furnished,Very good,Personal,G,Distance,,1.0,180.84,1467.25,271.5,852.64,399.48,346.38,711.86,504.96,620.18,331.51,"Šestidomí, Prague - Bubeneč",50.111335,14.39601,,1.0,,,,,,Complete,,
"CZK 30,000","CZK 5,000","CZK 60,000",730693,3+1,8/21/2022,6,Brick,,,98 m²,Fully furnished,Very good,,D,,1.0,,206.4,463.59,26.18,490.53,132.33,56.4,300.37,399.38,623.06,491.83,Prague - Žižkov,50.08145,14.44794,1.0,1.0,,,,,1.0,,,
"CZK 16,500",CZK 133,"CZK 33,000",732021,Studio,10/20/2022,3,Other,,,26 m²,Fully furnished,Very good,,A,,,,,,,,,,,,,,Prague - Stodůlky,50.04595,14.32223,1.0,1.0,1.0,1.0,,,1.0,,,
"CZK 16,900","CZK 3,000","CZK 25,000",732183,2+kk,9/2/2022,2,Brick,,,43 m²,Partly,Very good,,G,,,,266.76,1156.69,492.06,2005.06,1050.54,1333.33,1036.47,518.88,1055.57,486.98,Prague - Čimice,50.13549,14.43959,,,,,,,1.0,,,
"CZK 23,900","CZK 3,900","CZK 35,000",577288,2+kk,9/1/2022,6,Brick,,,60 m²,Fully furnished,Very good,Personal,C,Gas boiler,1.0,,183.97,1118.9,5.8,558.34,121.65,425.24,124.13,356.18,285.18,98.76,"Drahobejlova, Prague - Libeň",50.1060756,14.4904958,1.0,1.0,,1.0,,,,,,
"CZK 21,490",CZK 600,"CZK 35,000",731474,2+kk,10/1/2022,3,Brick,,,42 m²,Partly,Very good,,A,,,,190.75,151.92,127.06,31.18,19.84,193.59,305.45,576.56,542.95,620.99,Prague - Vinohrady,50.07554,14.4342,,1.0,,,,,,,,
"CZK 19,000","CZK 4,500","CZK 38,000",731358,2 bedroom,8/26/2022,4,Brick,,,55 m²,Partly,Very good,,G,,,,150.25,683.3,33.7,536.14,225.12,553.91,246.79,271.95,393.04,186.2,Prague - Břevnov,50.08457,14.34674,1.0,,,,1.0,1.0,,,,
"CZK 18,000","CZK 4,500","CZK 30,000",641938,2+kk,9/2/2022,1,Brick,,Standard,55 m²,Partly,Very good,Personal,D,Gas boiler,,,262.41,826.17,291.47,598.66,372.6,612.72,473.47,394.95,593.4,163.71,"Ruská, Prague - Vršovice",50.073149,14.467994,,,,,,,,Complete,,
"CZK 25,000","CZK 6,000","CZK 35,000",496025,3+kk,10/1/2022,1,Brick,,,94 m²,Partly,,Personal,,Central,1.0,1.0,215.86,646.3,97.29,444.91,98.85,617.11,559.33,677.46,638.21,226.22,"V Kapslovně, Prague - Žižkov",50.086872,14.4629213,1.0,,,1.0,,,,,,
"CZK 17,000","CZK 4,500","CZK 34,000",704613,2+kk,9/2/2022,,Other,,,45 m²,Partly,New-build,Personal,A,,,,349.9,965.79,738.39,2872.55,2032.73,2110.8,1154.43,2145.63,7342.61,1482.75,"U Žlábku, Prague - Lipence",49.9605,14.36926,,,,1.0,,,,,,
"CZK 20,000","CZK 6,500","CZK 40,000",730650,2 bedroom,8/21/2022,1,Brick,,,57 m²,Partly,Very good,,G,,,,337.03,982.65,216.19,492.91,182.55,249.07,618.03,1092.42,307.77,900.29,Prague - Holešovice,50.10387,14.43538,,1.0,,,,1.0,,,,
"CZK 13,500","CZK 4,000","CZK 20,000",727571,2 bedroom,9/1/2022,4,Prefab concrete,,,54 m²,Partly,Good,Cooperative,G,,,,163.71,536.01,341.23,457.12,274.45,408.39,674.65,441.76,1026.37,118.68,Prague - Malešice,50.08159,14.5055,,1.0,,,,,,,,
"CZK 15,500","CZK 5,000","CZK 30,000",732172,Studio,9/9/2022,2,Prefab concrete,,,36 m²,Fully furnished,Very good,,G,,,,222.35,532.04,617.44,2773.68,487.57,549.71,1005.87,620.06,1954.6,114.6,Prague - Čimice,50.14355,14.43261,1.0,1.0,,,,1.0,,,,
"CZK 15,000","CZK 4,000","CZK 15,000",690420,2+kk,12/1/2022,1,Brick,10 to 30 years,Standard,43 m²,Fully furnished,Very good,Personal,E,Central,1.0,,193.65,829.36,110.53,858.71,564.34,964.85,344.54,460.0,1540.33,285.1,"Bechlínská, Prague - Letňany",50.12733,14.50289,1.0,1.0,,,,,,,,
"CZK 15,000",CZK 744,"CZK 15,000",566333,2+kk,10/3/2022,4,Brick,Over 50 years,Standard,50 m²,Partly,Very good,Personal,,Other,1.0,,247.12,458.17,198.69,340.4,205.35,155.02,267.69,313.55,208.52,374.03,"Sámova, Prague - Vršovice",50.0669292,14.4510709,1.0,1.0,,,,,,,,
"CZK 16,600","CZK 3,200","CZK 33,200",732169,3+kk,9/2/2022,3,Prefab concrete,,,68 m²,Partly,Very good,,C,,,,173.25,388.72,283.99,452.53,492.57,558.85,250.68,377.95,1208.66,194.6,Prague - Řepy,50.06546,14.31237,,1.0,,,1.0,1.0,,,,
"CZK 21,750","CZK 7,250",,732170,2+kk,9/4/2022,3,,,,56 m²,Fully furnished,,,,,,,70.48,651.68,120.37,158.26,122.08,195.97,124.22,455.88,648.75,501.88,"Klapkova, Prague - Kobylisy",50.1234603,14.456174,,,,,,,,,,
"CZK 16,900","CZK 4,900","CZK 21,800",732166,Studio,10/1/2022,1,Brick,,,40 m²,Partly,New-build,,B,,,1.0,431.98,1790.04,192.2,1091.3,358.27,456.8,743.28,258.45,328.61,778.19,Prague - Dejvice,50.11174,14.39087,1.0,1.0,,1.0,,,1.0,,,
"CZK 45,000","CZK 5,000","CZK 45,000",625132,3+kk,10/15/2022,5,Brick,,Luxurious,120 m²,Partly,Very good,Personal,G,,1.0,,298.02,582.29,118.5,369.23,72.95,352.83,295.23,336.0,673.21,91.68,"Baranova, Prague - Žižkov",50.079934,14.457769,1.0,,,,,,1.0,,,
