Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Balcony,Parking,New-build,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Terrace,Designe,Reconstruction,Cellar,Domácí mazlíčci vítáni,Age,Heating,Enclosed balcony,Garage,Plot type
"CZK 20,990","CZK 3,827","CZK 24,817",725109,2+kk,9/7/2022,6,Other,"CZK 24,817",63 m²,Partly,New-build,Personal,B,1.0,1.0,1.0,1.0,398.2,1416.77,693.72,1232.72,635.57,870.63,1111.49,712.15,619.1,290.41,"Zvěřinova, Prague - Strašnice",50.08507833333,14.48646111111,,,,,,,,,,
"CZK 19,110","CZK 6,370",,734261,2+kk,11/6/2022,-1,,,35 m²,Fully furnished,,,,1.0,,,1.0,36.05,792.81,20.0,597.08,172.08,638.36,366.32,329.81,486.26,346.96,"Dvacátého osmého pluku, Prague - Vršovice",50.0707338,14.4627954,1.0,,,,,,,,,
"CZK 31,500","CZK 10,500",,734260,2+kk,11/6/2022,5,,,41 m²,Fully furnished,,,,,,,,394.46,497.82,253.13,432.3,279.54,389.35,316.56,724.72,695.79,345.02,"Krchlebská, Prague - Krč",50.0471114,14.4429584,,,,,,,,,,
"CZK 23,265","CZK 7,755",,734259,1 bedroom,11/6/2022,5,,,34 m²,Fully furnished,,,,,,,,192.54,684.55,33.13,461.2,44.3,459.54,274.15,304.32,543.36,239.67,"Bulharská, Prague - Vršovice",50.0717467,14.4598954,,,,,,,,,,
"CZK 15,000","CZK 5,000","CZK 20,000",394340,3+kk,8/1/2022,2,Brick,,65 m²,Fully furnished,Good,Municipal,,,1.0,,,105.15,1215.58,166.3,890.12,227.38,725.86,166.47,871.11,1155.37,702.24,Prague - Vysočany,50.101475364278,14.504168211143,,Standard,Exterior,1.0,1.0,,,,,
"CZK 29,500",CZK 0,CZK 0,734158,4+kk,9/6/2022,3,Brick,,137 m²,Unfurnished,Very good,,G,1.0,,,,134.97,159.65,172.84,569.76,227.41,208.7,836.73,526.59,825.69,591.7,Prague - Libeň,50.1194,14.46146,,,,,,,,,,
"CZK 21,000","CZK 2,100","CZK 40,000",389966,2+kk,11/1/2022,2,Brick,,50 m²,Fully furnished,Good,Cooperative,G,,,,,60.84,331.87,96.69,176.28,83.63,235.29,35.21,109.64,643.61,208.21,Prague - Vinohrady,50.0757959,14.4544847,1.0,Luxurious,Interior,1.0,1.0,Over 50 years,Gas boiler,,,
"CZK 15,000","CZK 3,000","CZK 15,000",734038,Studio,10/1/2022,1,Low-energy,,36 m²,Fully furnished,New-build,,B,,1.0,1.0,1.0,266.86,1953.91,1116.59,1712.78,452.71,1360.43,808.23,1421.57,1318.95,730.36,Prague - Modřany,50.01299,14.40002,1.0,,,1.0,,,,,,
"CZK 12,000",CZK 500,"CZK 12,500",734035,2+kk,9/6/2022,6,Brick,,50 m²,Partly,Very good,,D,,,,1.0,171.36,763.53,232.41,198.14,206.82,351.8,444.44,453.73,399.19,442.2,Prague - Žižkov,50.08855,14.4665,,,,,,,,,,
"CZK 14,500","CZK 1,200","CZK 29,000",734033,2+kk,9/6/2022,1,Brick,,33 m²,Unfurnished,Very good,,G,,,,,323.57,962.34,242.42,636.89,346.36,660.48,373.36,617.87,946.73,449.0,Prague - Vysočany,50.10394,14.50117,,,,,,,,,,
"CZK 21,000","CZK 5,000","CZK 26,000",734032,2+kk,10/1/2022,2,Brick,,53 m²,Partly,New-build,,C,1.0,,1.0,1.0,217.68,150.37,238.25,1550.83,184.39,982.21,1093.25,684.8,865.08,172.36,Prague - Stodůlky,50.04557,14.30395,,,,,,,,,,
"CZK 22,500","CZK 4,281","CZK 45,000",728700,3+kk,8/5/2022,4,Prefab concrete,,68 m²,Partly,Very good,Personal,G,,,,1.0,227.19,694.52,292.56,947.84,372.07,273.0,572.29,459.35,1024.68,123.64,Prague - Chodov,50.02741,14.5197,,,,1.0,,,Central,1.0,,
"CZK 16,000","CZK 2,280","CZK 32,000",453588,2 bedroom,10/1/2022,5,Brick,,53 m²,Partly,Very good,Personal,G,,,,1.0,193.62,942.78,165.46,516.38,427.7,243.55,243.68,670.92,238.99,187.08,"Pivovarnická, Prague - Libeň",50.1093202,14.4743969,,,Complete,1.0,,,Gas boiler,,,
"CZK 17,000","CZK 2,050","CZK 17,000",369503,2+kk,1/1/2019,9,Prefab concrete,,43 m²,Fully furnished,,Personal,,,,,,386.07,655.36,342.07,622.82,431.09,581.61,124.6,415.55,352.71,222.12,Prague - Chodov,50.0237246,14.4934818,,Standard,,,,,,,,
"CZK 14,000","CZK 3,100","CZK 14,000",734030,2+kk,9/15/2022,7,Prefab concrete,,42 m²,Fully furnished,Good,,G,,,,1.0,137.58,1703.2,347.72,1375.53,386.53,327.75,474.31,149.94,603.06,124.82,Prague - Strašnice,50.06672,14.51317,,,,,,,,,,
