Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Floor space,Fully furnished,Condition,Ownership,EPC,New-build,Enclosed balcony,Lift,Cellar,Parking,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Reconstruction,Designe,Terrace,Domácí mazlíčci vítáni,Garage,Administrative fee,Balcony,Plot type
"CZK 24,500","CZK 4,500","CZK 40,000",732210,3+kk,9/2/2022,2,Brick,10 to 30 years,80 m²,Partly,New-build,Personal,C,1.0,1.0,1.0,1.0,1.0,306.45,904.35,99.14,752.7,457.28,877.34,251.57,2117.28,1126.59,133.25,Prague - Zličín,50.05815,14.28198,,,,,,,,,
"CZK 81,750","CZK 27,250",,735517,3+kk,11/7/2022,6,,,110 m²,Fully furnished,,,,,,1.0,,,30.08,409.78,41.21,139.22,4.79,323.92,155.78,264.84,623.64,381.72,"Myslíkova, Prague - Nové Město",50.0781479,14.4179311,,,,,,,,,
"CZK 12,000","CZK 4,000","CZK 24,999",524061,Small studio,9/30/2022,2,Brick,Up to 10 years,24 m²,Fully furnished,,Personal,D,,,,,,91.78,580.81,32.71,585.83,4.83,464.23,508.34,544.94,531.96,283.89,"Michelská, Prague - Michle",50.050462,14.4588805,Electric boiler,Interior,,,,,,,
"CZK 11,000","CZK 4,500","CZK 15,499",629358,2+kk,9/10/2022,3,Brick,,37 m²,Unfurnished,Very good,Personal,F,,,,,,272.4,2094.06,1253.2,2237.72,696.58,1849.23,1539.46,1807.23,852.06,1343.97,"Pod Karlovarskou Silnicí, Prague - Ruzyně",50.07776,14.300779,Central,,Standard,,,,,,
"CZK 19,500","CZK 3,396","CZK 19,500",735493,Studio,9/7/2022,1,Brick,,77 m²,Partly,Very good,,C,,,,,,664.6,1184.6,690.99,2151.46,424.13,1012.99,678.88,742.88,384.79,240.93,Prague - Kamýk,50.0111,14.44677,,,,1.0,1.0,1.0,,,
"CZK 11,000","CZK 3,000","CZK 11,000",735490,Studio,9/7/2022,1,Brick,,26 m²,Fully furnished,Very good,,G,,,,,,71.82,1155.13,667.44,821.2,321.12,783.31,770.05,430.95,2336.32,607.25,Prague - Újezd nad Lesy,50.07387,14.67211,,,,1.0,,,,,
"CZK 27,000","CZK 6,820","CZK 40,000",735489,2+kk,9/18/2022,3,Brick,,57 m²,Fully furnished,New-build,Personal,B,1.0,1.0,1.0,1.0,,372.2,1186.23,751.01,1390.52,180.6,1087.12,919.65,1229.04,105.92,333.17,Prague - Střešovice,50.0945,14.36816,,,,,,1.0,,,
"CZK 11,000","CZK 3,000","CZK 20,000",735488,Studio,9/7/2022,1,Brick,,25 m²,Fully furnished,Very good,,G,,,,,,233.33,597.58,424.82,268.33,15.01,1219.3,217.85,552.03,354.24,393.59,Prague - Michle,50.05793,14.45218,,,,,1.0,,,,
"CZK 16,000","CZK 3,000","CZK 32,000",735486,Studio,9/7/2022,4,Low-energy,,30 m²,Partly,New-build,,B,,,,1.0,,80.58,970.2,288.35,326.95,469.13,383.3,436.86,1714.08,660.71,182.37,Prague - Třebonice,50.05601,14.29032,,,,1.0,,,,,
"CZK 16,000","CZK 5,000","CZK 32,000",589972,3+kk,9/12/2022,13,Prefab concrete,30 - 50 years,64 m²,Partly,Very good,Personal,C,,1.0,1.0,,,273.07,633.8,55.89,734.25,289.87,560.88,278.02,72.44,1370.48,59.06,"Chabařovická, Prague - Kobylisy",50.129853,14.476675,Distance,Complete,Standard,,,,,,
